代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10510227.142570000000
真實報酬,510227.142570000140

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,23553.035217185479
風險,29385.613260520819
起點值,0.801515864528
找到最佳解世代,1399
找到最佳解實驗#,1
找到最佳解次數,7

投資組合檔數,7
1476(7)[6],2324(16)[42],2382(21)[10],2474(27)[3],3008(42)[19],5880(47)[21],9999(50)[36],
Stock#,1476(7)[6],2324(16)[42],2382(21)[10],2474(27)[3],3008(42)[19],5880(47)[21],9999(50)[36],
張數,4,73,21,4,0,98,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,233691.000000000000,18941.000000000233,61261.000000000000,186771.000000000000,1428571.000000000000,7571.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1476211.000000000000,1432221.000000000200,1424581.000000000000,1436331.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10055060.000000000000
FS( 3 ),1464771.000000000000,1424921.000000000200,1422691.000000000000,1459611.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10057710.000000000000
FS( 4 ),1472411.000000000000,1428571.000000000000,1416601.000000000200,1502291.000000000000,1428571.000000000000,1437391.000000000000,1428571.000000000000,10114410.000000000000
FS( 5 ),1468611.000000000000,1428571.000000000000,1396441.000000000000,1560491.000000000000,1428571.000000000000,1442291.000000000000,1428571.000000000000,10153550.000000000000
FS( 6 ),1474331.000000000000,1428571.000000000000,1428571.000000000000,1529451.000000000000,1428571.000000000000,1437391.000000000000,1428571.000000000000,10155460.000000000000
FS( 7 ),1472411.000000000000,1411051.000000000500,1428571.000000000000,1560491.000000000000,1428571.000000000000,1442291.000000000000,1428571.000000000000,10171960.000000000000
FS( 8 ),1453371.000000000000,1421271.000000000500,1468680.999999999800,1576011.000000000000,1428571.000000000000,1437391.000000000000,1428571.000000000000,10213870.000000000000
FS( 9 ),1449531.000000000000,1421271.000000000500,1466791.000000000200,1568251.000000000000,1428571.000000000000,1442291.000000000000,1428571.000000000000,10205280.000000000000
FS( 10 ),1483851.000000000000,1421271.000000000500,1460701.000000000000,1550811.000000000000,1428571.000000000000,1437391.000000000000,1428571.000000000000,10211170.000000000000
FS( 11 ),1491451.000000000000,1432221.000000000200,1456711.000000000000,1587651.000000000000,1428571.000000000000,1433471.000000000000,1428571.000000000000,10258650.000000000000
FS( 12 ),1491451.000000000000,1432221.000000000200,1442641.000000000000,1568251.000000000000,1428571.000000000000,1433471.000000000000,1428571.000000000000,10225180.000000000000
FS( 13 ),1483851.000000000000,1428571.000000000000,1462801.000000000000,1591531.000000000000,1428571.000000000000,1433471.000000000000,1428571.000000000000,10257370.000000000000
FS( 14 ),1472411.000000000000,1435141.000000000000,1530841.000000000200,1576011.000000000000,1428571.000000000000,1433471.000000000000,1428571.000000000000,10305020.000000000000
FS( 15 ),1495291.000000000000,1428571.000000000000,1524751.000000000000,1614811.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10349140.000000000000
FS( 16 ),1506731.000000000000,1428571.000000000000,1520761.000000000000,1618691.000000000000,1428571.000000000000,1437391.000000000000,1428571.000000000000,10369290.000000000000
FS( 17 ),1602011.000000000000,1421271.000000000500,1500811.000000000000,1607051.000000000000,1428571.000000000000,1433471.000000000000,1428571.000000000000,10421760.000000000000
FS( 18 ),1594371.000000000000,1404481.000000000200,1504801.000000000000,1599291.000000000000,1428571.000000000000,1433471.000000000000,1428571.000000000000,10393560.000000000000
FS( 19 ),1643931.000000000000,1411051.000000000500,1526851.000000000200,1630371.000000000000,1428571.000000000000,1451111.000000000000,1428571.000000000000,10520460.000000000000
FS( 20 ),1624851.000000000000,1428571.000000000000,1514881.000000000000,1630371.000000000000,1428571.000000000000,1456010.999999999800,1428571.000000000000,10511830.000000000000
FS( 21 ),1659171.000000000000,1418351.000000000200,1508791.000000000200,1601251.000000000000,1428571.000000000000,1459931.000000000200,1428571.000000000000,10504640.000000000000
FS( 22 ),1655371.000000000000,1428571.000000000000,1516771.000000000000,1591531.000000000000,1428571.000000000000,1473651.000000000200,1428571.000000000000,10523040.000000000000
FS( 23 ),1647731.000000000000,1428571.000000000000,1504801.000000000000,1597371.000000000000,1428571.000000000000,1473651.000000000200,1429528.142569999900,10510227.142570000000
