代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10879294.444370000000
真實報酬,879294.444369999690

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,42247.633142592887
風險,77495.312250153787
起點值,0.545163725597
找到最佳解世代,1385
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,9
1722(7)[1],2207(11)[7],2303(13)[3],2324(17)[42],2382(24)[4],2409(25)[34],3008(41)[2],3231(43)[31],9999(49)[36],
Stock#,1722(7)[1],2207(11)[7],2303(13)[3],2324(17)[42],2382(24)[4],2409(25)[34],3008(41)[2],3231(43)[31],9999(49)[36],
張數,19,4,119,78,24,92,1,57,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,37041.000000000000,202551.000000000000,2031.000000000000,2731.000000000000,19591.000000000000,3431.000000000233,356601.000000000000,5881.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1133911.000000000000,1100751.000000000000,1131341.000000000000,1104871.000000000000,1123831.000000000000,1115711.000000000200,1109251.000000000000,1096290.999999999800,1111111.000000000000,10027070.000000000000
FS( 3 ),1150821.000000000000,1100751.000000000000,1170611.000000000000,1101751.000000000000,1118311.000000000000,1115711.000000000200,1138981.000000000000,1094581.000000000000,1111111.000000000000,10102630.000000000000
FS( 4 ),1141511.000000000000,1107671.000000000000,1150381.000000000200,1111111.000000000000,1131031.000000000000,1099151.000000000200,1137121.000000000000,1087171.000000000000,1111111.000000000000,10076260.000000000000
FS( 5 ),1143221.000000000000,1149111.000000000000,1200361.000000000000,1122811.000000000000,1167511.000000000000,1123071.000000000200,1138981.000000000000,1100280.999999999800,1111111.000000000000,10256460.000000000000
FS( 6 ),1150821.000000000000,1159471.000000000000,1180131.000000000200,1128271.000000000000,1158391.000000000200,1099151.000000000200,1146421.000000000000,1103701.000000000200,1111111.000000000000,10237470.000000000000
FS( 7 ),1164501.000000000000,1194031.000000000000,1250341.000000000000,1111111.000000000000,1169431.000000000000,1082591.000000000200,1141771.000000000000,1091161.000000000000,1111111.000000000000,10316050.000000000000
FS( 8 ),1152341.000000000000,1213031.000000000000,1294371.000000000000,1114231.000000000000,1142071.000000000000,1090871.000000000200,1125051.000000000000,1094581.000000000000,1111111.000000000000,10337660.000000000000
FS( 9 ),1156901.000000000000,1237231.000000000000,1284851.000000000000,1096291.000000000000,1123831.000000000000,1090871.000000000200,1146421.000000000000,1092871.000000000000,1111111.000000000000,10340380.000000000000
FS( 10 ),1166021.000000000000,1256231.000000000000,1289611.000000000000,1081471.000000000000,1129351.000000000000,1115711.000000000200,1193811.000000000000,1092871.000000000000,1111111.000000000000,10436190.000000000000
FS( 11 ),1185781.000000000000,1252751.000000000000,1324121.000000000000,1081471.000000000000,1185751.000000000000,1119391.000000000200,1245841.000000000000,1101991.000000000200,1111111.000000000000,10608210.000000000000
FS( 12 ),1193381.000000000000,1266591.000000000000,1303891.000000000000,1090051.000000000000,1189351.000000000000,1102831.000000000000,1238411.000000000000,1100280.999999999800,1111111.000000000000,10595900.000000000000
FS( 13 ),1193381.000000000000,1263111.000000000000,1333641.000000000000,1093171.000000000000,1209511.000000000000,1102831.000000000000,1234691.000000000000,1109401.000000000000,1111111.000000000000,10650850.000000000000
FS( 14 ),1200981.000000000000,1245871.000000000000,1397901.000000000200,1093171.000000000000,1203991.000000000000,1119391.000000000200,1268141.000000000000,1109401.000000000000,1111111.000000000000,10749960.000000000000
FS( 15 ),1200981.000000000000,1238951.000000000000,1378861.000000000000,1099411.000000000000,1192951.000000000200,1144231.000000000200,1251421.000000000000,1109401.000000000000,1111111.000000000000,10727320.000000000000
FS( 16 ),1204021.000000000000,1207871.000000000000,1328881.000000000200,1086931.000000000000,1192951.000000000200,1111111.000000000000,1220751.000000000000,1103701.000000000200,1111111.000000000000,10567330.000000000000
FS( 17 ),1181221.000000000000,1200951.000000000000,1314601.000000000000,1081471.000000000000,1207591.000000000000,1115711.000000000200,1243981.000000000000,1129921.000000000000,1111111.000000000000,10586560.000000000000
FS( 18 ),1182741.000000000000,1183671.000000000000,1374101.000000000000,1099411.000000000000,1213111.000000000000,1135951.000000000200,1254201.000000000000,1144741.000000000200,1111111.000000000000,10699040.000000000000
FS( 19 ),1204021.000000000000,1251031.000000000000,1349111.000000000000,1114231.000000000000,1211191.000000000000,1127671.000000000200,1285801.000000000000,1143030.999999999800,1111111.000000000000,10797200.000000000000
FS( 20 ),1204021.000000000000,1306311.000000000000,1353871.000000000000,1116571.000000000000,1218631.000000000000,1144231.000000000200,1276501.000000000000,1144741.000000000200,1111111.000000000000,10875990.000000000000
FS( 21 ),1191861.000000000000,1325311.000000000000,1339591.000000000000,1114231.000000000000,1198470.999999999800,1111111.000000000000,1269071.000000000000,1161270.999999999800,1111111.000000000000,10822030.000000000000
FS( 22 ),1225301.000000000000,1403031.000000000000,1309841.000000000000,1090051.000000000000,1200391.000000000200,1127671.000000000200,1260711.000000000000,1150441.000000000000,1111855.444369999900,10879294.444370000000
