代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10274624.444370000000
真實報酬,274624.444369999690

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16480.128022124227
風險,12529.386025420190
起點值,1.315318084117
找到最佳解世代,1623
找到最佳解實驗#,35
找到最佳解次數,1

投資組合檔數,9
1102(1)[1],2311(14)[24],2330(18)[21],2357(20)[41],2823(29)[45],2912(41)[48],3008(42)[44],4904(45)[13],9999(50)[46],
Stock#,1102(1)[1],2311(14)[24],2330(18)[21],2357(20)[41],2823(29)[45],2912(41)[48],3008(42)[44],4904(45)[13],9999(50)[46],
張數,42,31,6,4,41,4,0,16,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,20371.000000000000,21771.000000000000,39810.999999999767,100311.000000000000,9851.000000000000,217551.000000000000,1111111.000000000000,17831.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1116991.000000000000,1139631.000000000200,1111111.000000000000,1099831.000000000000,1118081.000000000000,1114991.000000000000,1111111.000000000000,1114151.000000000000,1111111.000000000000,10037010.000000000000
FS( 3 ),1127071.000000000000,1140871.000000000200,1111111.000000000000,1090431.000000000000,1145961.000000000200,1107231.000000000000,1111111.000000000000,1120231.000000000000,1111111.000000000000,10065130.000000000000
FS( 4 ),1131270.999999999800,1125991.000000000000,1111111.000000000000,1101711.000000000000,1149651.000000000000,1113071.000000000000,1111111.000000000000,1117191.000000000000,1111111.000000000000,10072220.000000000000
FS( 5 ),1125391.000000000000,1157301.000000000000,1105290.999999999800,1086671.000000000000,1152931.000000000000,1107231.000000000000,1111111.000000000000,1120231.000000000000,1111111.000000000000,10077270.000000000000
FS( 6 ),1139671.000000000000,1173730.999999999800,1108171.000000000000,1096071.000000000000,1125461.000000000200,1105311.000000000000,1111111.000000000000,1121831.000000000000,1111111.000000000000,10092470.000000000000
FS( 7 ),1186291.000000000000,1169391.000000000200,1116931.000000000000,1101711.000000000000,1114391.000000000000,1099511.000000000000,1111111.000000000000,1115751.000000000000,1111111.000000000000,10126200.000000000000
FS( 8 ),1186291.000000000000,1166291.000000000000,1128510.999999999500,1120511.000000000000,1111111.000000000000,1095631.000000000000,1111111.000000000000,1112711.000000000000,1111111.000000000000,10143280.000000000000
FS( 9 ),1186291.000000000000,1164741.000000000000,1128510.999999999500,1135511.000000000000,1100041.000000000000,1087871.000000000000,1111111.000000000000,1121831.000000000000,1111111.000000000000,10147020.000000000000
FS( 10 ),1200571.000000000000,1184271.000000000000,1137210.999999999800,1152431.000000000000,1088971.000000000200,1093671.000000000000,1111111.000000000000,1115751.000000000000,1111111.000000000000,10195100.000000000000
FS( 11 ),1202251.000000000000,1166291.000000000000,1137210.999999999800,1129871.000000000000,1114391.000000000000,1099511.000000000000,1111111.000000000000,1121831.000000000000,1111111.000000000000,10193580.000000000000
FS( 12 ),1198471.000000000200,1160400.999999999800,1140150.999999999800,1133631.000000000000,1125461.000000000200,1093671.000000000000,1111111.000000000000,1129351.000000000000,1111111.000000000000,10203360.000000000000
FS( 13 ),1198471.000000000200,1152961.000000000000,1140150.999999999800,1135511.000000000000,1127511.000000000000,1093671.000000000000,1111111.000000000000,1138471.000000000000,1111111.000000000000,10208970.000000000000
FS( 14 ),1222831.000000000000,1154511.000000000000,1143030.999999999800,1131751.000000000000,1121771.000000000000,1101431.000000000000,1111111.000000000000,1143111.000000000000,1111111.000000000000,10240660.000000000000
FS( 15 ),1224931.000000000000,1169391.000000000200,1143030.999999999800,1129871.000000000000,1127511.000000000000,1095631.000000000000,1111111.000000000000,1135431.000000000000,1111111.000000000000,10248020.000000000000
FS( 16 ),1235011.000000000000,1179931.000000000000,1134330.999999999800,1131751.000000000000,1123821.000000000000,1089791.000000000000,1111111.000000000000,1137031.000000000000,1111111.000000000000,10253890.000000000000
FS( 17 ),1245091.000000000000,1167841.000000000000,1134330.999999999800,1148671.000000000000,1116441.000000000000,1089791.000000000000,1111111.000000000000,1144551.000000000000,1111111.000000000000,10268940.000000000000
FS( 18 ),1255171.000000000000,1163501.000000000000,1137210.999999999800,1143031.000000000000,1116441.000000000000,1091751.000000000000,1111111.000000000000,1144551.000000000000,1111855.444369999900,10274624.444370000000
