代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10570470.000000000000
真實報酬,570470.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,29454.300815463605
風險,144854.428102079110
起點值,0.203337248308
找到最佳解世代,2001
找到最佳解實驗#,1
找到最佳解次數,36

投資組合檔數,2
1216(2)[1],9999(49)[6],
Stock#,1216(2)[1],9999(49)[6],
張數,102,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,35660.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5054060.000000000900,5000000.000000000000,10054060.000000000000
FS( 3 ),5134640.000000000900,5000000.000000000000,10134640.000000000000
FS( 4 ),5099960.000000000000,5000000.000000000000,10099960.000000000000
FS( 5 ),5071400.000000000000,5000000.000000000000,10071400.000000000000
FS( 6 ),5329460.000000000000,5000000.000000000000,10329460.000000000000
FS( 7 ),5185640.000000000900,5000000.000000000000,10185640.000000000000
FS( 8 ),5319259.999999999100,5000000.000000000000,10319260.000000000000
FS( 9 ),5358020.000000000000,5000000.000000000000,10358020.000000000000
FS( 10 ),5463080.000000000000,5000000.000000000000,10463080.000000000000
FS( 11 ),5481440.000000000000,5000000.000000000000,10481440.000000000000
FS( 12 ),5682380.000000000000,5000000.000000000000,10682380.000000000000
FS( 13 ),5605880.000000000000,5000000.000000000000,10605880.000000000000
FS( 14 ),5624240.000000000000,5000000.000000000000,10624240.000000000000
FS( 15 ),5463080.000000000000,5000000.000000000000,10463080.000000000000
FS( 16 ),5300900.000000000000,5000000.000000000000,10300900.000000000000
FS( 17 ),5310080.000000000000,5000000.000000000000,10310080.000000000000
FS( 18 ),5415140.000000000900,5000000.000000000000,10415140.000000000000
FS( 19 ),5415140.000000000900,5000000.000000000000,10415140.000000000000
FS( 20 ),5404940.000000000000,5000000.000000000000,10404940.000000000000
FS( 21 ),5567120.000000000000,5003350.000000000000,10570470.000000000000
