代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10217830.000000000000
真實報酬,217830.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11691.101045296167
風險,14142.023760227432
起點值,0.826692221956
找到最佳解世代,2065
找到最佳解實驗#,1
找到最佳解次數,21

投資組合檔數,10
2207(10)[8],2303(12)[2],2324(16)[27],2330(18)[5],2412(25)[1],2884(34)[10],2892(40)[4],3008(42)[36],4904(45)[15],9999(50)[24],
Stock#,2207(10)[8],2303(12)[2],2324(16)[27],2330(18)[5],2412(25)[1],2884(34)[10],2892(40)[4],3008(42)[36],4904(45)[15],9999(50)[24],
張數,2,85,51,5,10,59,57,0,14,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,322040.000000000000,11449.999999999884,15190.000000000000,49200.000000000000,16500.000000000000,14700.000000000000,220.000000000000,1000000.000000000000,680.000000000116,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1000000.000000000000,1000000.000000000000,1002550.000000000000,1007250.000000000100,1004800.000000000000,1005309.999999999900,1000000.000000000000,1000000.000000000000,1010640.000000000100,1000000.000000000000,10030550.000000000000
FS( 3 ),1000000.000000000000,1011899.999999999800,1002550.000000000000,1007250.000000000100,1009600.000000000000,1002950.000000000000,1005700.000000000000,1000000.000000000000,1019880.000000000000,1000000.000000000000,10059830.000000000000
FS( 4 ),999020.000000000000,1004249.999999999900,992860.000000000120,1004850.000000000000,1004800.000000000000,1002950.000000000000,1000000.000000000000,1000000.000000000000,1021280.000000000200,1000000.000000000000,10030010.000000000000
FS( 5 ),998060.000000000000,1011899.999999999800,992860.000000000120,1029050.000000000000,1014300.000000000000,1002950.000000000000,1002850.000000000000,1000000.000000000000,1018620.000000000000,1000000.000000000000,10070590.000000000000
FS( 6 ),999020.000000000000,1004249.999999999900,994900.000000000000,1033900.000000000000,1019100.000000000000,994690.000000000000,1000000.000000000000,1000000.000000000000,1013300.000000000100,1000000.000000000000,10059160.000000000000
FS( 7 ),1000000.000000000000,1016149.999999999900,1000000.000000000000,1043550.000000000000,1014300.000000000000,994690.000000000000,1000000.000000000000,1000000.000000000000,1026600.000000000200,1000000.000000000000,10095290.000000000000
FS( 8 ),1000960.000000000000,1011899.999999999800,978070.000000000000,1053250.000000000000,1014300.000000000000,1000000.000000000000,1002850.000000000000,1000000.000000000000,1013300.000000000100,1000000.000000000000,10074630.000000000000
FS( 9 ),996120.000000000000,1020399.999999999800,983170.000000000000,1045950.000000000000,1023900.000000000000,1002950.000000000000,1002850.000000000000,1000000.000000000000,1014560.000000000100,1000000.000000000000,10089900.000000000000
FS( 10 ),997080.000000000000,1016149.999999999900,1000000.000000000000,1045950.000000000000,1028700.000000000000,1002950.000000000000,1010830.000000000000,1000000.000000000000,1019880.000000000000,1000000.000000000000,10121540.000000000000
FS( 11 ),1038740.000000000000,1008500.000000000000,1000000.000000000000,1038700.000000000000,1028700.000000000000,1005309.999999999900,1002850.000000000000,1000000.000000000000,1015960.000000000100,1000000.000000000000,10138760.000000000000
FS( 12 ),1035820.000000000000,1011899.999999999800,1002550.000000000000,1036299.999999999900,1028700.000000000000,1015929.999999999900,1007980.000000000000,1000000.000000000000,1013300.000000000100,1000000.000000000000,10152480.000000000000
FS( 13 ),1035820.000000000000,1016149.999999999900,1009690.000000000000,1033900.000000000000,1028700.000000000000,1015929.999999999900,1005700.000000000000,1000000.000000000000,1019880.000000000000,1000000.000000000000,10165770.000000000000
FS( 14 ),1032920.000000000000,1011899.999999999800,1014280.000000000000,1031450.000000000000,1023900.000000000000,1013570.000000000000,1005700.000000000000,1000000.000000000000,1015960.000000000100,1000000.000000000000,10149680.000000000000
FS( 15 ),1035820.000000000000,1016149.999999999900,1002550.000000000000,1041149.999999999900,1028700.000000000000,1013570.000000000000,1013110.000000000000,1000000.000000000000,1013300.000000000100,1000000.000000000000,10164350.000000000000
FS( 16 ),1030980.000000000000,1024649.999999999900,1014280.000000000000,1041149.999999999900,1028700.000000000000,1015929.999999999900,1007980.000000000000,1000000.000000000000,1010640.000000000100,1000000.000000000000,10174310.000000000000
FS( 17 ),1057140.000000000000,1024649.999999999900,1002550.000000000000,1043550.000000000000,1028700.000000000000,1013570.000000000000,1007980.000000000000,1000000.000000000000,1015960.000000000100,1000000.000000000000,10194100.000000000000
FS( 18 ),1065860.000000000000,1028899.999999999900,1002550.000000000000,1050800.000000000000,1038200.000000000000,1015929.999999999900,1010830.000000000000,1000000.000000000000,1014560.000000000100,1000000.000000000000,10227630.000000000000
FS( 19 ),1074560.000000000000,1032299.999999999900,1000000.000000000000,1050800.000000000000,1038200.000000000000,1018880.000000000000,1013110.000000000000,1000000.000000000000,1013300.000000000100,1000000.000000000000,10241150.000000000000
FS( 20 ),1086180.000000000000,1032299.999999999900,980620.000000000000,1031450.000000000000,1043000.000000000000,1010620.000000000000,1013110.000000000000,1000000.000000000000,1019880.000000000000,1000670.000000000000,10217830.000000000000
