代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10406933.333110001000
真實報酬,406933.333110000940

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,44562.036121714293
風險,119882.572048457430
起點值,0.371714047841
找到最佳解世代,1379
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1303(4)[4],2311(13)[1],9999(49)[14],
Stock#,1303(4)[4],2311(13)[1],9999(49)[14],
張數,78,252,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,4293.000000000000,9453.000000000466,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3310713.000000000000,3287973.000000000500,3333333.000000000000,9932020.000000000000
FS( 3 ),3288093.000000000000,3512253.000000000500,3333333.000000000000,10133680.000000000000
FS( 4 ),3333333.000000000000,3600453.000000000500,3333333.000000000000,10267120.000000000000
FS( 5 ),3248313.000000000500,3517293.000000000500,3333333.000000000000,10098940.000000000000
FS( 6 ),3310713.000000000000,3668493.000000000500,3333333.000000000000,10312540.000000000000
FS( 7 ),3299013.000000000500,3620613.000000000500,3333333.000000000000,10252960.000000000000
FS( 8 ),3333333.000000000000,3613053.000000000900,3333333.000000000000,10279720.000000000000
FS( 9 ),3394953.000000000000,3688653.000000000500,3333333.000000000000,10416940.000000000000
FS( 10 ),3485433.000000000500,3817173.000000000500,3333333.000000000000,10635940.000000000000
FS( 11 ),3586833.000000000000,3791973.000000000500,3333333.000000000000,10712140.000000000000
FS( 12 ),3564213.000000000000,3696213.000000000500,3333333.000000000000,10593760.000000000000
FS( 13 ),3593072.999999999500,3592893.000000000500,3333333.000000000000,10519300.000000000000
FS( 14 ),3586833.000000000000,3484533.000000000500,3335566.333110000000,10406933.333110001000
