代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10389979.090299999000
真實報酬,389979.090299999340

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19787.183132173908
風險,21789.395658139456
起點值,0.908110690293
找到最佳解世代,1720
找到最佳解實驗#,34
找到最佳解次數,2

投資組合檔數,11
1101(0)[34],1216(2)[6],2002(7)[24],2301(12)[11],2409(23)[13],2412(24)[37],2885(34)[7],2886(35)[14],2890(37)[1],9904(49)[49],9999(50)[33],
Stock#,1101(0)[34],1216(2)[6],2002(7)[24],2301(12)[11],2409(23)[13],2412(24)[37],2885(34)[7],2886(35)[14],2890(37)[1],9904(49)[49],9999(50)[33],
張數,23,21,41,22,81,11,66,45,99,29,-1,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,36470.000000000116,6930.000000000000,17750.000000000116,37670.000000000000,5130.000000000000,35800.000000000000,9510.000000000000,14039.999999999884,1260.000000000000,8060.000000000000,909090.000000000000,
FS( 1 ),909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,10000000.000000000000
FS( 2 ),894140.000000000120,924420.000000000000,909090.000000000000,921190.000000000000,922860.000000000000,908210.000000000120,917670.000000000000,901889.999999999880,916020.000000000000,907640.000000000000,909090.000000000000,10032230.000000000000
FS( 3 ),894140.000000000120,936180.000000000000,907040.000000000230,931530.000000000000,962550.000000000120,906340.000000000000,920310.000000000120,896489.999999999770,912060.000000000000,879800.000000000000,909090.000000000000,10055540.000000000000
FS( 4 ),899660.000000000120,949620.000000000000,903760.000000000120,950670.000000000000,952020.000000000000,904580.000000000120,911730.000000000000,896489.999999999770,912060.000000000000,886180.000000000000,909090.000000000000,10075870.000000000000
FS( 5 ),899660.000000000120,952980.000000000000,907040.000000000230,950670.000000000000,959310.000000000000,904580.000000000120,914370.000000000000,900090.000000000000,909090.000000000000,896330.000000000000,909090.000000000000,10103220.000000000000
FS( 6 ),899660.000000000120,959910.000000000000,910730.000000000120,947150.000000000000,955260.000000000000,909090.000000000000,911730.000000000000,912689.999999999880,939780.000000000120,866170.000000000000,909090.000000000000,10121270.000000000000
FS( 7 ),899660.000000000120,956340.000000000000,909090.000000000000,959470.000000000000,930150.000000000000,909090.000000000000,928890.000000000000,912689.999999999880,942750.000000000000,883860.000000000000,909090.000000000000,10141090.000000000000
