代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10379884.444370000000
真實報酬,379884.444369999690

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16734.517164780296
風險,21924.635484333263
起點值,0.763274590209
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,13

投資組合檔數,9
2325(17)[23],2357(20)[1],2823(29)[29],2887(37)[4],2891(39)[16],3045(43)[7],4938(46)[9],5880(47)[6],9999(50)[36],
Stock#,2325(17)[23],2357(20)[1],2823(29)[29],2887(37)[4],2891(39)[16],3045(43)[7],4938(46)[9],5880(47)[6],9999(50)[36],
張數,23,4,41,100,63,10,14,81,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,34711.000000000233,79671.000000000000,9851.000000000000,4111.000000000000,7981.000000000000,84611.000000000000,29751.000000000000,11941.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1106741.000000000200,1126151.000000000000,1136531.000000000000,1120111.000000000000,1119930.999999999800,1111111.000000000000,1111111.000000000000,1119211.000000000000,1111111.000000000000,10062010.000000000000
FS( 3 ),1107891.000000000000,1128031.000000000000,1132841.000000000000,1115111.000000000000,1117411.000000000000,1115811.000000000000,1119091.000000000200,1119211.000000000000,1111111.000000000000,10066510.000000000000
FS( 4 ),1109041.000000000200,1120511.000000000000,1152931.000000000000,1120111.000000000000,1119930.999999999800,1111111.000000000000,1112371.000000000000,1119211.000000000000,1111111.000000000000,10076330.000000000000
FS( 5 ),1107891.000000000000,1124271.000000000000,1154980.999999999800,1120111.000000000000,1119930.999999999800,1120611.000000000000,1120351.000000000200,1122451.000000000000,1111111.000000000000,10101710.000000000000
FS( 6 ),1106741.000000000200,1118631.000000000000,1158671.000000000000,1120111.000000000000,1123081.000000000000,1115811.000000000000,1121751.000000000000,1119211.000000000000,1111111.000000000000,10095120.000000000000
FS( 7 ),1103291.000000000200,1124271.000000000000,1152931.000000000000,1115111.000000000000,1123081.000000000000,1115811.000000000000,1113771.000000000000,1119211.000000000000,1111111.000000000000,10078590.000000000000
FS( 8 ),1102371.000000000200,1128031.000000000000,1140221.000000000200,1120111.000000000000,1129381.000000000000,1120611.000000000000,1121751.000000000000,1115161.000000000000,1111111.000000000000,10088750.000000000000
FS( 9 ),1106741.000000000200,1131791.000000000000,1147601.000000000000,1125111.000000000000,1135051.000000000000,1125310.999999999800,1123011.000000000000,1122451.000000000000,1111111.000000000000,10128180.000000000000
FS( 10 ),1112261.000000000200,1159991.000000000000,1158671.000000000000,1129111.000000000000,1126231.000000000000,1125310.999999999800,1130991.000000000000,1122451.000000000000,1111111.000000000000,10176130.000000000000
FS( 11 ),1111111.000000000000,1156231.000000000000,1152931.000000000000,1129111.000000000000,1141351.000000000000,1130111.000000000000,1129731.000000000000,1126501.000000000000,1111111.000000000000,10188190.000000000000
FS( 12 ),1115711.000000000200,1161871.000000000000,1140221.000000000200,1129111.000000000000,1143871.000000000000,1125310.999999999800,1157591.000000000200,1129741.000000000000,1111111.000000000000,10214540.000000000000
FS( 13 ),1115711.000000000200,1158111.000000000000,1132841.000000000000,1138111.000000000000,1153321.000000000000,1130111.000000000000,1160251.000000000000,1129741.000000000000,1111111.000000000000,10229310.000000000000
FS( 14 ),1115711.000000000200,1146831.000000000000,1147601.000000000000,1143111.000000000000,1150170.999999999800,1144311.000000000000,1174951.000000000000,1126501.000000000000,1111111.000000000000,10260300.000000000000
FS( 15 ),1114561.000000000500,1165591.000000000000,1129151.000000000000,1148111.000000000000,1150170.999999999800,1149111.000000000000,1204211.000000000000,1129741.000000000000,1111111.000000000000,10301760.000000000000
FS( 16 ),1115711.000000000200,1171231.000000000000,1129151.000000000000,1143111.000000000000,1141351.000000000000,1144311.000000000000,1197491.000000000000,1129741.000000000000,1111111.000000000000,10283210.000000000000
FS( 17 ),1115711.000000000200,1173111.000000000000,1125461.000000000200,1143111.000000000000,1147021.000000000000,1144311.000000000000,1193571.000000000000,1129741.000000000000,1111111.000000000000,10283150.000000000000
FS( 18 ),1127901.000000000200,1174991.000000000000,1127511.000000000000,1143111.000000000000,1147021.000000000000,1149111.000000000000,1176211.000000000000,1129741.000000000000,1111111.000000000000,10286710.000000000000
FS( 19 ),1132271.000000000200,1193791.000000000000,1120131.000000000000,1138111.000000000000,1138201.000000000000,1163411.000000000000,1198891.000000000000,1129741.000000000000,1111111.000000000000,10325660.000000000000
FS( 20 ),1135491.000000000200,1195671.000000000000,1116441.000000000000,1138111.000000000000,1126231.000000000000,1144311.000000000000,1197491.000000000000,1141080.999999999800,1111111.000000000000,10305940.000000000000
FS( 21 ),1142161.000000000200,1195671.000000000000,1112750.999999999800,1148111.000000000000,1131901.000000000000,1144311.000000000000,1210791.000000000000,1152421.000000000000,1111111.000000000000,10349230.000000000000
FS( 22 ),1138941.000000000200,1197551.000000000000,1111111.000000000000,1166111.000000000000,1131901.000000000000,1144311.000000000000,1204211.000000000000,1149181.000000000000,1111111.000000000000,10354430.000000000000
FS( 23 ),1133421.000000000200,1206951.000000000000,1111111.000000000000,1171111.000000000000,1131901.000000000000,1144311.000000000000,1224091.000000000200,1145131.000000000000,1111855.444369999900,10379884.444370000000
