代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11338037.500000000000
真實報酬,1338037.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24527.278991629155
風險,127450.499412196860
起點值,0.192445530655
找到最佳解世代,1835
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
2227(10)[13],2354(18)[2],2891(38)[3],9999(49)[25],
Stock#,2227(10)[13],2354(18)[2],2891(38)[3],9999(49)[25],
張數,10,33,160,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,184799.999999999530,35230.000000000000,13600.000000000466,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2492299.999999999500,2546529.999999999500,2517600.000000000500,2500000.000000000000,10056430.000000000000
FS( 3 ),2523099.999999999500,2607910.000000000000,2524000.000000000500,2500000.000000000000,10155010.000000000000
FS( 4 ),2503899.999999999500,2596029.999999999500,2511200.000000000500,2500000.000000000000,10111130.000000000000
FS( 5 ),2503899.999999999500,2587450.000000000500,2541600.000000000500,2500000.000000000000,10132950.000000000000
FS( 6 ),2515399.999999999500,2601970.000000000500,2559200.000000000500,2500000.000000000000,10176570.000000000000
FS( 7 ),2476899.999999999500,2572930.000000000500,2596000.000000000500,2500000.000000000000,10145830.000000000000
FS( 8 ),2492299.999999999500,2578540.000000000000,2637600.000000000500,2500000.000000000000,10208440.000000000000
FS( 9 ),2446199.999999999100,2549500.000000000000,2668000.000000000500,2500000.000000000000,10163700.000000000000
FS( 10 ),2426899.999999999500,2596029.999999999500,2722400.000000000500,2500000.000000000000,10245330.000000000000
FS( 11 ),2442299.999999999500,2587450.000000000500,2704800.000000000500,2500000.000000000000,10234550.000000000000
FS( 12 ),2473099.999999999500,2572930.000000000500,2716000.000000000500,2500000.000000000000,10262030.000000000000
FS( 13 ),2457699.999999999500,2575570.000000000000,2722400.000000000500,2500000.000000000000,10255670.000000000000
FS( 14 ),2457699.999999999500,2596029.999999999500,2728800.000000000500,2500000.000000000000,10282530.000000000000
FS( 15 ),2488499.999999999500,2599000.000000000000,2903200.000000000500,2500000.000000000000,10490700.000000000000
FS( 16 ),2496199.999999999100,2607910.000000000000,2927200.000000000900,2500000.000000000000,10531310.000000000000
FS( 17 ),2530799.999999999500,2657410.000000000000,2964000.000000000500,2500000.000000000000,10652210.000000000000
