代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11300460.000000000000
真實報酬,1300460.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19249.988896599585
風險,75605.640173046515
起點值,0.254610487426
找到最佳解世代,1999
找到最佳解實驗#,2
找到最佳解次數,13

投資組合檔數,8
1101(0)[8],2002(8)[33],2317(16)[21],2454(27)[3],2474(28)[2],2498(29)[13],2882(33)[1],3008(41)[11],
Stock#,1101(0)[8],2002(8)[33],2317(16)[21],2454(27)[3],2474(28)[2],2498(29)[13],2882(33)[1],3008(41)[11],
張數,36,56,24,4,8,9,39,1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,17000.000000000000,6240.000000000000,38000.000000000000,15200.000000000000,78720.000000000000,60920.000000000000,2780.000000000000,309720.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1267640.000000000000,1247760.000000000000,1241840.000000000000,1258440.000000000000,1228400.000000000000,1245500.000000000000,1246880.000000000000,1244340.000000000000,9980800.000000000000
FS( 3 ),1276640.000000000000,1259520.000000000000,1257920.000000000000,1285440.000000000000,1267920.000000000000,1250000.000000000000,1289780.000000000000,1272660.000000000000,10159880.000000000000
FS( 4 ),1288520.000000000000,1264560.000000000000,1256240.000000000000,1297280.000000000000,1271520.000000000000,1267910.000000000200,1282370.000000000200,1282100.000000000000,10210500.000000000000
FS( 5 ),1280960.000000000000,1259520.000000000000,1244960.000000000000,1275320.000000000000,1217680.000000000000,1187450.000000000000,1303040.000000000200,1253780.000000000000,10022710.000000000000
FS( 6 ),1306160.000000000000,1255040.000000000000,1254800.000000000200,1293920.000000000000,1228400.000000000000,1191860.000000000000,1327999.999999999800,1253780.000000000000,10111960.000000000000
FS( 7 ),1294280.000000000000,1257280.000000000000,1246639.999999999800,1305720.000000000000,1242800.000000000000,1209770.000000000200,1360370.000000000200,1249060.000000000000,10165920.000000000000
FS( 8 ),1288520.000000000000,1257280.000000000000,1248320.000000000000,1314160.000000000000,1271520.000000000000,1187450.000000000000,1345550.000000000000,1249060.000000000000,10161860.000000000000
FS( 9 ),1294280.000000000000,1257280.000000000000,1225760.000000000000,1314160.000000000000,1242800.000000000000,1187450.000000000000,1352959.999999999800,1225460.000000000000,10100150.000000000000
FS( 10 ),1314800.000000000000,1262320.000000000000,1222639.999999999800,1346280.000000000000,1242800.000000000000,1200860.000000000000,1356080.000000000200,1247170.000000000000,10192950.000000000000
FS( 11 ),1313360.000000000000,1262320.000000000000,1217840.000000000000,1331080.000000000000,1235600.000000000000,1182950.000000000000,1360370.000000000200,1216010.000000000000,10119530.000000000000
FS( 12 ),1316600.000000000200,1262320.000000000000,1220960.000000000000,1346280.000000000000,1257200.000000000000,1241090.000000000000,1345550.000000000000,1223570.000000000000,10213570.000000000000
FS( 13 ),1307600.000000000200,1264560.000000000000,1241840.000000000000,1349640.000000000000,1264320.000000000000,1250000.000000000000,1352959.999999999800,1228290.000000000000,10259210.000000000000
FS( 14 ),1294280.000000000000,1255040.000000000000,1243520.000000000000,1337840.000000000000,1293120.000000000000,1227679.999999999800,1358810.000000000200,1243390.000000000000,10253680.000000000000
FS( 15 ),1294280.000000000000,1250000.000000000000,1250000.000000000000,1337840.000000000000,1303840.000000000000,1308140.000000000000,1361930.000000000000,1241500.000000000000,10347530.000000000000
FS( 16 ),1285280.000000000000,1255040.000000000000,1246639.999999999800,1353040.000000000000,1289520.000000000000,1276819.999999999800,1343990.000000000000,1236780.000000000000,10287110.000000000000
FS( 17 ),1282399.999999999800,1257280.000000000000,1254800.000000000200,1346280.000000000000,1329040.000000000000,1361780.000000000000,1351400.000000000000,1258500.000000000000,10441480.000000000000
FS( 18 ),1261879.999999999800,1245520.000000000000,1244960.000000000000,1327680.000000000000,1293120.000000000000,1402010.000000000000,1342820.000000000000,1244340.000000000000,10362330.000000000000
FS( 19 ),1278080.000000000000,1257280.000000000000,1241840.000000000000,1336120.000000000000,1300240.000000000000,1388600.000000000000,1366220.000000000000,1244340.000000000000,10412720.000000000000
FS( 20 ),1273399.999999999800,1259520.000000000000,1225760.000000000000,1349640.000000000000,1300240.000000000000,1357280.000000000000,1368950.000000000000,1258500.000000000000,10393290.000000000000
FS( 21 ),1280960.000000000000,1262320.000000000000,1241840.000000000000,1349640.000000000000,1314640.000000000000,1357280.000000000000,1368950.000000000000,1253780.000000000000,10429410.000000000000
FS( 22 ),1280960.000000000000,1242720.000000000000,1233920.000000000000,1373280.000000000000,1307440.000000000000,1352780.000000000000,1394300.000000000000,1253780.000000000000,10439180.000000000000
FS( 23 ),1270520.000000000000,1250000.000000000000,1232240.000000000000,1381760.000000000000,1314640.000000000000,1348370.000000000000,1380260.000000000000,1250940.000000000000,10428730.000000000000
FS( 24 ),1245320.000000000000,1238240.000000000000,1225760.000000000000,1476320.000000000000,1375760.000000000000,1410920.000000000000,1372459.999999999800,1248110.000000000000,10592890.000000000000
FS( 25 ),1229120.000000000200,1230960.000000000000,1219280.000000000000,1467880.000000000000,1361360.000000000000,1317049.999999999800,1348669.999999999800,1258500.000000000000,10432820.000000000000
FS( 26 ),1223360.000000000000,1240480.000000000000,1232240.000000000000,1474640.000000000000,1368560.000000000000,1366280.000000000000,1368950.000000000000,1246220.000000000000,10520730.000000000000
FS( 27 ),1230560.000000000000,1242720.000000000000,1233920.000000000000,1466200.000000000000,1379280.000000000000,1424330.000000000000,1362709.999999999800,1258500.000000000000,10598220.000000000000
FS( 28 ),1230560.000000000000,1235440.000000000000,1224080.000000000000,1461120.000000000000,1350560.000000000000,1424330.000000000000,1353350.000000000200,1258500.000000000000,10537940.000000000000
FS( 29 ),1229120.000000000200,1228160.000000000000,1240160.000000000000,1454360.000000000000,1372160.000000000000,1393100.000000000000,1358030.000000000000,1258500.000000000000,10533590.000000000000
FS( 30 ),1247120.000000000200,1235440.000000000000,1233920.000000000000,1417200.000000000000,1379280.000000000000,1446740.000000000000,1362709.999999999800,1251890.000000000000,10574300.000000000000
FS( 31 ),1229120.000000000200,1216399.999999999800,1232240.000000000000,1408760.000000000000,1364960.000000000000,1437740.000000000000,1353350.000000000200,1247170.000000000000,10489740.000000000000
FS( 32 ),1229120.000000000200,1209120.000000000000,1248320.000000000000,1402000.000000000000,1357760.000000000000,1433330.000000000000,1354910.000000000000,1250000.000000000000,10484560.000000000000
FS( 33 ),1271960.000000000000,1216399.999999999800,1246639.999999999800,1402000.000000000000,1354160.000000000000,1419920.000000000000,1370510.000000000000,1248110.000000000000,10529700.000000000000
FS( 34 ),1288520.000000000000,1216399.999999999800,1251440.000000000000,1413840.000000000000,1368560.000000000000,1424330.000000000000,1406780.000000000000,1258500.000000000000,10628370.000000000000
FS( 35 ),1314800.000000000000,1228160.000000000000,1254800.000000000200,1472960.000000000000,1372160.000000000000,1442240.000000000000,1411459.999999999800,1315140.000000000000,10811720.000000000000
FS( 36 ),1275200.000000000000,1218639.999999999800,1254800.000000000200,1430720.000000000000,1361360.000000000000,1464560.000000000000,1411459.999999999800,1305700.000000000000,10722440.000000000000
FS( 37 ),1261879.999999999800,1211360.000000000000,1241840.000000000000,1417200.000000000000,1325440.000000000000,1451150.000000000000,1402100.000000000200,1258500.000000000000,10569470.000000000000
FS( 38 ),1276640.000000000000,1216399.999999999800,1235360.000000000200,1447600.000000000000,1321840.000000000000,1446740.000000000000,1428620.000000000200,1258500.000000000000,10631700.000000000000
FS( 39 ),1307600.000000000200,1220880.000000000000,1243520.000000000000,1461120.000000000000,1332640.000000000000,1473560.000000000000,1460209.999999999800,1277380.000000000000,10776910.000000000000
FS( 40 ),1306160.000000000000,1233200.000000000000,1250000.000000000000,1472960.000000000000,1332640.000000000000,1486970.000000000000,1452410.000000000000,1296260.000000000000,10830600.000000000000
FS( 41 ),1347560.000000000000,1220880.000000000000,1248320.000000000000,1462840.000000000000,1329040.000000000000,1464560.000000000000,1460209.999999999800,1291540.000000000000,10824950.000000000000
FS( 42 ),1377080.000000000000,1225920.000000000000,1256240.000000000000,1484760.000000000000,1346960.000000000000,1428830.000000000000,1466450.000000000000,1286820.000000000000,10873060.000000000000
FS( 43 ),1402280.000000000000,1238240.000000000000,1290080.000000000000,1488160.000000000000,1372160.000000000000,1410920.000000000000,1463330.000000000200,1305700.000000000000,10970870.000000000000
FS( 44 ),1387520.000000000000,1240480.000000000000,1293199.999999999800,1467880.000000000000,1375760.000000000000,1424330.000000000000,1458650.000000000000,1305700.000000000000,10953520.000000000000
FS( 45 ),1393280.000000000000,1230960.000000000000,1291520.000000000000,1483080.000000000000,1375760.000000000000,1415420.000000000000,1447729.999999999800,1319860.000000000000,10957610.000000000000
FS( 46 ),1378520.000000000000,1238240.000000000000,1306160.000000000000,1484760.000000000000,1379280.000000000000,1370690.000000000000,1469570.000000000000,1324580.000000000000,10951800.000000000000
FS( 47 ),1378520.000000000000,1235440.000000000000,1296320.000000000000,1469560.000000000000,1382880.000000000000,1375190.000000000000,1463330.000000000200,1329300.000000000000,10930540.000000000000
FS( 48 ),1328120.000000000200,1223679.999999999800,1298000.000000000000,1467880.000000000000,1465520.000000000000,1379690.000000000000,1447729.999999999800,1376500.000000000000,10987120.000000000000
FS( 49 ),1341440.000000000000,1235440.000000000000,1315760.000000000000,1461120.000000000000,1461920.000000000000,1379690.000000000000,1460209.999999999800,1352900.000000000000,11008480.000000000000
FS( 50 ),1347560.000000000000,1240480.000000000000,1320560.000000000000,1466200.000000000000,1494320.000000000000,1379690.000000000000,1453970.000000000000,1385940.000000000000,11088720.000000000000
