代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11058846.666425001000
真實報酬,1058846.666425000900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16864.044031218309
風險,77855.150545182449
起點值,0.216607943253
找到最佳解世代,1609
找到最佳解實驗#,1
找到最佳解次數,26

投資組合檔數,9
1102(1)[2],1216(2)[19],1301(3)[5],2408(23)[6],2881(31)[25],2883(33)[7],2884(34)[1],5880(47)[3],9999(50)[32],
Stock#,1102(1)[2],1216(2)[19],1301(3)[5],2408(23)[6],2881(31)[25],2883(33)[7],2884(34)[1],5880(47)[3],9999(50)[32],
張數,43,18,12,20,23,134,65,73,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,21491.000000000000,50551.000000000000,51511.000000000000,25111.000000000000,33561.000000000000,2931.000000000233,4811.000000000000,12461.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1121430.999999999800,1102471.000000000000,1112311.000000000200,1101111.000000000000,1114561.000000000000,1115131.000000000200,1111111.000000000000,1108191.000000000000,1111111.000000000000,9997430.000000000000
FS( 3 ),1129601.000000000000,1109311.000000000000,1122631.000000000200,1125111.000000000000,1114561.000000000000,1125851.000000000200,1113710.999999999800,1114761.000000000000,1111111.000000000000,10066650.000000000000
FS( 4 ),1127881.000000000000,1111111.000000000000,1122631.000000000200,1125111.000000000000,1112261.000000000000,1127191.000000000200,1105261.000000000000,1114761.000000000000,1111111.000000000000,10057320.000000000000
FS( 5 ),1117131.000000000000,1097251.000000000000,1116871.000000000200,1123111.000000000000,1109960.999999999800,1119151.000000000200,1102011.000000000000,1114761.000000000000,1111111.000000000000,10011360.000000000000
FS( 6 ),1117131.000000000000,1093651.000000000000,1103191.000000000000,1131111.000000000000,1101911.000000000200,1143271.000000000200,1105261.000000000000,1108191.000000000000,1111111.000000000000,10014830.000000000000
