代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10910320.000000000000
真實報酬,910320.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13635.742219241336
風險,68489.694757199220
起點值,0.199091881889
找到最佳解世代,1524
找到最佳解實驗#,2
找到最佳解次數,44

投資組合檔數,9
2324(16)[16],2330(18)[3],2412(25)[4],2474(27)[2],2884(34)[12],2887(37)[6],2912(41)[9],3481(44)[13],5880(47)[1],
Stock#,2324(16)[16],2330(18)[3],2412(25)[4],2474(27)[2],2884(34)[12],2887(37)[6],2912(41)[9],3481(44)[13],5880(47)[1],
張數,58,5,11,3,67,96,4,88,78,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,13171.000000000000,177261.000000000000,23981.000000000233,240901.000000000000,251.000000000000,391.000000000000,105111.000000000000,4951.000000000000,8971.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1111111.000000000000,1103861.000000000000,1116391.000000000200,1131511.000000000000,1111111.000000000000,1111111.000000000000,1099471.000000000000,1106711.000000000000,1114231.000000000000,10005510.000000000000
FS( 3 ),1097771.000000000000,1101461.000000000000,1121561.000000000200,1116931.000000000000,1111111.000000000000,1111111.000000000000,1105311.000000000000,1145431.000000000000,1118131.000000000000,10028820.000000000000
FS( 4 ),1130251.000000000200,1096611.000000000000,1116391.000000000200,1112581.000000000000,1123171.000000000000,1107270.999999999800,1099471.000000000000,1215830.999999999800,1118131.000000000000,10119710.000000000000
FS( 5 ),1138370.999999999800,1101461.000000000000,1111111.000000000000,1111111.000000000000,1123171.000000000000,1098631.000000000000,1113031.000000000000,1176231.000000000000,1125151.000000000000,10098270.000000000000
FS( 6 ),1116911.000000000000,1101461.000000000000,1111111.000000000000,1108201.000000000000,1123171.000000000000,1102471.000000000000,1105311.000000000000,1251031.000000000000,1118131.000000000000,10137800.000000000000
FS( 7 ),1125031.000000000200,1103861.000000000000,1111111.000000000000,1111111.000000000000,1125851.000000000200,1111111.000000000000,1095591.000000000000,1246630.999999999800,1125151.000000000000,10155450.000000000000
FS( 8 ),1108211.000000000000,1091761.000000000000,1111111.000000000000,1084921.000000000000,1128531.000000000000,1102471.000000000000,1093671.000000000000,1246630.999999999800,1107211.000000000000,10074520.000000000000
FS( 9 ),1105891.000000000000,1084511.000000000000,1121561.000000000200,1086391.000000000000,1125180.999999999800,1089030.999999999800,1093671.000000000000,1289751.000000000000,1107211.000000000000,10103200.000000000000
FS( 10 ),1116911.000000000000,1086961.000000000000,1116391.000000000200,1089301.000000000000,1122501.000000000000,1093831.000000000000,1091711.000000000000,1298551.000000000000,1111111.000000000000,10127270.000000000000
FS( 11 ),1119231.000000000000,1079661.000000000000,1105831.000000000200,1070371.000000000000,1113121.000000000000,1085191.000000000200,1089791.000000000000,1277431.000000000000,1100191.000000000000,10040820.000000000000
FS( 12 ),1125031.000000000200,1082111.000000000000,1100551.000000000500,1083481.000000000000,1113121.000000000000,1080391.000000000000,1109191.000000000000,1237830.999999999800,1093171.000000000000,10024880.000000000000
FS( 13 ),1122131.000000000000,1096611.000000000000,1105831.000000000200,1084921.000000000000,1119150.999999999800,1085191.000000000200,1105311.000000000000,1229031.000000000000,1107211.000000000000,10055390.000000000000
FS( 14 ),1130251.000000000200,1096611.000000000000,1105831.000000000200,1089301.000000000000,1109771.000000000000,1098631.000000000000,1103351.000000000000,1198231.000000000000,1111111.000000000000,10043090.000000000000
FS( 15 ),1130251.000000000200,1106311.000000000000,1111111.000000000000,1125691.000000000000,1122501.000000000000,1111111.000000000000,1122751.000000000000,1285351.000000000000,1114231.000000000000,10229310.000000000000
FS( 16 ),1127351.000000000000,1101461.000000000000,1105831.000000000200,1144591.000000000000,1122501.000000000000,1107270.999999999800,1145991.000000000000,1273031.000000000000,1125151.000000000000,10253180.000000000000
FS( 17 ),1119231.000000000000,1111111.000000000000,1105831.000000000200,1138771.000000000000,1116471.000000000000,1107270.999999999800,1114991.000000000000,1242231.000000000000,1118131.000000000000,10174040.000000000000
FS( 18 ),1116911.000000000000,1118411.000000000000,1095381.000000000200,1143151.000000000000,1109771.000000000000,1102471.000000000000,1122751.000000000000,1237830.999999999800,1118131.000000000000,10164810.000000000000
FS( 19 ),1133151.000000000000,1128061.000000000000,1105831.000000000200,1138771.000000000000,1119150.999999999800,1115911.000000000000,1120791.000000000000,1259830.999999999800,1125151.000000000000,10246650.000000000000
FS( 20 ),1136050.999999999800,1135311.000000000000,1111111.000000000000,1146061.000000000000,1125180.999999999800,1120711.000000000000,1120791.000000000000,1246630.999999999800,1129051.000000000000,10270900.000000000000
FS( 21 ),1136050.999999999800,1135311.000000000000,1116391.000000000200,1153321.000000000000,1122501.000000000000,1120711.000000000000,1118871.000000000000,1280951.000000000000,1136071.000000000000,10320180.000000000000
FS( 22 ),1125031.000000000200,1132911.000000000000,1111111.000000000000,1146061.000000000000,1122501.000000000000,1115911.000000000000,1114991.000000000000,1251031.000000000000,1132951.000000000000,10252500.000000000000
FS( 23 ),1125031.000000000200,1157111.000000000000,1121561.000000000200,1175161.000000000000,1122501.000000000000,1115911.000000000000,1111111.000000000000,1207031.000000000000,1136071.000000000000,10271490.000000000000
FS( 24 ),1127351.000000000000,1161961.000000000000,1126841.000000000500,1221721.000000000000,1113121.000000000000,1111111.000000000000,1128551.000000000000,1149830.999999999800,1139971.000000000000,10280460.000000000000
FS( 25 ),1133151.000000000000,1171611.000000000000,1121561.000000000200,1198441.000000000000,1113121.000000000000,1120711.000000000000,1151831.000000000000,1171830.999999999800,1136071.000000000000,10318330.000000000000
FS( 26 ),1108211.000000000000,1181311.000000000000,1121561.000000000200,1180981.000000000000,1119150.999999999800,1129351.000000000000,1177031.000000000000,1137511.000000000000,1136071.000000000000,10291180.000000000000
FS( 27 ),1114011.000000000000,1174011.000000000000,1132121.000000000000,1169341.000000000000,1122501.000000000000,1134151.000000000000,1171191.000000000000,1133111.000000000000,1136071.000000000000,10286510.000000000000
FS( 28 ),1133151.000000000000,1174011.000000000000,1137401.000000000200,1202791.000000000000,1122501.000000000000,1151431.000000000000,1165391.000000000000,1141911.000000000000,1139971.000000000000,10368560.000000000000
FS( 29 ),1133151.000000000000,1166761.000000000000,1137401.000000000200,1192621.000000000000,1125180.999999999800,1156231.000000000000,1180871.000000000000,1154231.000000000000,1139971.000000000000,10386420.000000000000
FS( 30 ),1136050.999999999800,1164361.000000000000,1137401.000000000200,1210081.000000000000,1137241.000000000000,1182151.000000000000,1165391.000000000000,1141911.000000000000,1143871.000000000000,10418460.000000000000
FS( 31 ),1144171.000000000000,1161961.000000000000,1137401.000000000200,1176601.000000000000,1137241.000000000000,1156231.000000000000,1147951.000000000000,1133111.000000000000,1139971.000000000000,10334640.000000000000
FS( 32 ),1149391.000000000000,1159511.000000000000,1132121.000000000000,1169341.000000000000,1134561.000000000000,1156231.000000000000,1145991.000000000000,1180630.999999999800,1139971.000000000000,10367750.000000000000
FS( 33 ),1136050.999999999800,1169211.000000000000,1137401.000000000200,1164961.000000000000,1134561.000000000000,1160071.000000000000,1149871.000000000000,1154231.000000000000,1139971.000000000000,10346330.000000000000
