代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11991630.000000000000
真實報酬,1991630.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,30411.281843317971
風險,83034.332735061034
起點值,0.366249487912
找到最佳解世代,2268
找到最佳解實驗#,32
找到最佳解次數,2

投資組合檔數,7
2303(13)[18],2474(26)[4],2882(31)[24],2883(32)[20],2884(33)[7],2887(36)[10],3008(41)[1],
Stock#,2303(13)[18],2474(26)[4],2882(31)[24],2883(32)[20],2884(33)[7],2887(36)[10],3008(41)[1],
張數,128,7,40,203,124,142,1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,5211.000000000000,26470.999999999767,6171.000000000000,1480.999999999767,91.000000000000,4311.000000000000,31371.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1418331.000000000000,1450550.999999999800,1423771.000000000000,1428571.000000000000,1428571.000000000000,1424311.000000000000,1471061.000000000000,10045170.000000000000
FS( 3 ),1434971.000000000000,1466300.999999999800,1430171.000000000000,1438720.999999999800,1428571.000000000000,1428571.000000000000,1456901.000000000000,10084210.000000000000
FS( 4 ),1423451.000000000000,1447400.999999999800,1434971.000000000000,1432630.999999999500,1428571.000000000000,1424311.000000000000,1442741.000000000000,10034080.000000000000
FS( 5 ),1434971.000000000000,1444250.999999999800,1438171.000000000000,1428571.000000000000,1436011.000000000000,1449871.000000000000,1537141.000000000000,10168990.000000000000
FS( 6 ),1440091.000000000000,1463150.999999999800,1438171.000000000000,1438720.999999999800,1475691.000000000200,1449871.000000000000,1579621.000000000000,10285320.000000000000
FS( 7 ),1451611.000000000000,1447400.999999999800,1463771.000000000000,1446841.000000000000,1486851.000000000000,1465490.999999999800,1565461.000000000000,10327430.000000000000
FS( 8 ),1440091.000000000000,1434870.999999999500,1455771.000000000200,1446841.000000000000,1479411.000000000000,1459811.000000000000,1574901.000000000000,10291700.000000000000
FS( 9 ),1423451.000000000000,1428571.000000000000,1441371.000000000000,1436690.999999999800,1479411.000000000000,1455551.000000000000,1489941.000000000000,10154990.000000000000
FS( 10 ),1423451.000000000000,1412821.000000000000,1426971.000000000200,1438720.999999999800,1486851.000000000000,1444191.000000000000,1527701.000000000000,10160710.000000000000
FS( 11 ),1413211.000000000000,1488281.000000000000,1418971.000000000000,1434660.999999999500,1490571.000000000000,1439931.000000000000,1541861.000000000000,10227490.000000000000
