代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12344562.729999998584390
真實報酬,2344562.729999998584390

夏普值報酬,0.225756273000000
夏普值風險,0.056627697818266
夏普值,3.986675808797936

預期報酬,20043.247003619799216
風險,197624.070276382233715
趨勢值,0.101421081832738
找到最佳解世代,2464
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](17),PFE[20](2),UNH[23](1),
Stock#,MCD[15](17),PFE[20](2),UNH[23](1),
張數,43425,190367,92310,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,30.000000000000000,6.829999999608845,18.899999999906868,
20110103,3326384.999999999534339,3365695.389999999664724,3427489.200000000186265,10119570.589999999850988
20110104,3226941.750000000000000,3424709.159999999217689,3458874.599999999627471,10110526.509999997913837
20110105,3242140.500000000000000,3447553.199999999720603,3469951.800000000279397,10159646.500000000000000
20110106,3222599.249999999534339,3460878.889999999664724,3541953.599999999627471,10225432.739999998360872
20110107,3229547.250000000000000,3491337.609999999403954,3549338.400000000372529,10270224.259999999776483
20110110,3194373.000000000000000,3476108.250000000000000,3549338.400000000372529,10219820.650000000372529
20110111,3209137.500000000465661,3468493.569999999366701,3607493.699999999720603,10285125.769999999552965
20110112,3196109.999999999534339,3497048.619999999646097,3587185.500000000000000,10280345.119999999180436
20110113,3155724.750000000000000,3468493.569999999366701,3655494.899999999906868,10279714.219999998807907
20110114,3216085.500000000000000,3491337.609999999403954,3763497.600000000093132,10470921.709999999031425
20110118,3243009.000000000465661,3498952.289999999571592,3773651.700000000186265,10515613.990000000223517
20110119,3272103.749999999534339,3487530.269999999552965,3744112.500000000000000,10503747.519999999552965
20110120,3263853.000000000000000,3472300.909999999217689,3721035.000000000000000,10457189.910000000149012
20110121,3257339.250000000000000,3495144.949999999720603,3730265.999999999534339,10482751.199999999254942
20110124,3273406.500000000000000,3512277.979999999515712,3674880.000000000000000,10460565.480000000447035
20110125,3277749.000000000000000,3516085.319999999366701,3749651.099999999627471,10543486.419999998062849
20110126,3264287.250000000000000,3495144.949999999720603,3715496.399999999906868,10474929.599999999627471
