代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11968771.489999998360872
真實報酬,1968771.489999998360872

夏普值報酬,0.188177149000000
夏普值風險,0.047933111410637
夏普值,3.925827960298867

預期報酬,14548.983821483581778
風險,146005.463749328191625
趨勢值,0.099646845041787
找到最佳解世代,1703
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
WMT[28](2),XOM[29](1),
Stock#,WMT[28](2),XOM[29](1),
張數,81566,64143,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,4.200000000186265,53.149999999441206,
20160104,5013050.560000000521541,4968569.929999998770654,9981620.489999998360872
20160105,5132136.919999999925494,5010904.309999999590218,10143041.230000000447035
20160106,5183523.500000000000000,4969211.359999999403954,10152734.859999999403954
20160107,5304241.180000000633299,4889674.040000000037253,10193915.220000000670552
20160108,5182707.839999999850988,4790893.819999999366701,9973601.660000000149012
20160111,5238172.719999999739230,4726750.819999999366701,9964923.539999999105930
20160112,5189233.120000000111759,4823606.750000000000000,10012839.870000001043081
20160113,5050570.919999999925494,4852471.099999999627471,9903042.019999999552965
20160114,5143556.160000000149012,5075047.309999999590218,10218603.469999998807907
20160115,5051386.580000000074506,4976267.089999998919666,10027653.669999998062849
20160119,5102773.160000000149012,4900578.349999999627471,10003351.509999999776483
20160120,4962479.640000000596046,4694037.889999999664724,9656517.530000001192093
20160121,5047308.280000000260770,4753049.449999999254942,9800357.730000000447035
20160122,5113376.740000000223517,4911482.659999999217689,10024859.399999998509884
20160125,5175366.900000000372529,4745352.290000000037253,9920719.190000001341105
20160126,5220228.200000000186265,4919821.250000000000000,10140049.449999999254942
20160127,5216149.900000000372529,4829379.620000000111759,10045529.519999999552965
20160128,5238172.719999999739230,4938422.719999998807907,10176595.439999997615814
20160129,5412723.959999999962747,4993585.699999999254942,10406309.660000000149012
20160201,5505709.200000000186265,4893522.620000000111759,10399231.820000000298023
20160202,5453506.959999999962747,4784479.519999999552965,10237986.480000000447035
20160203,5405383.019999999552965,5033995.790000000037253,10439378.809999998658895
20160204,5417617.919999999925494,5120588.839999998919666,10538206.759999997913837
20160205,5464926.200000000186265,5136624.589999998919666,10601550.789999999105930
20160208,5456769.600000000558794,5205899.029999999329448,10662668.629999998956919
20160209,5367862.660000000149012,5136624.589999998919666,10504487.250000000000000
20160210,5366231.340000000782311,5089800.199999999254942,10456031.539999999105930
