代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11678522.059999998658895
真實報酬,1678522.059999998658895

夏普值報酬,0.159152206000000
夏普值風險,0.051981647715513
夏普值,3.061699907456068

預期報酬,14870.774834528547217
風險,244922.956857886252692
趨勢值,0.060716133045695
找到最佳解世代,2040
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](4),MSFT[18](1),NKE[19](3),
Stock#,INTC[11](4),MSFT[18](1),NKE[19](3),
張數,72212,38968,53290,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,27.080000000074506,10.279999999795109,43.500000000000000,
20180102,3383159.280000000260770,3349309.879999999888241,3383425.600000000093132,10115895.759999999776483
20180103,3268342.199999999720603,3364897.079999999608845,3382892.699999999720603,10016132.979999998584390
20180104,3208406.240000000223517,3394512.759999999776483,3380761.100000000093132,9983681.099999999627471
20180105,3230791.960000000428408,3436598.199999999720603,3409537.699999999720603,10076928.859999999403954
20180108,3230791.960000000428408,3440105.319999999832362,3439913.000000000000000,10110811.280000001192093
20180109,3149914.520000000018626,3437767.239999999757856,3415399.600000000093132,10003082.359999999403954
20180110,3069037.080000000074506,3422180.039999999571592,3422327.299999999813735,9913545.419999998062849
20180111,3134750.000000000000000,3432311.719999999739230,3426057.600000000558794,9993120.320000000298023
20180112,3122473.960000000428408,3491543.079999999608845,3446307.800000000279397,10060325.839999999850988
20180116,3115252.760000000242144,3442833.079999999608845,3379695.300000000279397,9937782.140000000596046
20180117,3205517.760000000242144,3512585.799999999813735,3400478.399999999906868,10118582.960000000894070
20180118,3212016.839999999850988,3511027.079999999608845,3416465.399999999906868,10139510.320000000298023
20180119,3236568.919999999925494,3507130.279999999795109,3581664.399999999441206,10325364.599999997764826
20180122,3303726.080000000074506,3569868.759999999776483,3537966.600000000093132,10411562.439999999478459
20180123,3326111.800000000279397,3581169.479999999981374,3577934.100000000093132,10485216.380000000819564
20180124,3286395.199999999720603,3578052.039999999571592,3623763.500000000000000,10488211.739999998360872
20180125,3271230.679999999701977,3597925.719999999739230,3608309.399999999441206,10477466.799999998882413
20180126,3616404.040000000037253,3665340.359999999869615,3625895.100000000558794,10907640.500000000000000
20180129,3609182.839999999850988,3659884.839999999850988,3601381.699999999720603,10870450.379999998956919
20180130,3523250.560000000055879,3613902.599999999627471,3588059.199999999720603,10725213.359999999403954
20180131,3476312.760000000242144,3702359.959999999962747,3635487.299999999813735,10814161.019999999552965
20180201,3440928.879999999888241,3673133.959999999962747,3605112.000000000465661,10719175.839999999850988
20180202,3332610.879999999888241,3576493.319999999832362,3582197.299999999813735,10491302.500000000000000
20180205,3214905.320000000298023,3429194.279999999795109,3431386.600000000093132,10075487.199999999254942
20180206,3243068.000000000000000,3558957.719999999739230,3475617.299999999813735,10277644.019999999552965
20180207,3264009.480000000447035,3491932.759999999776483,3497466.199999999720603,10253409.439999999478459
20180208,3087090.080000000074506,3312679.959999999962747,3330135.600000000093132,9729906.640000000596046
20180209,3173744.480000000447035,3436208.520000000018626,3490005.599999999627471,10099959.599999999627471
20180212,3237291.040000000037253,3473228.119999999646097,3516117.700000000186265,10226637.859999999403954
20180213,3210572.600000000093132,3500505.719999999739230,3510255.800000000279397,10221335.120000001043081
20180214,3277007.640000000130385,3538694.359999999869615,3621631.899999999441206,10437334.899999998509884
20180215,3316002.120000000111759,3610785.159999999683350,3639217.600000000558794,10566005.879999998956919
20180216,3290005.800000000279397,3585066.279999999795109,3639750.500000000000000,10514823.580000000074506
20180220,3344886.919999999925494,3613123.239999999757856,3596585.599999999627471,10554596.759999999776483
20180221,3317446.359999999869615,3565192.599999999627471,3573138.000000000000000,10455777.959999999031425
20180222,3307336.679999999701977,3574544.919999999925494,3577401.199999999720603,10459283.799999998882413
20180223,3446705.839999999850988,3665340.359999999869615,3632289.899999999906868,10744337.099999999627471
20180226,3546358.399999999906868,3718336.839999999850988,3711692.000000000465661,10976388.240000000223517
20180227,3604128.000000000000000,3670795.879999999888241,3625362.200000000186265,10900287.080000000074506
20180228,3559356.560000000055879,3654039.639999999664724,3572072.200000000186265,10785469.399999998509884
20180301,3454649.160000000149012,3618189.079999999608845,3534236.299999999813735,10607075.539999999105930
20180302,3536970.839999999850988,3625982.679999999701977,3511321.600000000093132,10674276.119999999180436
20180305,3592574.080000000074506,3648973.799999999813735,3466558.000000000000000,10708106.879999998956919
20180306,3661897.600000000093132,3636504.039999999571592,3476683.099999999627471,10775085.739999998360872
20180307,3705946.919999999925494,3657546.759999999776483,3419662.800000000279397,10783157.480000000447035
20180308,3664063.960000000428408,3679758.520000000018626,3469755.399999999906868,10813578.880000000819564
20180309,3768771.359999999869615,3761981.000000000000000,3533170.500000000000000,11063923.859999999403954
20180312,3720389.320000000298023,3770943.639999999664724,3560881.299999999813735,11052215.259999999776483
20180313,3739164.439999999944121,3678979.159999999683350,3526242.800000000279397,10944387.400000000372529
20180314,3744941.399999999906868,3657157.079999999608845,3527841.500000000000000,10929940.980000000447035
20180315,3674173.640000000130385,3670016.520000000018626,3537966.600000000093132,10882157.759999999776483
20180316,3695115.120000000111759,3686383.079999999608845,3512387.399999999906868,10893886.599999999627471
20180319,3670563.040000000037253,3619747.799999999813735,3501729.399999999441206,10792041.239999998360872
20180320,3722555.679999999701977,3629100.119999999646097,3559815.500000000000000,10911472.299999998882413
20180321,3723277.800000000279397,3603770.919999999925494,3535834.999999999534339,10862884.720000000670552
20180322,3670563.040000000037253,3498947.000000000000000,3432985.300000000279397,10602496.339999999850988
20180323,3564411.399999999906868,3397240.520000000018626,3444176.199999999720603,10405829.119999999180436
20180326,3789712.839999999850988,3654429.319999999832362,3511854.500000000465661,10955997.660000000149012
20180327,3696559.359999999869615,3486477.239999999757856,3526242.800000000279397,10709280.400000000372529
20180328,3581742.280000000260770,3483359.799999999813735,3487341.100000000093132,10552444.179999999701977
20180329,3760828.040000000037253,3556619.639999999664724,3540631.100000000093132,10858079.779999999329448
20180402,3532638.120000000111759,3449457.639999999664724,3416998.300000000279397,10399095.060000000521541
20180403,3592574.080000000074506,3495829.559999999590218,3554486.500000000000000,10642891.140000000596046
20180404,3609904.960000000428408,3597925.719999999739230,3646145.300000000279397,10853976.980000000447035
20180405,3638067.640000000130385,3599874.119999999646097,3708494.600000000093132,10946437.359999999403954
20180406,3523250.560000000055879,3516092.919999999925494,3599783.000000000000000,10639127.480000000447035
20180409,3578131.679999999701977,3537135.639999999664724,3580065.700000000186265,10695334.019999999552965
20180410,3702336.320000000298023,3619358.119999999646097,3570473.500000000000000,10892168.939999999478459
