代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13383289.285500001000
真實報酬,3383289.285500001200

夏普值報酬,0.329628928550
夏普值風險,0.096852161771
夏普值,3.403423553217

預期報酬,27973.574097082765
風險,335100.787439853240
起點值,0.083478091206
找到最佳解世代,3274
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,7
1101(0),2301(13),2330(20),2881(33),3008(42),3481(45),3673(47),
Stock#,1101(0),2301(13),2330(20),2881(33),3008(42),3481(45),3673(47),
張數,50,50,18,55,2,153,4,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,23071.012500000001,15059.612499999999,52673.135499999997,6447.357500000000,324980.621500000010,8239.908250000000,54095.159000000000,
FS( 1 ),1426571.012500000000,1426559.612500000000,1426613.135500000100,1426547.357499999900,1427000.621499999900,1426549.908250000100,1426615.159000000000,9986459.806749999500
FS( 2 ),1412395.925000000000,1412846.912500000100,1431285.661000000300,1420263.414999999800,1453584.353000000100,1427890.035250000200,1472510.773000000000,10030780.074750001000
FS( 3 ),1406422.474999999900,1394428.775000000100,1434332.120500000200,1411502.355000000000,1457287.892000000000,1441599.103000000100,1485532.894000000100,10031108.614499999000
FS( 4 ),1429818.487500000000,1382979.662500000100,1446697.162000000200,1433952.571249999800,1453584.353000000100,1433982.954250000200,1479957.673999999900,10060975.864500001000
FS( 5 ),1433800.787499999900,1399904.437500000000,1452790.081000000000,1449284.426250000000,1481340.984000000200,1455308.170750000000,1502218.731000000100,10174650.618000001000
FS( 6 ),1433800.787499999900,1403388.950000000000,1423579.910500000000,1440523.366249999700,1457287.892000000000,1427890.035250000200,1465103.694999999800,10051577.636500001000
FS( 7 ),1449232.200000000000,1423798.237500000000,1392936.112000000200,1456402.787499999900,1438790.108500000100,1427890.035250000200,1465103.694999999800,10054156.175750000000
FS( 8 ),1420360.524999999900,1412846.912500000100,1368206.028999999900,1442713.631249999900,1455436.122500000100,1420273.886500000300,1450249.716000000000,9970089.822750000300
FS( 9 ),1398955.662499999900,1431265.050000000000,1380571.070500000100,1438333.101249999800,1457287.892000000000,1406564.818750000100,1446546.177000000100,9959526.771999999900
FS( 10 ),1429818.487500000000,1408864.612500000000,1382004.698500000400,1433952.571249999800,1459139.661499999900,1441599.103000000100,1439099.276000000100,9994481.410250000700
FS( 11 ),1447241.050000000000,1412846.912500000100,1399029.031000000000,1440523.366249999700,1466526.827999999700,1537562.577250000100,1494811.652999999900,10198544.418000001000
FS( 12 ),1457196.800000000000,1429771.687500000000,1397416.199500000100,1436142.836249999900,1449880.814000000200,1564980.712750000200,1509665.632000000000,10245057.682000000000
FS( 13 ),1453214.500000000000,1412846.912500000100,1408168.409500000100,1447094.161250000100,1455436.122500000100,1571073.631749999900,1498515.192000000000,10246351.929500001000
FS( 14 ),1484575.112500000000,1412846.912500000100,1386663.989500000100,1433952.571249999800,1444325.505500000000,1586305.929250000000,1485532.894000000100,10234205.914500000000
FS( 15 ),1492041.925000000000,1405380.100000000100,1375911.779500000200,1422453.679999999900,1427679.491500000000,1592398.848250000000,1472510.773000000000,10188379.597250000000
FS( 16 ),1484575.112500000000,1412846.912500000100,1371252.488500000000,1404931.559999999800,1422124.182999999700,1586305.929250000000,1479957.673999999900,10161996.859750001000
FS( 17 ),1486566.262500000000,1423798.237500000000,1366772.401000000100,1413692.619999999900,1420272.413500000300,1537562.577250000100,1498515.192000000000,10147182.703750001000
FS( 18 ),1498015.375000000000,1405380.100000000100,1357453.819000000100,1398360.765000000100,1425827.722000000100,1475110.157500000200,1465103.694999999800,10025254.633500000000
FS( 19 ),1439774.237500000000,1397913.287500000100,1395982.571500000100,1344699.272499999700,1464675.058499999800,1420273.886500000300,1435395.737000000000,9898717.051000000900
FS( 20 ),1459187.950000000000,1394428.775000000100,1408168.409500000100,1344699.272499999700,1453584.353000000100,1482726.306249999900,1342568.323999999800,9885366.390249999200
FS( 21 ),1476610.512500000000,1397913.287500000100,1406734.781500000000,1357840.862500000000,1472082.136500000000,1516237.360750000000,1346271.862999999900,9973693.804250000000
FS( 22 ),1478601.662499999900,1401397.800000000000,1417486.991500000000,1344699.272499999700,1475785.675499999900,1510144.441750000000,1416838.219000000000,10044957.062750001000
FS( 23 ),1445747.687500000000,1384970.812500000000,1425192.742000000300,1349079.802500000000,1496135.228499999700,1564980.712750000200,1461400.156000000000,10127510.141750000000
FS( 24 ),1474619.362500000000,1394428.775000000100,1435944.952000000000,1382481.343749999800,1492431.689499999900,1537562.577250000100,1474382.453999999900,10191854.154000001000
FS( 25 ),1503988.825000000000,1416331.425000000000,1442037.871000000000,1375910.548750000300,1462843.200499999800,1543655.496250000100,1492939.972000000100,10237710.338500001000
FS( 26 ),1513446.787499999900,1420313.725000000100,1443650.702500000100,1407121.824999999700,1518336.551000000000,1537562.577250000100,1535670.051000000000,10376105.219249997000
FS( 27 ),1519420.237500000000,1420313.725000000100,1452790.081000000000,1431762.306249999900,1601606.444000000100,1543655.496250000100,1563506.328000000000,10533057.618000001000
FS( 28 ),1500006.524999999900,1412846.912500000100,1445084.330500000400,1411502.355000000000,1653396.255500000000,1586305.929250000000,1596917.825000000000,10606063.132749999000
FS( 29 ),1486566.262500000000,1394428.775000000100,1449743.621499999900,1427381.776249999900,1631194.932999999700,1586305.929250000000,1650758.520999999900,10626382.818499999000
FS( 30 ),1486566.262500000000,1390446.475000000100,1457449.372000000000,1427381.776249999900,1608993.610500000000,1592398.848250000000,1608068.265000000100,10571307.609500000000
FS( 31 ),1459187.950000000000,1357094.712500000100,1442037.871000000000,1384671.608750000100,1583088.748999999800,1523853.509500000200,1595046.144000000100,10344983.544749999000
FS( 32 ),1453214.500000000000,1403388.950000000000,1445084.330500000400,1398360.765000000100,1588644.057500000100,1551271.645000000300,1624754.102000000000,10464721.350000001000
FS( 33 ),1435791.937500000000,1408864.612500000000,1440604.243000000200,1371530.018750000000,1601606.444000000100,1537562.577250000100,1635904.541999999900,10431867.375000000000
FS( 34 ),1437783.087499999900,1403388.950000000000,1440604.243000000200,1371530.018750000000,1573849.813000000100,1523853.509500000200,1598789.506000000100,10349802.127750002000
FS( 35 ),1445747.687500000000,1420313.725000000100,1437557.783499999900,1386861.873750000000,1608993.610500000000,1543655.496250000100,1563506.328000000000,10406639.504500000000
FS( 36 ),1453214.500000000000,1414838.062500000000,1443650.702500000100,1396170.499999999800,1594199.365999999900,1537562.577250000100,1569081.548000000200,10408720.256250001000
FS( 37 ),1453214.500000000000,1412846.912500000100,1445084.330500000400,1373720.283749999900,1614548.919000000200,1516237.360750000000,1598789.506000000100,10414444.812500000000
FS( 38 ),1427827.337499999900,1412846.912500000100,1457449.372000000000,1382481.343749999800,1605290.071500000100,1529946.428500000200,1589510.747000000000,10405355.212749999000
FS( 39 ),1453214.500000000000,1431265.050000000000,1522141.835500000000,1429572.041249999500,1651544.486000000000,1571073.631749999900,1624754.102000000000,10683568.646500001000
FS( 40 ),1453214.500000000000,1431265.050000000000,1519095.375999999900,1449284.426250000000,1720000.223000000200,1633526.051500000100,1674891.259000000100,10881279.885749999000
FS( 41 ),1437783.087499999900,1442714.162500000100,1534327.673500000300,1447094.161250000100,1714464.825999999900,1647235.119250000000,1650758.520999999900,10874380.550999999000
FS( 42 ),1422351.675000000000,1438731.862500000000,1528234.754500000300,1447094.161250000100,1721851.992500000200,1758430.891000000300,1665612.500000000000,10982310.836750001000
FS( 43 ),1472628.212499999900,1442714.162500000100,1537553.336500000200,1449284.426250000000,1732962.609500000300,1723396.606750000000,1756608.054999999900,11115150.409000000000
FS( 44 ),1501997.675000000000,1494981.850000000100,1571422.798000000200,1478305.437499999800,1794011.268500000200,1799558.094250000100,1776997.431000000100,11417277.554250000000
FS( 45 ),1500006.524999999900,1490999.550000000000,1559057.756500000100,1480495.702500000100,1764402.868000000200,1922939.704000000100,1773293.892000000000,11491198.998000000000
FS( 46 ),1488059.625000000000,1480048.225000000100,1538986.964500000000,1485423.798750000300,1781068.793500000100,1991485.042750000300,1867992.986000000000,11633068.435500002000
FS( 47 ),1507473.337499999900,1490999.550000000000,1543646.255500000200,1491994.593749999800,1805121.885500000300,1999101.191500000200,1897700.944000000100,11736040.757750001000
FS( 48 ),1496024.224999999900,1500457.512500000000,1538986.964500000000,1496375.123750000000,1908721.419999999900,1930555.852750000100,1897700.944000000100,11768825.042500000000
FS( 49 ),1554265.362500000000,1505933.175000000000,1562104.216000000200,1496375.123750000000,1916128.498000000100,2061553.611250000100,1880975.284000000000,11977338.270500001000
FS( 50 ),1538833.950000000000,1483532.737500000000,1537553.336500000200,1482685.967500000000,1951272.295500000000,2032612.246000000000,1890254.043000000100,11916747.575999999000
FS( 51 ),1534851.649999999900,1480048.225000000100,1565150.675499999900,1482685.967500000000,1927219.203499999800,1971683.056000000100,1918130.142999999900,11879771.920499999000
FS( 52 ),1538833.950000000000,1492990.700000000000,1566763.507000000200,1509516.713749999900,1914276.728499999700,2012810.259250000100,1918130.142999999900,11953325.001499999000
FS( 53 ),1540825.099999999900,1500457.512500000000,1578949.345000000200,1521015.605000000000,1882816.558499999800,2149900.936750000300,1910683.241999999900,12084651.299750000000
FS( 54 ),1540825.099999999900,1490999.550000000000,1566763.507000000200,1511706.978749999500,1775513.484999999900,2184935.220999999900,1867992.986000000000,11938739.827749999000
FS( 55 ),1532860.500000000000,1483532.737500000000,1545259.087000000300,1509516.713749999900,1695947.131000000100,2171226.153250000000,1801130.169000000000,11739475.491500000000
FS( 56 ),1528878.200000000000,1468599.112500000000,1540599.796000000100,1513897.243749999900,1721851.992500000200,2177319.072250000200,1899532.802000000100,11850681.219000001000
FS( 57 ),1519420.237500000000,1476065.925000000000,1549739.174500000200,1545656.086249999900,1777365.254499999800,2315932.979500000400,1918130.142999999900,12102312.800249999000
FS( 58 ),1519420.237500000000,1446198.675000000000,1529847.586000000400,1516635.074999999700,1797714.807500000100,2419512.602500000000,1955245.179000000000,12184577.162500000000
FS( 59 ),1480592.812500000000,1437238.500000000000,1511389.625500000100,1502945.918749999700,1758867.470999999900,2253480.559750000000,1929240.760000000000,11873758.647499999000
FS( 60 ),1449232.200000000000,1418322.575000000000,1525188.295000000200,1507326.448750000000,1762571.010000000200,2308316.830749999300,1992360.215000000100,11963320.574500000000
FS( 61 ),1480592.812500000000,1476065.925000000000,1517482.544500000100,1509516.713749999900,1738517.918000000100,2149900.936750000300,1940391.200000000000,11812471.050500000000
FS( 62 ),1500006.524999999900,1459638.937500000000,1537553.336500000200,1527586.399999999900,1771809.946000000000,2198644.288750000300,1977506.236000000000,11972748.669750001000
FS( 63 ),1527384.837499999900,1450180.975000000100,1529847.586000000400,1529776.664999999800,1762571.010000000200,2143808.017749999600,1977506.236000000000,11921078.327249998000
FS( 64 ),1532860.500000000000,1448189.825000000000,1523575.463500000100,1534157.194999999800,1755163.932000000000,2177319.072250000200,1962652.257000000000,11933921.244750001000
FS( 65 ),1534851.649999999900,1452172.125000000000,1545259.087000000300,1571939.266249999900,1764402.868000000200,2157517.085499999600,1958948.718000000100,11985093.799750000000
FS( 66 ),1538833.950000000000,1498466.362500000000,1585221.467500000000,1571939.266249999900,1864318.774999999900,2302223.911750000400,1988656.676000000000,12349663.409000002000
FS( 67 ),1532860.500000000000,1505933.175000000000,1606725.887500000200,1581247.892500000300,1849524.530499999900,2322025.898499999700,2007214.194000000100,12405535.078000000000
FS( 68 ),1538833.950000000000,1490999.550000000000,1614431.638000000000,1567558.736250000300,1808825.424499999700,2322025.898499999700,2025811.535000000100,12368489.732249999000
FS( 69 ),1534851.649999999900,1468599.112500000000,1599020.137000000100,1583438.157500000000,1705205.978499999700,2198644.288750000300,1951541.640000000100,12041303.964250000000
FS( 70 ),1519420.237500000000,1487515.037500000100,1586655.095500000300,1571939.266249999900,1690411.734000000200,2261096.708500000200,1873568.206000000000,11990609.285250001000
FS( 71 ),1521411.387500000000,1487515.037500000100,1591314.386500000300,1612459.168749999700,1697798.900500000000,2157517.085499999600,1851267.326000000100,11919286.292249998000
FS( 72 ),1564221.112500000000,1450180.975000000100,1606725.887500000200,1665573.095000000000,1675597.577999999700,2163610.004500000300,1873568.206000000000,11999479.858500000000
FS( 73 ),1564221.112500000000,1468599.112500000000,1606725.887500000200,1643670.444999999800,1708909.517500000100,2081355.598000000000,1869824.844000000000,11943309.517000001000
FS( 74 ),1558247.662499999900,1487515.037500000100,1622137.388500000100,1648050.974999999900,1662655.103000000100,2143808.017749999600,1825262.906999999900,11947680.091250001000
FS( 75 ),1538833.950000000000,1498466.362500000000,1599020.137000000100,1603150.542500000000,1666358.642000000000,2102680.814499999900,1799298.311000000000,11807811.759500001000
FS( 76 ),1536842.800000000000,1487515.037500000100,1578949.345000000200,1590008.952500000100,1683004.656000000000,1991485.042750000300,1758439.912999999900,11626248.746750003000
FS( 77 ),1492041.925000000000,1485523.887500000000,1580562.176500000100,1576867.362500000000,1655248.024999999900,1957973.988250000200,1736178.856000000100,11484399.220750000000
FS( 78 ),1528878.200000000000,1485523.887500000000,1614431.638000000000,1625600.758749999800,1666358.642000000000,1922939.704000000100,1840116.886000000200,11683852.716250001000
FS( 79 ),1532860.500000000000,1500457.512500000000,1599020.137000000100,1629981.288749999800,1683004.656000000000,1922939.704000000100,1873568.206000000000,11741835.004249999000
FS( 80 ),1538833.950000000000,1505933.175000000000,1606725.887500000200,1654621.770000000000,1683004.656000000000,1874196.352000000200,1879103.602999999900,11742422.393500000000
FS( 81 ),1536842.800000000000,1509915.475000000100,1606725.887500000200,1648050.974999999900,1684856.425499999900,1930555.852750000100,1864289.446999999900,11781239.862750001000
FS( 82 ),1538833.950000000000,1515391.137500000000,1589880.758500000000,1634361.818749999900,1712613.056499999900,1971683.056000000100,1886550.504000000000,11849317.281250000000
