代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11751568.924000001000
真實報酬,1751568.924000000600

夏普值報酬,0.166456892400
夏普值風險,0.051001670934
夏普值,3.263753703613

預期報酬,14165.951135094043
風險,171914.139866729030
起點值,0.082401314668
找到最佳解世代,3627
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1101(0),1216(2),2330(20),2357(24),2412(27),
Stock#,1101(0),1216(2),2330(20),2357(24),2412(27),
張數,77,62,28,10,28,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,544.830750000000,6343.081500000000,66088.097000000227,126534.109999999770,61321.313999999998,
FS( 1 ),1997154.830750000000,1997163.081500000100,1997248.097000000100,1997334.110000000100,1997241.314000000000,9986141.433250000700
FS( 2 ),2048114.065999999900,2046993.070500000400,2009609.789000000100,2016235.017499999800,2005121.767000000000,10126073.710000001000
FS( 3 ),2051180.436999999900,2045141.301000000200,2009609.789000000100,2012850.062499999800,2011254.509000000300,10130036.098500000000
FS( 4 ),2033548.803750000000,2074769.612999999900,2004870.852000000200,2029774.837499999400,2013205.836000000100,10156169.942249998000
FS( 5 ),2056546.586249999700,2100077.129499999800,2002362.003000000300,2002595.639999999900,2015435.923999999900,10177017.282749999000
FS( 6 ),2056546.586249999700,2085262.973499999800,1980897.406000000400,1927827.957500000300,2019617.338999999900,10070152.262250001000
FS( 7 ),2039681.545750000000,2118594.824500000100,1959432.809000000400,1927827.957500000300,2023519.993000000000,10069057.129750000000
FS( 8 ),2090276.667249999900,2091435.538500000300,1935459.363000000400,1927827.957500000300,2019617.338999999900,10064616.865250001000
FS( 9 ),2051180.436999999900,2076621.382500000100,1878034.597000000300,1890493.895000000300,1982542.125999999900,9878872.437500000000
FS( 10 ),2053480.215250000100,2072300.586999999800,1880264.685000000300,1904033.714999999600,1986723.541000000000,9896802.743249999400
FS( 11 ),2053480.215250000100,2072300.586999999800,1873295.660000000400,1914288.137499999500,1986723.541000000000,9900088.140749998400
FS( 12 ),2053480.215250000100,2097608.103500000200,1856291.239000000100,1948237.244999999900,2011812.030999999700,9967428.833750000200
FS( 13 ),2042747.916750000100,2043289.531500000000,1856291.239000000100,1893878.849999999900,2009860.704000000100,9846068.241250000900
FS( 14 ),2087976.889000000000,2055634.661500000200,1920963.791000000400,1951622.199999999500,2014042.118999999700,10030239.660499999000
FS( 15 ),2096409.409249999800,2053782.892000000000,1902008.043000000300,1961876.622499999800,2014042.118999999700,10028119.085749999000
FS( 16 ),2061912.735500000200,2045141.301000000200,1844583.277000000000,1934697.424999999800,2007630.615999999900,9893965.354499999400
FS( 17 ),2048114.065999999900,2024154.579999999800,1856291.239000000100,1921058.047499999900,1996758.937000000200,9846376.869500000000
FS( 18 ),2005951.464750000000,2064276.252500000600,1851552.302000000100,1944852.289999999600,2003170.440000000200,9869802.749250000300
FS( 19 ),2014383.984999999900,2053782.892000000000,1892251.408000000500,1958491.667499999700,1985887.258000000100,9904797.210500000000
FS( 20 ),2086443.703500000100,2074769.612999999900,1964171.746000000300,2029774.837499999400,1981427.081999999900,10136586.981999999000
FS( 21 ),2101008.965750000000,2106249.694500000200,1956923.960000000400,2023004.927500000000,1987838.585000000000,10175026.132750001000
FS( 22 ),2089510.074499999900,2122915.620000000100,2004870.852000000200,2019619.972499999900,2022962.471000000100,10259878.990000000000
FS( 23 ),2140105.196000000500,2181554.987499999800,1980897.406000000400,2050184.124999999800,1998989.025000000100,10351730.739500001000
FS( 24 ),2143171.566999999800,2190196.578499999800,1976158.469000000300,2002595.639999999900,2011812.030999999700,10323934.285499999000
FS( 25 ),2137038.825000000700,2232170.020500000100,2002362.003000000300,2006080.152499999600,2011812.030999999700,10389463.032000002000
FS( 26 ),2137038.825000000700,2278464.258000000400,2014348.726000000300,2019619.972499999900,2000940.352000000000,10450412.133500000000
