代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12591591.470750000000
真實報酬,2591591.470750000300

夏普值報酬,0.250459147075
夏普值風險,0.074314758176
夏普值,3.370247757260

預期報酬,23644.712849636064
風險,163817.288282290770
起點值,0.144335882357
找到最佳解世代,4918
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,5
2301(10),2330(17),2357(21),4904(45),9904(48),
Stock#,2301(10),2330(17),2357(21),4904(45),9904(48),
張數,104,35,13,57,119,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,13893.826000000001,9167.100000000000,89010.715249999994,17569.055750000000,2717.922999999767,
FS( 1 ),1997173.825999999900,1997167.100000000100,1997280.715249999900,1997179.055750000100,1997157.923000000000,9985958.619999999200
FS( 2 ),1963548.259999999800,2003005.152500000100,1882837.750250000000,2032682.546000000100,2030982.958999999800,9913056.667750001000
FS( 3 ),1963548.259999999800,2003005.152500000100,1927101.014750000100,2013955.780250000100,1993071.462999999500,9900681.670499999100
FS( 4 ),1995645.598000000200,1999869.091250000500,1918170.706999999900,1979907.115250000000,2044015.035749999600,9937607.547249998900
FS( 5 ),1992539.404000000100,2003005.152500000100,1988836.620499999700,1992391.625750000100,2091404.405749999900,10068177.208499998000
FS( 6 ),2043273.906000000000,2028790.545000000400,2099365.357000000300,1979907.115250000000,2110360.153749999600,10261697.077000000000
FS( 7 ),2053627.885999999900,2040289.436249999800,2077233.724750000100,1967422.604749999900,2115099.090750000000,10253672.742500000000
FS( 8 ),2057769.478000000100,2040289.436249999800,2050701.650999999600,1948128.361250000100,2147086.915499999700,10243975.842000000000
FS( 9 ),2039132.313999999800,2037501.826250000400,1997766.928249999600,1969125.038000000200,2132870.104499999900,10176396.210999999000
FS( 10 ),2075371.243999999900,2060499.608749999700,2055231.517249999800,1979907.115250000000,2156564.789500000000,10327574.274749998000
FS( 11 ),2060875.671999999800,2049000.717500000000,2006567.811249999800,1999201.358749999900,2128131.167500000000,10243776.726999998000
FS( 12 ),2079512.835999999700,2060499.608749999700,2019769.135750000100,2030980.112750000100,2118653.293500000100,10309414.986749999000
FS( 13 ),2057769.478000000100,2020079.263750000400,1971234.854500000100,2007713.525000000100,2081926.531749999800,10138723.653000001000
FS( 14 ),2075371.243999999900,2037501.826250000400,1962433.971500000000,2056516.611499999900,2110360.153749999600,10242183.807000000000
FS( 15 ),2118857.959999999500,2077922.171249999700,2010968.252750000000,2069001.122000000000,2166042.663500000300,10442792.169499999000
FS( 16 ),2086760.622000000000,2071998.500000000000,2024299.001999999900,2072973.466250000100,2184998.411499999900,10441030.001750000000
FS( 17 ),2097114.602000000000,2083845.842500000000,2015368.694249999900,2092267.709750000200,2194476.285499999800,10483073.134000000000
FS( 18 ),2065017.264000000000,2083845.842500000000,2050701.650999999600,2092267.709750000200,2194476.285499999800,10486308.752750000000
FS( 19 ),2075371.243999999900,2118342.516250000300,2006567.811249999800,2079783.199250000100,2156564.789500000000,10436629.560249999000
FS( 20 ),2086760.622000000000,2132629.017500000100,1949103.222249999900,2113264.386499999600,2170781.600500000200,10452538.848749999000
FS( 21 ),2130247.338000000000,2138552.688750000200,1922571.148499999700,2170579.639249999500,2180259.474500000000,10542210.288999999000
FS( 22 ),2118857.959999999500,2141340.298750000100,1909369.823999999800,2221652.636749999600,2184998.411499999900,10576219.130999997000
FS( 23 ),2082619.029999999800,2129841.407500000200,1891638.633250000000,2297694.655249999400,2170781.600500000200,10572575.326500000000
FS( 24 ),2097114.602000000000,2161550.471250000400,1927101.014750000100,2293722.310999999800,2202769.425249999900,10682257.824250000000
FS( 25 ),2130247.338000000000,2173049.362500000300,1971234.854500000100,2352739.996999999500,2175520.537500000100,10802792.089500001000
FS( 26 ),2130247.338000000000,2158762.861250000100,1971234.854500000100,2424809.671250000100,2166042.663500000300,10851097.388499999000
FS( 27 ),2115751.766000000300,2147263.970000000200,1949103.222249999900,2357279.818999999200,2189737.348500000300,10759136.125750000000
FS( 28 ),2115751.766000000300,2104056.015000000100,1900568.940999999900,2340255.486499999600,2137609.041499999800,10598241.250000000000
FS( 29 ),2118857.959999999500,2127053.797500000300,1887238.191750000000,2285210.144750000000,2128131.167500000000,10546491.261500001000
FS( 30 ),2155096.889999999700,2199183.206250000300,1935901.897749999800,2319258.809750000000,2170781.600500000200,10780222.404250000000
FS( 31 ),2191335.819999999800,2201970.816250000100,1909369.823999999800,2361252.163250000200,2202769.425249999900,10866698.048750000000
FS( 32 ),2253459.699999999700,2184548.253750000100,1887238.191750000000,2407785.338749999200,2180259.474500000000,10913290.958749998000
FS( 33 ),2271061.466000000500,2193259.535000000100,1909369.823999999800,2505391.511749999600,2194476.285499999800,11073558.622250000000
FS( 34 ),2336291.539999999600,2150051.580000000100,1878437.308749999900,2429349.493249999800,2132870.104499999900,10927000.026499998000
FS( 35 ),2304194.202000000000,2123917.736250000100,1865235.984250000000,2348767.652749999400,2105621.216750000100,10747736.791999999000
FS( 36 ),2325937.559999999600,2144127.908750000400,1772438.438499999700,2391328.483999999700,2091404.405749999900,10725236.796999998000
FS( 37 ),2166486.267999999700,2127053.797500000300,1719374.290999999700,2391328.483999999700,2058231.846749999800,10462474.687249999000
FS( 38 ),2238964.128000000000,2109631.235000000300,1710573.407999999800,2467370.502499999900,2077187.594749999700,10603726.868249999000
FS( 39 ),2238964.128000000000,2075134.561250000000,1759107.689249999800,2458858.336250000200,2053492.909749999600,10585557.624499999000
FS( 40 ),2242070.321999999700,2132629.017500000100,1820972.719749999700,2518443.500000000000,2086665.468749999800,10800781.027999999000
FS( 41 ),2289698.629999999900,2132629.017500000100,1869636.425749999900,2484394.834999999500,2105621.216750000100,10881980.124999998000
FS( 42 ),2354928.703999999900,2161550.471250000400,1896168.499499999900,2433321.837499999900,2105621.216750000100,10951590.729000000000
FS( 43 ),2412910.992000000100,2219393.378750000100,1935901.897749999800,2484394.834999999500,2207508.362249999800,11260109.465750000000
FS( 44 ),2369424.276000000100,2201970.816250000100,1891638.633250000000,2526955.666249999800,2226464.110249999900,11216453.502000000000
FS( 45 ),2362176.489999999800,2210682.097500000100,1887238.191750000000,2526955.666249999800,2207508.362249999800,11194560.807750002000
FS( 46 ),2354928.703999999900,2184548.253750000100,1847504.793499999900,2475882.668750000200,2212247.299250000200,11075111.719250001000
FS( 47 ),2423264.971999999600,2213469.707500000500,1865235.984250000000,2513903.678000000300,2235941.984249999700,11251816.325999999000
FS( 48 ),2430512.757999999900,2210682.097500000100,1874036.867249999700,2539440.176749999600,2245419.858250000000,11300091.757749997000
FS( 49 ),2401521.613999999600,2147263.970000000200,1909369.823999999800,2539440.176749999600,2250158.795250000000,11247754.380000001000
FS( 50 ),2358034.897999999600,2173049.362500000300,1944702.780749999900,2509931.333750000200,2264375.606250000200,11250093.981249999000
FS( 51 ),2333185.345999999900,2178973.033750000400,1944702.780749999900,2518443.500000000000,2250158.795250000000,11225463.455750002000
FS( 52 ),2347680.918000000100,2158762.861250000100,1940302.339249999700,2509931.333750000200,2250158.795250000000,11206836.247500001000
FS( 53 ),2256565.893999999900,2100919.953750000300,1904969.382499999800,2501419.167500000400,2199215.222499999700,10963089.620250002000
FS( 54 ),2311441.987999999900,2106843.625000000000,1935901.897749999800,2479855.012999999800,2231203.047249999800,11065245.570999999000
FS( 55 ),2340433.131999999800,2100919.953750000300,1900568.940999999900,2340255.486499999600,2175520.537500000100,10857698.050750000000
FS( 56 ),2343539.325999999900,2109631.235000000300,1878437.308749999900,2319258.809750000000,2151825.852500000000,10802692.532000002000
FS( 57 ),2456397.707999999600,2201970.816250000100,1988836.620499999700,2386788.662000000000,2254897.732250000400,11288891.539000001000
FS( 58 ),2473999.473999999900,2173049.362500000300,1988836.620499999700,2450346.169999999500,2259636.669250000300,11345868.296250001000
FS( 59 ),2531981.762000000100,2184548.253750000100,1993366.486749999700,2433321.837499999900,2286885.557000000000,11430103.897000000000
FS( 60 ),2459503.901999999800,2173049.362500000300,1988836.620499999700,2412325.160749999800,2291624.493999999900,11325339.539749999000
FS( 61 ),2470893.280000000300,2187684.315000000400,1993366.486749999700,2420837.327000000000,2310580.242000000100,11383361.650750000000
FS( 62 ),2470893.280000000300,2193259.535000000100,1993366.486749999700,2433321.837499999900,2324797.052999999800,11415638.192250000000
FS( 63 ),2470893.280000000300,2196047.145000000500,1993366.486749999700,2441834.003749999700,2334274.927000000100,11436415.842500001000
FS( 64 ),2485388.852000000000,2196047.145000000500,1993366.486749999700,2429349.493249999800,2324797.052999999800,11428949.029999999000
FS( 65 ),2470893.280000000300,2173049.362500000300,1988836.620499999700,2424809.671250000100,2282146.619999999600,11339735.554250000000
FS( 66 ),2514379.996000000300,2193259.535000000100,2002167.369749999600,2424809.671250000100,2339013.864000000100,11473630.436000001000
FS( 67 ),2553725.120000000100,2196047.145000000500,2024299.001999999900,2433321.837499999900,2353230.675000000300,11560623.779500002000
FS( 68 ),2623096.785999999400,2201970.816250000100,2147899.638249999800,2429349.493249999800,2366262.751749999400,11768579.485499999000
FS( 69 ),2630344.571999999700,2190471.925000000300,2121496.989250000100,2407785.338749999200,2380479.562749999600,11730578.387750000000
FS( 70 ),2652087.930000000200,2190471.925000000300,2143499.196750000100,2407785.338749999200,2380479.562749999600,11774323.953249998000
FS( 71 ),2724565.789999999600,2216257.317499999900,2117096.547749999900,2399273.172499999900,2423129.995750000200,11880322.823500000000
FS( 72 ),2724565.789999999600,2216257.317499999900,2117096.547749999900,2327770.976000000300,2418391.058749999900,11804081.689999999000
FS( 73 ),2727671.983999999700,2230892.270000000500,2117096.547749999900,2306206.821499999600,2408913.184750000000,11790780.808000000000
FS( 74 ),2727671.983999999700,2245178.771250000700,2117096.547749999900,2335715.664500000400,2413652.121749999900,11839315.089250002000
FS( 75 ),2647946.338000000000,2181760.643750000300,2055231.517249999800,2399273.172499999900,2394696.373749999800,11678908.045249999000
FS( 76 ),2640698.552000000100,2190471.925000000300,2068432.841749999900,2344227.830749999700,2385218.499750000000,11629049.649249999000
FS( 77 ),2652087.930000000200,2222180.988750000500,2121496.989250000100,2361252.163250000200,2432607.869750000100,11789625.941000003000
FS( 78 ),2659335.716000000500,2280023.896250000700,2094964.915500000100,2420837.327000000000,2464595.694500000200,11919757.549250003000
FS( 79 ),2731813.575999999900,2274100.225000000100,2156829.946000000000,2433321.837499999900,2427868.932749999700,12023934.517250000000
FS( 80 ),2688326.859999999400,2230892.270000000500,2170031.270500000100,2416297.505000000400,2399435.310750000200,11904983.216250001000
FS( 81 ),2768052.505999999600,2224968.598749999900,2280560.006999999800,2412325.160749999800,2432607.869750000100,12118514.142250000000
FS( 82 ),2731813.575999999900,2207894.487500000300,2254027.933249999800,2433321.837499999900,2427868.932749999700,12054926.766999999000
FS( 83 ),2666583.501999999900,2216257.317499999900,2236296.742499999700,2420837.327000000000,2404174.247749999600,11944149.136749998000
FS( 84 ),2608601.213999999700,2242391.161249999900,2218694.976499999900,2484394.834999999500,2404174.247749999600,11958256.434499998000
FS( 85 ),2695574.646000000200,2242391.161249999900,2240697.183999999900,2441834.003749999700,2385218.499750000000,12005715.494750001000
FS( 86 ),2691433.054000000000,2245178.771250000700,2298161.772999999600,2450346.169999999500,2399435.310750000200,12084555.079000000000
FS( 87 ),2695574.646000000200,2259813.723749999900,2284960.448499999900,2446373.825749999800,2380479.562749999600,12067202.206750002000
FS( 88 ),2666583.501999999900,2228104.660000000100,2258428.374749999500,2424809.671250000100,2362708.549000000100,11940634.757000001000
FS( 89 ),2681079.073999999600,2219393.378750000100,2280560.006999999800,2403812.994500000000,2380479.562749999600,11965325.016999997000
FS( 90 ),2640698.552000000100,2239603.551250000900,2284960.448499999900,2382816.317749999500,2380479.562749999600,11928558.432250001000
FS( 91 ),2662441.909999999700,2274100.225000000100,2280560.006999999800,2479855.012999999800,2380479.562749999600,12077436.717749998000
FS( 92 ),2695574.646000000200,2274100.225000000100,2200963.785749999800,2551924.687250000000,2385218.499750000000,12107781.843750000000
FS( 93 ),2681079.073999999600,2317308.179999999200,2200963.785749999800,2467370.502499999900,2432607.869750000100,12099329.411999999000
FS( 94 ),2673831.288000000200,2317308.179999999200,2271629.699249999600,2454885.991999999600,2408913.184750000000,12126568.343999999000
FS( 95 ),2659335.716000000500,2317308.179999999200,2284960.448499999900,2450346.169999999500,2389957.436750000300,12101907.951250000000
FS( 96 ),2768052.505999999600,2308596.898749999200,2404160.643250000200,2450346.169999999500,2375740.625750000100,12306896.843749998000
FS( 97 ),2746309.147999999600,2262601.333750000700,2386558.877249999900,2475882.668750000200,2394696.373749999800,12266048.401500000000
FS( 98 ),2792902.057999999700,2291522.787500000100,2368827.686500000300,2645558.515999999800,2399435.310750000200,12498246.358750001000
FS( 99 ),2908866.634000000100,2349017.243749999900,2527890.704250000000,2632506.527749999400,2442085.743749999900,12860366.853499999000
FS( 100 ),2869521.509999999300,2320444.241249999500,2620688.250000000500,2560436.853500000200,2423129.995750000200,12794220.850500001000
FS( 101 ),2840530.366000000400,2317308.179999999200,2620688.250000000500,2582001.007999999400,2446824.680749999800,12807352.484749999000
FS( 102 ),2797043.649999999900,2297098.007500000300,2572153.968750000500,2530928.010499999400,2427868.932749999700,12625092.569499999000
FS( 103 ),2749415.342000000200,2285599.116249999500,2572153.968750000500,2518443.500000000000,2418391.058749999900,12544002.985749999000
FS( 104 ),2771158.699999999700,2303021.678749999500,2558823.219499999700,2496879.345499999800,2423129.995750000200,12553012.939499998000
FS( 105 ),2811539.221999999600,2291522.787500000100,2545621.895000000000,2501419.167500000400,2394696.373749999800,12544799.445750000000
FS( 106 ),2840530.366000000400,2308596.898749999200,2527890.704250000000,2551924.687250000000,2413652.121749999900,12642594.778000001000
FS( 107 ),2789795.863999999600,2317308.179999999200,2536821.012000000100,2539440.176749999600,2399435.310750000200,12582800.543499999000
FS( 108 ),2681079.073999999600,2317308.179999999200,2470555.539999999600,2505391.511749999600,2404174.247749999600,12378508.553499997000
FS( 109 ),2731813.575999999900,2354940.915000000000,2536821.012000000100,2496879.345499999800,2450378.883500000000,12570833.732000001000
FS( 110 ),2763910.913999999900,2409647.761250000000,2580954.851749999900,2539440.176749999600,2478812.505500000000,12772766.209249999000
FS( 111 ),2749415.342000000200,2409647.761250000000,2607486.925499999900,2518443.500000000000,2478812.505500000000,12763806.034250000000
FS( 112 ),2705928.625999999700,2349017.243749999900,2545621.895000000000,2488367.179249999600,2455117.820499999400,12544052.764500000000
FS( 113 ),2749415.342000000200,2424282.713750000100,2567753.527250000300,2479855.012999999800,2432607.869750000100,12653914.465750001000
