代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11565585.253750000000
真實報酬,1565585.253750000100

夏普值報酬,0.147858525375
夏普值風險,0.050155010657
夏普值,2.948030983109

預期報酬,14741.675205131585
風險,220045.533494790140
起點值,0.066993748844
找到最佳解世代,2880
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
2357(21),2412(24),2454(26),2912(40),3045(41),4904(45),
Stock#,2357(21),2412(24),2454(26),2912(40),3045(41),4904(45),
張數,12,26,6,15,31,54,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,74039.736999999761,2377.764000000000,138751.820500000000,32490.613749999768,25981.351249999767,7585.174000000000,
FS( 1 ),1664399.737000000000,1664297.764000000000,1664491.820499999900,1664340.613750000000,1664331.351250000100,1664305.174000000100,9986170.460500000000
FS( 2 ),1698937.605999999700,1664191.553999999800,1686472.715500000200,1669365.249999999800,1664180.102250000000,1680091.439500000100,10063242.667250000000
FS( 3 ),1689260.616999999600,1660567.661000000100,1693162.979500000100,1663242.463749999900,1666649.128249999600,1672027.282000000400,10044914.131500000000
FS( 4 ),1698937.605999999700,1660567.661000000100,1688742.626500000000,1693856.394999999800,1666649.128249999600,1672027.282000000400,10080784.698749999000
FS( 5 ),1654256.200000000000,1658755.714500000000,1706424.038499999800,1742838.684999999600,1678377.001749999800,1676328.166000000000,10116983.805749999000
FS( 6 ),1651030.536999999800,1651507.928500000200,1671001.480000000000,1687733.608749999900,1657081.652500000100,1666651.177000000100,9985010.383749999100
FS( 7 ),1657362.393999999900,1638824.303000000100,1677632.009499999900,1675488.036249999900,1683006.425499999700,1651598.083000000100,9983915.251249998800
FS( 8 ),1615906.650999999800,1647884.035500000000,1639999.274499999800,1675488.036249999900,1713560.622249999800,1649447.640999999800,9942290.260499998900
FS( 9 ),1593565.947999999600,1647884.035500000000,1626738.215499999900,1681610.822499999800,1739485.395250000100,1645684.367499999900,9934972.784249998600
FS( 10 ),1593565.947999999600,1656943.767999999900,1555833.363999999800,1712224.753749999700,1758003.090249999900,1643533.925500000100,9920108.849499998600
FS( 11 ),1590340.284999999700,1662379.607499999900,1507149.746499999900,1749110.807499999900,1739485.395250000100,1636007.378499999900,9884477.220249999300
FS( 12 ),1615906.650999999800,1666003.500499999800,1502729.393499999800,1712224.753749999700,1772199.989749999900,1653210.914500000000,9922279.202999999700
FS( 13 ),1660588.057000000000,1667815.447000000200,1531521.422500000100,1730593.112499999600,1795655.736749999900,1645684.367499999900,10031862.143250000000
FS( 14 ),1666919.913999999900,1667815.447000000200,1515990.452500000100,1810338.669999999700,1767570.565999999900,1668264.008500000200,10096903.058000000000
FS( 15 ),1647804.873999999400,1655131.821500000100,1491678.510999999900,1883961.441249999700,1758003.090249999900,1660737.461500000200,10097321.199500000000
FS( 16 ),1670145.576999999300,1664191.553999999800,1524890.893000000200,1828707.028749999600,1769730.963749999900,1651598.083000000100,10109268.099499999000
FS( 17 ),1759508.388999999700,1660567.661000000100,1558103.274999999900,1926820.944999999800,1772199.989749999900,1653210.914500000000,10330415.174249999000
FS( 18 ),1791526.080999999500,1653319.874999999800,1531521.422500000100,1883961.441249999700,1769730.963749999900,1651598.083000000100,10281661.866500000000
FS( 19 ),1721278.308999999900,1651507.928500000200,1540362.128499999900,1957434.876249999700,1760472.116249999700,1662887.903500000000,10293947.261999998000
FS( 20 ),1753176.531999999900,1655131.821500000100,1633368.744999999900,1982075.357499999900,1755842.692499999900,1659124.629999999900,10438723.778499998000
FS( 21 ),1772291.572000000200,1651507.928500000200,1662160.774000000000,1914575.372499999600,1739485.395250000100,1645684.367499999900,10385709.409750000000
FS( 22 ),1788300.417999999800,1655131.821500000100,1677632.009499999900,1890084.227499999800,1755842.692499999900,1662887.903500000000,10429883.072500000000
FS( 23 ),1772291.572000000200,1655131.821500000100,1677632.009499999900,1890084.227499999800,1739485.395250000100,1647297.199000000000,10381926.224750001000
FS( 24 ),1753176.531999999900,1666003.500499999800,1733005.890999999800,1957434.876249999700,1758003.090249999900,1659124.629999999900,10526752.520000000000
FS( 25 ),1746725.205999999500,1669627.393499999800,1699793.509000000100,1932943.731249999700,1751213.268749999600,1668264.008500000200,10468571.116999999000
FS( 26 ),1762734.051999999400,1682311.019000000100,1688742.626500000000,1945189.303750000000,1748744.242749999700,1670414.450500000300,10498139.694499999000
