代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12168271.313999999000
真實報酬,2168271.313999999300

夏普值報酬,0.208127131400
夏普值風險,0.057350397054
夏普值,3.629044297700

預期報酬,18353.823572935438
風險,120380.258361425720
起點值,0.152465394432
找到最佳解世代,4728
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,6
2317(16),2382(24),2454(27),2474(28),2882(33),3008(41),
Stock#,2317(16),2382(24),2454(27),2474(28),2882(33),3008(41),
張數,32,32,5,11,52,1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,48363.199999999997,12472.128000000001,120966.512500000000,53861.023249999998,1336.282000000000,725046.101000000020,
FS( 1 ),1664363.200000000000,1664312.128000000000,1664466.512500000000,1664371.023250000100,1664296.281999999900,1665326.101000000000,9987139.246749999000
FS( 2 ),1646380.543999999800,1639162.032000000100,1668139.841250000100,1627675.939000000500,1652796.091999999900,1655530.407500000200,9889688.855750000100
FS( 3 ),1667725.672000000000,1690454.055999999900,1701740.497500000100,1681775.484500000000,1709742.981999999800,1683725.091500000100,10135167.783500001000
FS( 4 ),1665495.584000000000,1667516.008000000100,1716475.007499999800,1686703.580750000000,1699906.701000000100,1693123.319500000000,10129224.200749999000
FS( 5 ),1650522.135999999900,1672613.352000000000,1689146.473749999700,1613001.163500000300,1727344.748000000100,1664928.635499999900,10017560.508749999000
FS( 6 ),1663584.080000000100,1677710.696000000000,1712293.592500000000,1627675.939000000500,1760477.483999999700,1664928.635499999900,10106674.427000001000
FS( 7 ),1652752.223999999900,1680259.368000000000,1726978.323750000000,1647388.324000000000,1803446.500999999900,1660229.521500000000,10171058.262250001000
FS( 8 ),1654982.311999999900,1693002.728000000100,1737481.639999999900,1686703.580750000000,1783773.938999999800,1660229.521500000000,10216177.721249999000
FS( 9 ),1625035.416000000000,1721356.704000000100,1737481.639999999900,1647388.324000000000,1793610.219999999700,1636733.951500000000,10161610.255500000000
FS( 10 ),1620893.823999999800,1744294.751999999900,1777453.976249999800,1647388.324000000000,1797751.811999999900,1658347.884750000200,10246134.572999999000
FS( 11 ),1614522.143999999900,1726454.048000000000,1758538.051250000300,1637532.131500000100,1803446.500999999900,1627325.767750000100,10167822.643500000000
FS( 12 ),1618663.735999999800,1734100.064000000000,1777453.976249999800,1667100.709000000000,1783773.938999999800,1634852.314749999900,10215948.739000000000
FS( 13 ),1646380.543999999800,1790489.432000000000,1781635.391250000300,1676847.388249999800,1793610.219999999700,1639551.428750000000,10328518.404250000000
FS( 14 ),1648610.632000000000,1803232.792000000100,1766950.660000000400,1716272.158250000300,1801375.705000000100,1654584.611250000100,10391030.558500001000
FS( 15 ),1657212.399999999900,1793038.104000000100,1766950.660000000400,1730946.933750000100,1805517.296999999800,1652702.974500000000,10406372.369250000000
FS( 16 ),1652752.223999999900,1751940.767999999900,1785866.585000000000,1711344.062000000200,1781703.142999999700,1648003.860500000000,10331614.642500000000
FS( 17 ),1663584.080000000100,1749392.096000000100,1777453.976249999800,1765443.607499999700,1791539.423999999600,1669627.749499999900,10417044.933249999000
FS( 18 ),1650522.135999999900,1744294.751999999900,1754306.857499999900,1716272.158250000300,1780150.046000000100,1655530.407500000200,10301080.357250001000
FS( 19 ),1646380.543999999800,1770100.055999999900,1764810.173750000100,1726018.837500000100,1811211.985999999800,1655530.407500000200,10374056.004750000000
FS( 20 ),1625035.416000000000,1798135.448000000100,1781635.391250000300,1726018.837500000100,1814835.879000000000,1669627.749499999900,10415292.721250001000
FS( 21 ),1646380.543999999800,1831586.767999999900,1781635.391250000300,1745731.222500000100,1814835.879000000000,1664928.635499999900,10485102.440250002000
FS( 22 ),1635867.272000000100,1800684.120000000100,1811054.632499999800,1735875.030000000000,1848486.313999999800,1664928.635499999900,10496900.004000001000
FS( 23 ),1633637.183999999900,1744294.751999999900,1821607.727499999600,1745731.222500000100,1829849.149999999900,1662101.202500000100,10437225.238500001000
FS( 24 ),1625035.416000000000,1757356.696000000000,1939284.692499999700,1829399.345499999800,1819495.169999999700,1659283.725250000100,10629859.045249999000
FS( 25 ),1616433.647999999800,1739197.408000000100,1928781.376250000200,1809686.960500000300,1787915.530999999700,1669627.749499999900,10551646.673250001000
FS( 26 ),1633637.183999999900,1800684.120000000100,1937193.985000000300,1819543.152999999900,1814835.879000000000,1657402.088500000100,10663300.409500001000
FS( 27 ),1635867.272000000100,1831586.767999999900,1926690.668750000000,1834217.928499999900,1806552.694999999600,1669627.749499999900,10704547.081750002000
FS( 28 ),1622805.328000000000,1749392.096000000100,1920368.767500000100,1794902.671750000000,1794127.919000000000,1669627.749499999900,10551228.531750001000
FS( 29 ),1644150.456000000000,1687905.384000000100,1911956.158749999900,1824471.249250000100,1800340.306999999800,1669627.749499999900,10538455.304499999000
FS( 30 ),1635867.272000000100,1703197.416000000000,1865711.700000000000,1834217.928499999900,1806552.694999999600,1663046.998750000000,10508598.010250000000
FS( 31 ),1633637.183999999900,1672613.352000000000,1855208.383749999600,1814615.056750000000,1794127.919000000000,1658347.884750000200,10428553.780249998000
FS( 32 ),1654982.311999999900,1690454.055999999900,1846795.774999999900,1804758.864249999900,1796198.715000000100,1661165.362000000200,10454359.084249999000
FS( 33 ),1652752.223999999900,1680259.368000000000,1846795.774999999900,1799830.768000000200,1816906.675000000000,1659283.725250000100,10455832.535250001000
FS( 34 ),1659123.903999999900,1636613.359999999900,1861530.285000000400,1819543.152999999900,1865052.681999999800,1669627.749499999900,10511495.133499999000
FS( 35 ),1663584.080000000100,1670064.680000000200,1935103.277499999900,1824471.249250000100,1871265.069999999600,1726017.117500000200,10690509.474250000000
FS( 36 ),1663584.080000000100,1646808.048000000000,1882536.917500000000,1809686.960500000300,1871265.069999999600,1716618.889500000000,10590503.965499999000
FS( 37 ),1646380.543999999800,1616223.984000000200,1865711.700000000000,1760515.511250000200,1858840.294000000000,1669627.749499999900,10417303.782749999000
FS( 38 ),1637778.776000000100,1623870.000000000000,1903543.550000000000,1755587.415000000000,1894043.826000000100,1669627.749499999900,10484455.316500001000
FS( 39 ),1648610.632000000000,1626418.672000000000,1920368.767500000100,1770371.703750000100,1935977.444999999600,1688424.205500000200,10590175.425749999000
FS( 40 ),1657212.399999999900,1631516.016000000100,1935103.277499999900,1770371.703750000100,1925623.465000000100,1707220.661499999900,10627051.523750000000
FS( 41 ),1654982.311999999900,1670064.680000000200,1922509.253750000400,1765443.607499999700,1935977.444999999600,1702521.547500000100,10651502.845750000000
FS( 42 ),1665495.584000000000,1672613.352000000000,1949788.008749999600,1789974.575500000000,1944260.629000000000,1697822.433499999800,10719958.582750000000
FS( 43 ),1710415.927999999800,1703197.416000000000,1954019.202499999900,1824471.249250000100,1940119.037000000000,1716618.889500000000,10848845.722250000000
FS( 44 ),1714557.520000000000,1690454.055999999900,1928781.376250000200,1829399.345499999800,1933906.648999999700,1716618.889500000000,10813721.836250000000
FS( 45 ),1712327.431999999800,1687905.384000000100,1947697.301250000300,1829399.345499999800,1919411.076999999800,1730716.231500000000,10827460.771250000000
FS( 46 ),1731761.056000000100,1682808.040000000000,1949788.008749999600,1834217.928499999900,1948402.220999999900,1735415.345500000100,10882396.599750001000
