代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12113559.185249999000
真實報酬,2113559.185249999200

夏普值報酬,0.202655918525
夏普值風險,0.056895027766
夏普值,3.561926700466

預期報酬,17667.534102821191
風險,141802.214786282190
起點值,0.124592793769
找到最佳解世代,2984
找到最佳解實驗#,1
找到最佳解次數,40

投資組合檔數,7
1216(2),2354(18),2474(26),2881(30),2891(38),3008(41),9904(48),
Stock#,1216(2),2354(18),2474(26),2881(30),2891(38),3008(41),9904(48),
張數,32,18,6,32,93,0,41,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,35869.224000000002,61505.703999999765,58922.027500000237,31382.840000000000,2712.042249999767,1428571.000000000000,3433.068249999767,
FS( 1 ),1426589.223999999900,1426625.703999999900,1426622.027500000100,1426582.840000000100,1426542.042249999900,1428571.000000000000,1426543.068250000000,9988078.905999999500
FS( 2 ),1382523.791999999900,1385640.365499999600,1385147.396500000500,1368161.304000000200,1392465.051999999700,1428571.000000000000,1370447.145000000000,9712959.054999999700
FS( 3 ),1377107.863999999800,1384027.533999999500,1404202.702000000300,1381860.416000000200,1392465.051999999700,1428571.000000000000,1376161.745500000000,9744399.313500000200
FS( 4 ),1407691.927999999800,1398363.813999999800,1442432.782000000400,1406709.968000000100,1413760.401249999600,1428571.000000000000,1449226.994749999800,9946759.888000000300
FS( 5 ),1428718.471999999800,1437967.787499999600,1450616.408500000100,1399701.120000000100,1420241.594499999900,1428571.000000000000,1447594.251750000100,10013413.634250000000
FS( 6 ),1411833.520000000000,1399976.645499999600,1439684.995000000300,1386002.008000000100,1416538.055499999600,1428571.000000000000,1451267.923499999800,9933877.147499999000
FS( 7 ),1446877.759999999800,1426857.170499999800,1453364.195500000100,1417541.824000000000,1427648.672499999600,1428571.000000000000,1454941.595249999800,10055805.217749998000
FS( 8 ),1415975.112000000000,1423631.507499999600,1439684.995000000300,1405117.048000000000,1410056.862249999800,1428571.000000000000,1517394.014999999700,10040433.539749999000
FS( 9 ),1444010.504000000000,1412520.890499999500,1475167.288000000200,1398426.784000000000,1416538.055499999600,1428571.000000000000,1484330.969249999800,10059568.491249999000
FS( 10 ),1446877.759999999800,1390478.859999999600,1464235.874500000400,1390143.600000000100,1399872.129999999700,1428571.000000000000,1496984.727499999800,10017166.952000000000
FS( 11 ),1432860.063999999800,1368257.625999999700,1472419.501000000200,1388550.679999999900,1413760.401249999600,1428571.000000000000,1535354.187999999800,10039776.460249998000
FS( 12 ),1429992.808000000000,1385640.365499999600,1516085.420500000200,1399701.120000000100,1410056.862249999800,1428571.000000000000,1542701.531500000000,10112752.107750000000
FS( 13 ),1460895.455999999800,1396750.982499999700,1548879.661000000300,1414993.152000000000,1420241.594499999900,1428571.000000000000,1542701.531500000000,10213036.377499999000
FS( 14 ),1466311.384000000100,1410908.058999999400,1548879.661000000300,1434108.192000000300,1427648.672499999600,1428571.000000000000,1542701.531500000000,10259131.500000000000
FS( 15 ),1505497.216000000000,1418972.216499999600,1597981.420000000200,1431240.936000000000,1437833.404749999800,1428571.000000000000,1561069.890249999900,10381169.083500000000
FS( 16 ),1502629.959999999700,1428470.001999999600,1581614.167000000400,1428692.264000000000,1431352.211499999700,1428571.000000000000,1513720.343249999700,10315052.947749998000
FS( 17 ),1488612.263999999700,1433129.292999999800,1578866.379999999900,1450674.560000000100,1437833.404749999800,1428571.000000000000,1561069.890249999900,10378759.791999998000
FS( 18 ),1483196.335999999900,1431516.461500000000,1608912.833500000400,1445258.632000000200,1420241.594499999900,1428571.000000000000,1579438.248999999800,10397138.106500000000
