代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11415971.419500001000
真實報酬,1415971.419500000800

夏普值報酬,0.132897141950
夏普值風險,0.045597704153
夏普值,2.914557748430

預期報酬,11803.149898684411
風險,198133.493809491510
起點值,0.059571704267
找到最佳解世代,4784
找到最佳解實驗#,2
找到最佳解次數,14

投資組合檔數,2
1216(2),2884(33),
Stock#,1216(2),2884(33),
張數,110,363,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,15407.062500000000,5272.641500000000,
FS( 1 ),4992907.062500000000,4992892.641499999900,9985799.703999999900
FS( 2 ),5057397.092500000300,4970822.422999999500,10028219.515500000000
FS( 3 ),5086965.669999999900,5021417.544500000800,10108383.214500001000
FS( 4 ),5057397.092500000300,4996119.983749999700,10053517.076250000000
FS( 5 ),5086965.669999999900,5035873.293499999700,10122838.963500001000
FS( 6 ),5115439.115000000200,4970822.422999999500,10086261.537999999000
FS( 7 ),5095726.729999999500,4981664.234749999800,10077390.964749999000
FS( 8 ),4962120.565000000400,4981664.234749999800,9943784.799750000200
FS( 9 ),4894222.349999999600,4945524.862250000200,9839747.212249999900
FS( 10 ),4962120.565000000400,4981664.234749999800,9943784.799750000200
FS( 11 ),4894222.349999999600,4970822.422999999500,9865044.772999998200
FS( 12 ),4865748.905000000300,4996119.983749999700,9861868.888749999900
FS( 13 ),4884366.157499999700,4981664.234749999800,9866030.392249999600
FS( 14 ),4855892.712500000400,5021417.544500000800,9877310.257000001100
FS( 15 ),4884366.157499999700,5100924.163999999900,9985290.321499999600
FS( 16 ),4894222.349999999600,5332216.147999999100,10226438.498000000000
FS( 17 ),4932551.987499999800,5617717.190749999100,10550269.178250000000
FS( 18 ),4913934.734999998500,5657470.500500001000,10571405.235500000000
FS( 19 ),4913934.734999998500,5552666.320249999900,10466601.055249998000
FS( 20 ),4846036.520000000500,5437020.328249999300,10283056.848250000000
FS( 21 ),4846036.520000000500,5487615.449749999700,10333651.969750000000
FS( 22 ),4846036.520000000500,5502071.198750000400,10348107.718750000000
FS( 23 ),4837275.460000000000,5411722.767500000100,10248998.227499999000
FS( 24 ),4807706.882499999400,5292462.838250001000,10100169.720750000000
FS( 25 ),4817563.075000000200,5306918.587249999900,10124481.662250001000
FS( 26 ),4817563.075000000200,5292462.838250001000,10110025.913250001000
FS( 27 ),5019067.455000000100,5306918.587249999900,10325986.042250000000
FS( 28 ),5105582.922499998500,5306918.587249999900,10412501.509749997000
FS( 29 ),5230428.027500000800,5216570.156000000400,10446998.183500001000
FS( 30 ),5211810.775000000400,5202114.407000000600,10413925.182000000000
FS( 31 ),5297231.109999998500,5216570.156000000400,10513801.265999999000
FS( 32 ),5240284.219999999700,5306918.587249999900,10547202.807250001000
FS( 33 ),5258901.472499999200,5256323.465749999500,10515224.938249998000
FS( 34 ),5211810.775000000400,5241867.716749999700,10453678.491750000000
FS( 35 ),5211810.775000000400,5346671.896999998900,10558482.671999998000
FS( 36 ),5201954.582500000500,5267165.277499999900,10469119.859999999000
FS( 37 ),5182242.197499999800,5346671.896999998900,10528914.094499998000
FS( 38 ),5220571.835000000000,5462317.888999999500,10682889.723999999000
FS( 39 ),5278613.857499999900,5437020.328249999300,10715634.185750000000
FS( 40 ),5268757.665000000000,5411722.767500000100,10680480.432500001000
FS( 41 ),5192098.390000001500,5357513.708750000200,10549612.098750003000
FS( 42 ),5278613.857499999900,5346671.896999998900,10625285.754499998000
FS( 43 ),5211810.775000000400,5371969.457749999100,10583780.232749999000
