代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11209535.613000000000
真實報酬,1209535.612999999900

夏普值報酬,0.112253561300
夏普值風險,0.038508969957
夏普值,2.914997763554

預期報酬,62604.846932752560
風險,111147.293467179610
起點值,0.563260201664
找到最佳解世代,4851
找到最佳解實驗#,3
找到最佳解次數,29

投資組合檔數,2
2227(10),2354(18),
Stock#,2227(10),2354(18),
張數,20,64,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,124261.960000000010,71386.720000000001,
FS( 1 ),4993061.960000000000,4992986.719999999700,9986048.679999999700
FS( 2 ),5055743.165000000000,4976305.983999999200,10032049.149000000000
FS( 3 ),5147734.294999999900,4982040.495999999300,10129774.790999999000
FS( 4 ),5117070.585000000000,5049580.303999999500,10166650.888999999000
FS( 5 ),5071075.019999999600,5066783.839999999900,10137858.859999999000
FS( 6 ),5071075.019999999600,5201863.456000000200,10272938.476000000000
FS( 7 ),5362181.150000000400,5162359.040000000000,10524540.190000001000
FS( 8 ),5346849.294999999900,5359243.951999999600,10706093.247000000000
FS( 9 ),5254858.165000001000,5359243.951999999600,10614102.117000001000
FS( 10 ),5193729.860000000300,5286606.799999999800,10480336.660000000000
FS( 11 ),5132402.440000000400,5517261.615999999500,10649664.056000000000
FS( 12 ),5170632.519999999600,5669544.767999999200,10840177.287999999000
FS( 13 ),5086406.875000000000,5624305.839999999900,10710712.715000000000
FS( 14 ),5101738.729999999500,5618571.327999999700,10720310.057999998000
FS( 15 ),5040411.309999999600,5759385.456000000200,10799796.765999999000
FS( 16 ),5048176.794999999900,6097084.495999999300,11145261.290999999000
FS( 17 ),5101738.729999999500,6041013.711999999400,11142752.441999998000
FS( 18 ),5086406.875000000000,6125119.888000000300,11211526.763000000000
FS( 19 ),5124836.069999998400,6153792.447999999900,11278628.517999999000
FS( 20 ),5055743.165000000000,6153792.447999999900,11209535.613000000000
