代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11447325.586750001000
真實報酬,1447325.586750000700

夏普值報酬,0.136032558675
夏普值風險,0.041861672069
夏普值,3.249572985286

預期報酬,64563.940712708150
風險,72926.304351639410
起點值,0.885331312024
找到最佳解世代,2953
找到最佳解實驗#,2
找到最佳解次數,32

投資組合檔數,8
1216(2),2303(11),2357(21),2382(22),2409(24),2454(26),2603(28),4904(44),
Stock#,1216(2),2303(11),2357(21),2382(22),2409(24),2454(26),2603(28),4904(44),
張數,70,155,12,36,45,4,90,52,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,5028.440000000000,3576.373750000233,32667.770000000000,13079.897000000001,14341.692499999999,168340.829000000000,11637.844999999999,4387.527999999767,
FS( 1 ),1248228.439999999900,1248226.373750000000,1248267.770000000000,1248239.897000000100,1248241.692499999900,1248460.828999999900,1248237.845000000000,1248227.527999999900,9986130.375250000500
FS( 2 ),1271997.184999999800,1247348.221250000600,1262123.249000000100,1268579.618000000000,1285790.524999999900,1261203.418000000100,1268750.397500000000,1249453.622999999900,10115246.236749999000
FS( 3 ),1311720.627499999900,1225744.243750000100,1267618.822999999900,1292592.887000000100,1274590.306249999900,1267973.327999999700,1261582.257500000100,1249453.622999999900,10151276.095999999000
FS( 4 ),1304751.602500000000,1208769.690000000400,1267618.822999999900,1292592.887000000100,1276382.341249999800,1286809.606999999800,1347599.937500000000,1247382.826999999600,10231907.715250000000
FS( 5 ),1301267.089999999900,1231916.808750000300,1277176.342999999900,1292592.887000000100,1283998.490000000000,1343398.089999999900,1340431.797499999900,1270161.582999999400,10340943.089249998000
FS( 6 ),1304751.602500000000,1285926.752500000600,1262123.249000000100,1281840.676999999900,1295198.708750000000,1367690.119999999900,1295630.922499999900,1274820.873999999600,10367982.906250000000
FS( 7 ),1313811.335000000200,1281297.328750000100,1286733.862999999900,1281840.676999999900,1358367.942499999900,1343398.089999999900,1344015.867500000200,1303812.017999999700,10513277.121749999000
FS( 8 ),1302660.895000000000,1309073.871250000500,1311344.477000000200,1292592.887000000100,1362400.021250000000,1315123.760000000000,1340431.797499999900,1286210.251999999600,10519837.961000001000
FS( 9 ),1266421.964999999900,1270495.340000000500,1283986.075999999900,1292592.887000000100,1334175.469999999700,1327229.951999999800,1299214.992500000200,1270161.582999999400,10344278.265500000000
FS( 10 ),1271997.184999999800,1309073.871250000500,1310030.318000000000,1281840.676999999900,1420193.149999999900,1356898.086999999800,1325199.500000000000,1271714.679999999700,10546947.468249999000
FS( 11 ),1278966.210000000200,1352281.826250000200,1319587.837999999800,1286141.561000000200,1418401.115000000000,1370358.260999999900,1388816.742500000200,1289316.445999999800,10703869.999750001000
FS( 12 ),1278966.210000000200,1373885.803750000200,1356623.227999999900,1375026.497000000200,1418401.115000000000,1374420.206999999900,1370000.375000000000,1283104.057999999500,10830427.493750000000
FS( 13 ),1277572.404999999800,1363083.815000000600,1357937.387000000100,1366424.729000000100,1440801.552500000000,1410300.730000000000,1411217.180000000200,1305365.114999999800,10932702.913500002000
FS( 14 ),1283147.625000000000,1380058.368750000100,1346946.239000000100,1338110.576000000100,1463201.990000000200,1403331.705000000100,1392400.812500000000,1311577.502999999800,10918774.819250001000
FS( 15 ),1275481.697500000200,1412464.335000000200,1333326.773000000000,1368575.171000000100,1466786.059999999800,1428420.194999999800,1433617.617500000200,1303812.017999999700,11022483.866999999000
FS( 16 ),1268512.672499999900,1397032.922500000100,1337388.719000000000,1364274.287000000000,1434977.438749999700,1428420.194999999800,1466770.264999999900,1305365.114999999800,11002741.614750000000
FS( 17 ),1255271.525000000400,1401662.346250000600,1388043.575000000000,1401190.208000000100,1440801.552500000000,1417269.754999999900,1440785.757500000100,1320896.084999999700,11065920.804250000000
FS( 18 ),1246211.792499999500,1429438.888750000200,1371676.322000000200,1478964.527000000000,1386592.493749999900,1396362.679999999900,1511571.139999999900,1312095.201999999600,11132913.046000000000
FS( 19 ),1260846.744999999600,1517397.940000000600,1401782.509999999800,1478964.527000000000,1380768.379999999900,1422844.974999999900,1492754.772500000000,1298635.027999999700,11253994.877499999000
FS( 20 ),1266421.964999999900,1545174.482500000200,1456499.312000000200,1492225.586000000100,1388384.528749999800,1459083.905000000000,1504403.000000000000,1295011.134999999500,11407203.914249999000
FS( 21 ),1246211.792499999500,1528199.928750000200,1456499.312000000200,1494376.027999999900,1396000.677500000000,1499504.250000000000,1511571.139999999900,1289834.144999999600,11422197.273750000000
FS( 22 ),1253877.720000000000,1545174.482500000200,1429140.911000000100,1451725.595000000000,1378976.344999999700,1517623.714999999900,1482002.562500000000,1288281.048000000000,11346802.379000001000
FS( 23 ),1244817.987500000000,1605356.991250000200,1456499.312000000200,1447066.304000000000,1373600.240000000000,1482778.589999999900,1504403.000000000000,1332803.161999999800,11447325.586750001000
