代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10736116.128749998000
真實報酬,736116.128749998290

夏普值報酬,0.064911612875
夏普值風險,0.020139678644
夏普值,3.223070934811

預期報酬,30709.956485083228
風險,21050.208117846167
起點值,1.458890872392
找到最佳解世代,3823
找到最佳解實驗#,47
找到最佳解次數,2

投資組合檔數,10
1102(1),1326(5),2301(10),2330(17),2347(18),2353(19),2354(20),2498(27),2883(32),8046(47),
Stock#,1102(1),1326(5),2301(10),2330(17),2347(18),2353(19),2354(20),2498(27),2883(32),8046(47),
張數,49,15,38,19,19,12,14,1,147,10,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,12224.422750000000,3331.768750000117,9450.475499999884,24291.594000000001,27335.925999999999,50288.587000000000,4303.151000000000,306002.460750000030,6336.043750000000,90605.957500000004,
FS( 1 ),998594.422750000030,998581.768750000050,998590.475499999940,998611.594000000040,998615.925999999980,998648.587000000060,998583.150999999950,999012.460749999970,998586.043749999950,998705.957500000020,9986530.387000000100
FS( 2 ),1005449.865750000000,999703.228750000130,1003671.493499999900,1018323.452749999900,1004343.452250000000,1010819.347000000100,984566.207500000020,1021621.770749999900,1001512.813749999900,994687.614999999990,10044699.247000000000
FS( 3 ),997156.726000000140,1009410.085000000300,993078.575499999800,1049723.888250000100,1006991.681750000000,1021093.681000000100,1008818.414499999800,1014403.852000000000,997122.327999999860,990506.200000000070,10088305.431999998000
FS( 4 ),1016669.996000000000,1018220.923750000100,982107.338999999920,1052750.436250000000,999425.311749999990,1029217.573000000100,1033070.621500000000,1012791.020500000100,1007366.794750000000,1002950.887500000100,10154570.903999999000
FS( 5 ),1032280.611999999800,1019266.277500000200,971136.102499999800,1045373.225499999900,1009450.752000000000,1031248.545999999900,1023313.986500000000,1000764.474500000000,1004439.804250000000,1007132.302500000000,10144406.083249999000
FS( 6 ),1039110.256500000000,1019266.277500000200,980972.383499999760,1045373.225499999900,1006991.681750000000,1052752.966000000000,1003940.096999999800,1008778.853250000200,997122.327999999860,1011214.160000000000,10165522.229000000000
FS( 7 ),1037158.929500000100,1026882.426250000300,980972.383499999760,1075260.387000000100,1017017.122000000000,1042478.631999999800,1018435.669000000000,1004776.641750000000,1001512.813749999900,1032021.677500000000,10236516.682250001000
FS( 8 ),1029353.621500000200,1021506.321250000200,979837.427999999840,1070909.724250000000,1032149.862000000000,1026230.848000000000,1023313.986500000000,1025633.938000000100,994195.337499999910,1023658.847500000000,10226789.914500000000
FS( 9 ),1034231.939000000000,1024791.718750000100,977189.198499999940,1066369.902250000000,1062415.342000000200,1027186.600000000100,1013557.351500000000,1028033.273750000200,994195.337499999910,1036103.535000000000,10264074.198250001000
FS( 10 ),1019596.986499999900,1034498.575000000200,971136.102499999800,1060316.806250000100,1051065.787000000000,1033279.519000000100,1081575.035500000500,1035261.148250000100,991268.347000000070,1019576.990000000000,10297575.297000000000
FS( 11 ),1014718.669000000000,1066157.860000000100,961678.139999999900,1075260.387000000100,1035933.047000000000,1028261.821000000000,1086453.353000000100,1030442.565250000000,1017611.261499999900,1015395.575000000100,10331912.678749999000
FS( 12 ),1024475.304000000000,1063917.816250000100,950706.903499999780,1093419.675000000000,1024583.492000000000,996483.067000000270,1120322.814500000100,1022418.230749999900,1068833.595250000000,1019576.990000000000,10384737.888249999000
FS( 13 ),1030817.116750000000,1065112.506250000100,962813.095499999820,1118956.173749999800,1028366.677000000000,971991.922000000020,1134957.767000000000,1005573.101749999900,1077614.566749999800,1019576.990000000000,10415779.916749999000
FS( 14 ),1032280.611999999800,1049880.208750000200,973784.331999999700,1093419.675000000000,1038581.276500000000,980235.283000000050,1149453.339000000200,999958.058750000080,1060052.623750000000,1027840.262500000100,10405485.671249997000
FS( 15 ),1035695.434249999900,1045400.121250000200,972649.376500000010,1094932.949000000000,1035933.047000000000,980235.283000000050,1154331.656500000000,1010391.684750000000,1102493.985999999800,1048548.222500000000,10480611.760749999000
FS( 16 ),1043500.742250000200,1045400.121250000200,977189.198499999940,1093419.675000000000,1029690.791750000100,991465.368999999950,1159209.973999999900,1039273.315500000000,1102493.985999999800,1032021.677500000000,10513664.850750001000
FS( 17 ),1063014.012249999900,1056301.667500000000,974919.287499999860,1090393.127000000100,1028366.677000000000,999589.260999999940,1173705.546000000300,1039273.315500000000,1102493.985999999800,1019576.990000000000,10547633.869750001000
FS( 18 ),1053257.377250000100,1058541.711249999900,976054.243000000020,1087366.579000000100,1018341.236750000000,997558.287999999940,1168966.609000000200,1028033.273750000200,1130300.395750000100,1023658.847500000000,10542078.561250001000
FS( 19 ),1048379.059750000000,1059587.064999999900,977189.198499999940,1085853.304999999900,1011909.822249999900,988359.175000000050,1168966.609000000200,1028033.273750000200,1206402.148749999700,1011214.160000000000,10585893.817000000000
FS( 20 ),1042037.246999999900,1065112.506250000100,979837.427999999840,1088879.853000000100,1010774.866750000000,978084.841000000010,1134957.767000000000,1022418.230749999900,1244453.025250000200,1019576.990000000000,10586132.755000001000
FS( 21 ),1040573.751749999900,1065112.506250000100,977189.198499999940,1084340.031000000000,1020800.307000000000,981191.034999999920,1105827.242500000200,1011994.560499999900,1324945.264000000000,1002950.887500000100,10614924.784000000000
FS( 22 ),1042037.246999999900,1070488.611249999800,982107.338999999920,1084340.031000000000,1011909.822249999900,980235.283000000050,1134957.767000000000,1026430.398000000000,1330799.245000000100,1007132.302500000000,10670438.045999998000
FS( 23 ),1043500.742250000200,1073774.008750000000,977189.198499999940,1090393.127000000100,1020800.307000000000,971036.169999999930,1139836.084500000100,1028033.273750000200,1401047.016999999800,990506.200000000070,10736116.128749998000
