代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10927239.980750000000
真實報酬,927239.980750000100

夏普值報酬,0.084023998075
夏普值風險,0.025891925858
夏普值,3.245181472195

預期報酬,41684.036166859347
風險,67171.889677740284
起點值,0.620557741740
找到最佳解世代,6468
找到最佳解實驗#,2
找到最佳解次數,41

投資組合檔數,3
2324(17),2412(26),2886(36),
Stock#,2324(17),2412(26),2886(36),
張數,248,43,193,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,10364.507999999532,33978.109499999533,1271.569000000466,
FS( 1 ),3328604.507999999900,3328638.109499999800,3328591.569000000100,9985835.186499999800
FS( 2 ),3415151.361999999300,3310634.460999999700,3313868.178000000300,10039655.000999998000
FS( 3 ),3592921.233999999700,3307209.682999998800,3313868.178000000300,10214000.094999999000
FS( 4 ),3481815.063999999300,3317484.016999999500,3371511.970500000300,10170812.051499998000
FS( 5 ),3471938.959999999500,3354300.380499999000,3358061.752250000400,10184302.092750000000
FS( 6 ),3536133.635999999500,3337604.587749999000,3336925.695000000800,10210664.918749999000
FS( 7 ),3528726.557999999300,3360721.839249998800,3408019.705750000700,10297469.103000000000
FS( 8 ),3481815.063999999300,3360721.839249998800,3502171.233500000100,10344709.136749998000
FS( 9 ),3518850.453999999900,3374420.951249999000,3567500.865000000200,10460773.270250000000
FS( 10 ),3583045.129999999400,3380842.409999999700,3580951.083250000100,10544839.623250000000
FS( 11 ),3573169.025999999600,3377845.729249999400,3580951.083250000100,10531966.838500001000
FS( 12 ),3592921.233999999700,3374420.951249999000,3567500.865000000200,10534844.050249999000
FS( 13 ),3602797.337999999100,3407812.536749999000,3617458.818500001000,10628069.693249999000
FS( 14 ),3573169.025999999600,3418514.967999998900,3602087.140500000200,10593772.134499999000
FS( 15 ),3536133.635999999500,3411237.314749999400,3596322.761250000900,10543694.711999999000
FS( 16 ),3592921.233999999700,3446769.386499999600,3602087.140500000200,10641778.761000000000
FS( 17 ),3723779.611999999300,3454047.039749999100,3625144.657500000700,10802972.309249999000
FS( 18 ),3807726.495999999800,3421939.745999999300,3625144.657500000700,10854811.899499999000
FS( 19 ),3770691.105999999200,3415090.189999999900,3596322.761250000900,10782105.057250001000
FS( 20 ),3741062.793999999300,3415090.189999999900,3602087.140500000200,10758241.124499999000
FS( 21 ),3750938.898000000000,3418514.967999998900,3602087.140500000200,10771542.006499998000
FS( 22 ),3760815.001999999400,3411237.314749999400,3667416.772000000300,10839470.088749999000
FS( 23 ),3891673.379999999400,3425792.621249999900,3609772.979500000800,10927239.980750000000
