代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10712184.224750001000
真實報酬,712184.224750000980

夏普值報酬,0.062518422475
夏普值風險,0.021673617123
夏普值,2.884540320207

預期報酬,30766.378838039887
風險,112196.815632274970
起點值,0.274217932699
找到最佳解世代,3060
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
1101(0),1102(1),2412(25),3045(42),
Stock#,1101(0),1102(1),2412(25),3045(42),
張數,90,107,24,24,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,12460.299999999999,8704.956249999999,77112.297999999995,98743.077999999994,
FS( 1 ),2496460.299999999800,2496454.956249999800,2496552.298000000000,2496583.078000000200,9986050.632249999800
FS( 2 ),2493532.757499999800,2480120.336249999700,2496598.486000000000,2485972.636000000400,9956224.215749999500
FS( 3 ),2551773.895000000000,2569602.617249999700,2518580.782000000100,2518468.204000000400,10158425.498250000000
FS( 4 ),2543709.737499999800,2545101.516499999900,2518580.782000000100,2507477.056000000300,10114869.092000000000
FS( 5 ),2489948.687500000000,2470532.948999999600,2518580.782000000100,2518468.204000000400,9997530.622499998700
FS( 6 ),2601054.857499999900,2565341.556249999900,2529332.992000000100,2539972.623999999800,10235702.029750001000
FS( 7 ),2626143.347499999700,2589842.656999999700,2540324.140000000100,2561477.044000000200,10317787.188500000000
FS( 8 ),2618079.189999999900,2505686.702249999600,2518580.782000000100,2550724.834000000300,10193071.508250000000
FS( 9 ),2601054.857499999900,2539775.190250000000,2518580.782000000100,2572468.192000000700,10231879.021749999000
FS( 10 ),2675424.309999999600,2545101.516499999900,2529332.992000000100,2593972.612000000200,10343831.430499999000
FS( 11 ),2547293.807500000100,2505686.702249999600,2518580.782000000100,2550724.834000000300,10122286.125750000000
FS( 12 ),2651231.837499999900,2634583.797499999400,2529332.992000000100,2572468.192000000700,10387616.819000002000
FS( 13 ),2675424.309999999600,2798634.645999999700,2540324.140000000100,2583220.402000000200,10597603.498000000000
FS( 14 ),2700512.799999999800,2783720.932500000100,2540324.140000000100,2561477.044000000200,10586034.916500000000
FS( 15 ),2721121.202499999700,2832723.134000000100,2551076.350000000100,2561477.044000000200,10666397.730500000000
FS( 16 ),2654815.907500000200,2787981.993499999900,2540324.140000000100,2561477.044000000200,10544599.085000001000
FS( 17 ),2618079.189999999900,2728327.139500000000,2529332.992000000100,2529220.413999999900,10404959.735500000000
FS( 18 ),2618079.189999999900,2787981.993499999900,2518580.782000000100,2539972.623999999800,10464614.589499999000
FS( 19 ),2646751.750000000000,2743240.853000000100,2529332.992000000100,2539972.623999999800,10459298.219000001000
FS( 20 ),2618079.189999999900,2773068.279999999800,2562067.498000000100,2583220.402000000200,10536435.370000001000
FS( 21 ),2663776.082500000000,2778394.606249999700,2616545.362000000200,2653468.174000000100,10712184.224750001000
