代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10552233.202000000000
真實報酬,552233.201999999580

夏普值報酬,0.046523320200
夏普值風險,0.019535550746
夏普值,2.381469598931

預期報酬,26342.535320223997
風險,75994.894394072748
起點值,0.346635593486
找到最佳解世代,4545
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,2
1301(3),2886(35),
Stock#,1301(3),2886(35),
張數,61,245,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,64176.459999999999,4691.815000000000,
FS( 1 ),4992976.460000000000,4992891.815000000400,9985868.275000000400
FS( 2 ),4948089.091499999200,4958623.236250001000,9906712.327750001100
FS( 3 ),4965093.512500000200,5073263.697500000700,10038357.210000001000
FS( 4 ),4982705.234249998800,5051311.268749999800,10034016.502999999000
FS( 5 ),4999709.655249998900,5063507.062499999100,10063216.717749998000
FS( 6 ),5045864.512249999700,5200099.952500000600,10245964.464749999000
FS( 7 ),4925011.663000000600,5073263.697500000700,9998275.360500000400
FS( 8 ),5051937.519749999000,5280592.191249999200,10332529.710999999000
FS( 9 ),4971166.519999999600,5280592.191249999200,10251758.711250000000
FS( 10 ),4976632.226749999400,5363523.588750000100,10340155.815499999000
FS( 11 ),4971166.519999999600,5363523.588750000100,10334690.108750001000
FS( 12 ),4999709.655249998900,5317179.572500000700,10316889.227750000000
FS( 13 ),5040398.805500000700,5304983.778750000500,10345382.584250001000
FS( 14 ),5011248.369499999100,5236687.333750000200,10247935.703249998000
FS( 15 ),5051937.519749999000,5326936.207500000500,10378873.727249999000
FS( 16 ),5144247.233750000600,5363523.588750000100,10507770.822500002000
FS( 17 ),5178863.376500000200,5270835.556250000400,10449698.932750002000
FS( 18 ),5172790.369000000900,5351327.795000000900,10524118.164000001000
FS( 19 ),5144247.233750000600,5317179.572500000700,10461426.806250002000
FS( 20 ),5190402.090749999500,5351327.795000000900,10541729.885749999000
FS( 21 ),5253561.368750000400,5304983.778750000500,10558545.147500001000
FS( 22 ),5305789.233249999600,5246443.968749999100,10552233.202000000000
