代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10540696.302250000000
真實報酬,540696.302249999720

夏普值報酬,0.045369630225
夏普值風險,0.015578348252
夏普值,2.912351777715

預期報酬,23376.818398011059
風險,30875.734570609609
起點值,0.757125902367
找到最佳解世代,3643
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,10
2105(9),2317(16),2325(17),2330(18),2412(25),3008(41),3045(42),3481(43),4904(44),6505(47),
Stock#,2105(9),2317(16),2325(17),2330(18),2412(25),3008(41),3045(42),3481(43),4904(44),6505(47),
張數,18,15,21,7,10,0,10,106,15,12,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,44640.550000000003,26014.044999999998,41035.419999999998,7738.038749999883,36128.437500000000,1000000.000000000000,62866.485000000001,4303.150999999883,47945.252500000002,59661.925000000003,
FS( 1 ),998640.550000000050,998614.045000000040,998635.420000000040,998588.038749999950,998628.437500000000,1000000.000000000000,998666.484999999990,998583.150999999950,998645.252499999940,998661.925000000050,9987663.304750001100
FS( 2 ),992806.268499999890,1016710.727500000000,990634.766500000030,1000684.720749999700,994369.375000000000,1000000.000000000000,994525.569999999950,1033229.913499999800,990406.326250000160,986980.303000000070,10000347.970999999000
FS( 3 ),987967.773999999980,1029105.636250000100,994398.040000000040,1007165.913999999900,998849.462500000020,1000000.000000000000,999005.657499999970,1074386.983999999900,1002502.562500000000,988055.523999999980,10081437.554749999000
FS( 4 ),994419.100000000090,1059122.222499999900,983108.219500000010,997409.278999999750,998849.462500000020,1000000.000000000000,980985.750000000000,1084940.078999999700,998470.483749999900,1008604.192000000200,10105908.788249999000
FS( 5 ),1005888.124000000000,1042844.571250000000,961573.932250000070,994203.527499999850,998849.462500000020,1000000.000000000000,994525.569999999950,1059612.650999999800,1001158.536249999900,1025927.197000000000,10084583.571750000000
FS( 6 ),1015744.316500000100,1060316.912500000100,979344.946000000110,994203.527499999850,989789.730000000210,1000000.000000000000,990045.482499999930,1151424.577499999900,983536.858749999900,1012905.076000000100,10177311.427250000000
FS( 7 ),1014131.485000000100,1057778.196250000000,953211.102250000110,1000684.720749999700,994369.375000000000,1000000.000000000000,980985.750000000000,1136650.244500000000,1001158.536249999900,1015174.987000000000,10154144.397000000000
FS( 8 ),1014131.485000000100,1060316.912500000100,947566.192000000040,1010371.665499999800,998849.462500000020,1000000.000000000000,985565.395000000140,1151424.577499999900,995782.431249999910,1003228.087000000100,10167236.208249999000
FS( 9 ),1045133.690500000000,1062855.628749999900,984989.856250000070,1013647.107249999800,998849.462500000020,1000000.000000000000,990045.482499999930,1156701.124999999800,1001158.536249999900,1008604.192000000200,10261985.080999998000
FS( 10 ),1048359.353500000000,1072711.821250000000,979344.946000000110,1020128.300499999900,998849.462500000020,1000000.000000000000,990045.482499999930,1167254.219999999700,1002502.562500000000,1007528.971000000000,10286725.119750001000
FS( 11 ),1025421.305500000000,1051655.409999999900,988753.129749999960,1010371.665499999800,1007909.194999999900,1000000.000000000000,990045.482499999930,1115544.054499999600,1005190.615000000000,1005378.529000000000,10200269.386749998000
FS( 12 ),1036890.329500000100,1060316.912500000100,992516.403249999970,1020128.300499999900,1012488.839999999900,1000000.000000000000,985565.395000000140,1151424.577499999900,1013404.108750000100,1012905.076000000100,10285639.943000000000
FS( 13 ),1046746.522000000100,1054044.790000000000,969100.479250000090,1036366.128749999800,1017068.485000000000,1000000.000000000000,1003485.745000000100,1120820.602000000000,1025649.681249999900,1032497.992000000200,10305780.425249999000
