代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10659233.906500001000
真實報酬,659233.906500000510

夏普值報酬,0.057223390650
夏普值風險,0.021158779345
夏普值,2.704475041571

預期報酬,29268.406442703534
風險,59357.270441507913
起點值,0.493088820038
找到最佳解世代,3693
找到最佳解實驗#,5
找到最佳解次數,14

投資組合檔數,5
2308(12),2317(14),2498(27),2881(30),2912(39),
Stock#,2308(12),2317(14),2498(27),2881(30),2912(39),
張數,28,36,8,87,33,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,34403.010000000235,14654.909000000000,92806.115999999995,3989.732750000000,7594.862750000000,
FS( 1 ),1997203.010000000000,1997174.909000000000,1997286.115999999900,1997159.732750000000,1997164.862750000100,9985988.630500000000
FS( 2 ),2023641.506000000300,2026034.993000000000,2018009.227999999900,2004796.810249999900,1990989.333499999900,10063471.870750001000
FS( 3 ),2019460.091000000000,2033561.539999999800,1980097.731999999800,2029915.167500000000,1990989.333499999900,10054023.864000000000
FS( 4 ),2056814.064999999900,2033561.539999999800,1959708.355999999900,1988339.955499999900,1993617.651500000400,10032041.568000000000
FS( 5 ),2033955.663000000200,2041446.494000000200,1974283.573999999800,2027316.716749999900,1993617.651500000400,10070620.099250000000
FS( 6 ),2015557.437000000200,2094132.323000000300,2067628.686000000000,2032513.618250000100,1993617.651500000400,10203449.715750001000
FS( 7 ),2013327.349000000200,2101658.869999999600,2061814.527999999900,2041175.120750000000,1990989.333499999900,10208965.201250000000
FS( 8 ),2009145.934000000100,2101658.869999999600,2061814.527999999900,2107002.539750000000,1959778.057250000300,10239399.929000000000
FS( 9 ),1994650.362000000200,2094132.323000000300,2064681.784000000000,2098341.037250000100,1990989.333499999900,10242794.839750001000
FS( 10 ),2040367.166000000200,2094132.323000000300,2088018.061999999900,2093144.135749999900,1993617.651500000400,10309279.338250000000
FS( 11 ),2009145.934000000100,2041446.494000000200,2047239.309999999800,2081884.182499999900,1967663.011250000000,10147378.931750000000
FS( 12 ),2021690.179000000500,2086605.775999999800,2056000.369999999900,2117396.342749999400,1990989.333499999900,10272682.001249999000
FS( 13 ),2060995.480000000400,2124596.917999999600,2105540.182000000000,2131254.746749999900,1996245.969500000100,10418633.296249999000
FS( 14 ),2075491.052000000100,2124596.917999999600,2134690.618000000200,2147711.601499999900,1990989.333499999900,10473479.523000000000
FS( 15 ),2112566.265000000100,2124596.917999999600,2152212.737999999900,2133853.197499999800,1993617.651500000400,10516846.770000000000
FS( 16 ),2102252.108000000000,2086605.775999999800,2137637.520000000000,2142514.700000000200,2004130.923500000000,10473141.027499998000
FS( 17 ),2154101.654000001000,2101658.869999999600,2169734.858000000000,2150310.052249999700,2001502.605500000100,10577308.039750000000
FS( 18 ),2122880.422000000300,2079079.229000000100,2155159.640000000100,2126057.845249999800,2022200.609750000100,10505377.746000001000
FS( 19 ),2102252.108000000000,2079079.229000000100,2196018.037999999700,2123459.394499999900,2016943.973749999900,10517752.743250001000
FS( 20 ),2102252.108000000000,2048973.041000000000,2248504.751999999900,2103537.938749999300,2032713.881750000200,10535981.721500000000
FS( 21 ),2122880.422000000300,2094132.323000000300,2242690.594000000000,2152908.503000000000,2058668.522000000100,10671280.364000002000
FS( 22 ),2133194.579000000800,2109185.416999999900,2210593.256000000100,2152908.503000000000,2071810.112000000000,10677691.867000001000
FS( 23 ),2112566.265000000100,2094132.323000000300,2257265.811999999900,2123459.394499999900,2071810.112000000000,10659233.906500001000
