代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10412723.974499999000
真實報酬,412723.974499998610

夏普值報酬,0.032572397450
夏普值風險,0.016470068505
夏普值,1.977672250707

預期報酬,20653.855049275298
風險,71322.257171537698
起點值,0.289584988871
找到最佳解世代,3178
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2105(9),2408(23),3481(43),
Stock#,2105(9),2408(23),3481(43),
張數,58,75,305,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,20879.470499999534,29381.568749999999,10204.279999999999,
FS( 1 ),3328619.470499999800,3328631.568750000100,3328604.279999999800,9985856.319249998800
FS( 2 ),3369416.336999999400,3277445.006250000100,3268372.803749999500,9915235.146999998000
FS( 3 ),3352670.765500000200,3266244.787500000100,3329102.878749999700,9948019.431749999500
FS( 4 ),3363642.001999999400,3244591.031250000000,3329102.878749999700,9937336.911999998600
FS( 5 ),3346896.430499999300,3244591.031250000000,3435380.509999999300,10026868.971749999000
FS( 6 ),3380387.573499999500,3244591.031250000000,3450563.028749999600,10075542.633499999000
FS( 7 ),3363642.001999999400,3317019.112500000300,3405015.472499999700,10085677.586999999000
FS( 8 ),3380387.573499999500,3440968.200000000200,3420197.991249999500,10241554.764749998000
FS( 9 ),3369416.336999999400,3426034.575000000200,3405015.472499999700,10200467.384499999000
FS( 10 ),3352670.765500000200,3470088.768750000300,3420197.991249999500,10242958.525500000000
FS( 11 ),3352670.765500000200,3476808.899999999900,3493074.081250000300,10322554.746750001000
FS( 12 ),3286265.912999998800,3549983.662500000100,3493074.081250000300,10329324.656749999000
FS( 13 ),3357867.666999999400,3491742.524999999900,3465745.547499999400,10315356.739499999000
FS( 14 ),3303011.484499999800,3491742.524999999900,3508256.600000000100,10303011.609500000000
FS( 15 ),3297814.582999999200,3473075.493749999900,3568986.675000000300,10339877.751750000000
FS( 16 ),3281069.011499999100,3546250.256250000100,3553804.156250000000,10381124.423999999000
FS( 17 ),3270097.774999999900,3626145.149999999900,3523439.118749999900,10419683.043749999000
FS( 18 ),3292040.247999999200,3567904.012500000200,3508256.600000000100,10368201.860499999000
FS( 19 ),3303011.484499999800,3513396.281249999500,3480928.066249999700,10297336.831999999000
FS( 20 ),3324953.957499999100,3571637.418750000200,3523439.118749999900,10420031.494999999000
FS( 21 ),3341699.528999999200,3531316.631250000100,3493074.081250000300,10366091.241500000000
FS( 22 ),3369416.336999999400,3535050.037500000100,3508256.600000000100,10412723.974499999000
