代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10573052.667750001000
真實報酬,573052.667750000950

夏普值報酬,0.048605266775
夏普值風險,0.015916011048
夏普值,3.053859828784

預期報酬,26528.657392770048
風險,31162.725879335256
起點值,0.851294507916
找到最佳解世代,3371
找到最佳解實驗#,3
找到最佳解次數,27

投資組合檔數,9
1303(4),2303(13),2883(32),2885(34),2890(37),2892(39),3474(43),6505(48),9904(49),
Stock#,1303(4),2303(13),2883(32),2885(34),2890(37),2892(39),3474(43),6505(48),9904(49),
張數,19,91,150,86,124,88,23,17,37,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,27709.349500000000,7530.635750000000,1031.387500000000,991.330500000000,2213.069000000000,2493.468000000000,23964.019999999768,17304.543750000001,13238.758249999999,
FS( 1 ),1109569.349500000000,1109540.635749999900,1109531.387500000000,1109531.330499999900,1109533.068999999900,1109533.468000000100,1109564.020000000000,1109554.543750000000,1109548.758250000000,9985907.562249999500
FS( 2 ),1107808.667000000100,1116441.893749999800,1104626.274999999900,1101201.262999999800,1104633.177999999800,1102006.498000000100,1180324.382499999800,1097443.684249999900,1090331.439249999800,10004818.280749999000
FS( 3 ),1101566.411750000200,1111912.027499999900,1104626.274999999900,1101201.262999999800,1104633.177999999800,1099378.180000000200,1260468.169999999700,1104721.337499999900,1135271.694749999800,10123779.537500000000
FS( 4 ),1095134.997250000000,1139091.224999999900,1106119.637500000000,1114900.374999999800,1116978.308000000000,1099378.180000000200,1180324.382499999800,1094397.224750000100,1140060.410500000000,10086385.740500001000
FS( 5 ),1109511.100249999900,1128219.545999999600,1103132.912499999900,1132880.459499999900,1125619.898999999700,1099378.180000000200,1182614.204999999800,1100320.895999999900,1130482.979000000100,10112161.177249998000
FS( 6 ),1130129.458499999900,1120065.786750000000,1115079.812500000000,1143154.793499999900,1137965.029000000100,1110767.558000000000,1168875.269999999800,1109121.778999999900,1128641.165250000100,10163801.652499998000
FS( 7 ),1126913.751250000000,1131843.439000000000,1112093.087499999900,1146579.571499999800,1142903.080999999800,1108139.240000000200,1191773.494999999900,1110645.008749999600,1112801.566999999800,10183693.241000000000
FS( 8 ),1120671.496000000000,1174424.181750000200,1107613.000000000000,1143154.793499999900,1134261.490000000000,1104634.816000000100,1145977.044999999700,1120969.121499999900,1149637.841999999900,10201344.785750002000
FS( 9 ),1118969.062750000000,1162646.529499999900,1103132.912499999900,1143154.793499999900,1134261.490000000000,1108139.240000000200,1149411.778749999600,1125369.563000000100,1140060.410500000000,10185146.780499998000
FS( 10 ),1117455.788750000100,1147244.984249999700,1104626.274999999900,1154285.321999999900,1129323.438000000100,1108139.240000000200,1226120.832499999800,1126723.544999999900,1148164.391000000100,10262084.816500001000
FS( 11 ),1120671.496000000000,1147244.984249999700,1110599.724999999900,1143154.793499999900,1129323.438000000100,1108139.240000000200,1271917.282499999700,1116568.679999999900,1173581.420750000000,10321202.059999999000
FS( 12 ),1134858.439750000100,1131843.439000000000,1113586.450000000000,1139730.015500000000,1137965.029000000100,1108139.240000000200,1244439.412499999600,1141448.099250000000,1187947.568000000000,10339958.693000000000
FS( 13 ),1139776.580249999900,1162646.529499999900,1118066.537499999900,1154285.321999999900,1134261.490000000000,1110767.558000000000,1260468.169999999700,1131293.234249999700,1165477.440250000200,10377043.861749999000
FS( 14 ),1128616.184500000200,1135467.331999999700,1122546.625000000000,1161134.878000000000,1134261.490000000000,1110767.558000000000,1230700.477500000000,1131293.234249999700,1191262.832749999800,10346051.612000000000
FS( 15 ),1134858.439750000100,1131843.439000000000,1182281.125000000000,1161134.878000000000,1129323.438000000100,1116900.300000000300,1230700.477500000000,1145848.540750000200,1165477.440250000200,10398369.078250000000
FS( 16 ),1153963.524000000000,1135467.331999999700,1167347.500000000000,1178258.767999999900,1134261.490000000000,1123033.042000000100,1260468.169999999700,1140094.117249999900,1157741.822500000000,10450636.765750000000
FS( 17 ),1153963.524000000000,1139091.224999999900,1158387.325000000000,1174833.990000000200,1125619.898999999700,1125661.360000000100,1244439.412499999600,1150248.982250000100,1146322.577250000100,10418569.295000000000
FS( 18 ),1166826.352999999900,1178048.074749999900,1177801.037499999900,1171409.211999999800,1129323.438000000100,1128289.678000000300,1239859.767499999800,1159049.865250000000,1148164.391000000100,10498772.817000002000
FS( 19 ),1165123.919750000100,1159022.636500000000,1173320.950000000000,1160278.683499999600,1129323.438000000100,1137926.844000000300,1203222.607499999700,1163619.554500000100,1160688.724500000000,10452528.358250001000
FS( 20 ),1171555.334250000100,1166270.422499999600,1185267.849999999900,1182539.740500000100,1134261.490000000000,1137926.844000000300,1267337.637499999500,1160573.095000000000,1167319.254000000000,10573052.667750001000
