代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10478138.839000000000
真實報酬,478138.838999999690

夏普值報酬,0.039113883900
夏普值風險,0.019092106826
夏普值,2.048693957951

預期報酬,27542.975411129632
風險,80767.360238097215
起點值,0.341016164574
找到最佳解世代,3217
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
1326(5),1722(7),2105(9),2347(18),2412(24),3045(40),
Stock#,1326(5),1722(7),2105(9),2347(18),2412(24),3045(40),
張數,29,22,48,34,27,34,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,55453.289000000230,14094.436500000000,5902.780000000234,39831.059000000001,57606.352749999998,4420.671000000000,
FS( 1 ),1664373.289000000100,1664314.436500000100,1664302.780000000000,1664351.058999999900,1664376.352750000100,1664300.671000000100,9986022.588250000000
FS( 2 ),1667647.621000000500,1771344.046000000300,1671300.640000000600,1632452.386499999600,1650546.264250000000,1654586.233500000100,10047881.191250000000
FS( 3 ),1657253.818000000200,1837709.075500000300,1656964.360000000100,1645992.206500000300,1652696.706250000000,1651878.269499999900,10102498.435750002000
FS( 4 ),1657253.818000000200,1821063.061500000100,1671300.640000000600,1655131.585000000000,1655115.953500000100,1654586.233500000100,10114455.291500000000
FS( 5 ),1680351.158000000500,1787990.060000000100,1680858.160000000100,1713691.306500000200,1666405.774000000000,1662371.630000000100,10191672.088500001000
FS( 6 ),1676020.406750000300,1787990.060000000100,1676079.400000000400,1679841.756500000100,1698662.404000000100,1680311.891500000100,10198909.918750001000
FS( 7 ),1663605.586500000700,1787990.060000000100,1666521.880000000400,1711321.838000000000,1680383.647000000100,1672526.495000000100,10182353.506500002000
FS( 8 ),1646571.298250000200,1721625.030499999900,1680858.160000000100,1722830.685000000100,1668825.021250000000,1672526.495000000100,10113240.690000001000
FS( 9 ),1657253.818000000200,1713302.023500000100,1690415.680000000200,1673071.846500000000,1664255.332000000200,1688097.288000000200,10086399.988000002000
FS( 10 ),1732897.606500000500,1754917.058500000300,1721477.619999999900,1688981.135000000000,1668825.021250000000,1706037.549500000000,10273139.990750000000
FS( 11 ),1766677.466250000500,1754917.058500000300,1776911.236000000300,1704551.927999999800,1680383.647000000100,1721269.847000000100,10404715.182750002000
FS( 12 ),1773029.234750000500,1721625.030499999900,1716698.860000000100,1648361.674999999800,1689523.025500000000,1711114.982000000100,10260356.807750002000
FS( 13 ),1762635.431750000200,1754917.058500000300,1716698.860000000100,1659532.026499999900,1684953.336250000200,1708407.018000000400,10287147.731000002000
FS( 14 ),1771008.217500000300,1729948.037500000100,1716698.860000000100,1691012.107999999800,1684953.336250000200,1700960.117000000100,10294584.676250001000
FS( 15 ),1785732.771750000500,1738271.044500000100,1723867.000000000500,1688981.135000000000,1684953.336250000200,1708407.018000000400,10330216.305500003000
FS( 16 ),1794105.557500000100,1812959.081000000000,1711920.100000000600,1688981.135000000000,1684953.336250000200,1711114.982000000100,10404038.191750001000
FS( 17 ),1874080.097250000300,1821063.061500000100,1719088.240000000700,1693381.576500000000,1703232.093249999900,1723977.810999999800,10534826.879500002000
FS( 18 ),1926915.262500000000,1821063.061500000100,1728645.760000000000,1724861.657999999800,1696243.156750000100,1736840.639999999900,10634573.538750000000
FS( 19 ),1924894.245250000400,1804636.074000000000,1719088.240000000700,1745509.883499999800,1687103.778250000200,1749703.469000000000,10630939.690000001000
FS( 20 ),1960695.122250000200,1804636.074000000000,1671300.640000000600,1752279.793500000100,1696243.156750000100,1770351.694500000000,10655510.480999999000
FS( 21 ),1905838.939750000600,1746594.051499999800,1642150.204000000100,1731970.063499999900,1694092.714750000000,1757488.865500000100,10478138.839000000000
