代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11132960.123500001000
真實報酬,1132960.123500000700

夏普值報酬,0.104596012350
夏普值風險,0.033818509288
夏普值,3.092862889362

預期報酬,58030.698102090602
風險,96899.445222465642
起點值,0.598875442154
找到最佳解世代,3422
找到最佳解實驗#,1
找到最佳解次數,29

投資組合檔數,4
1303(4),2303(11),4904(45),4938(46),
Stock#,1303(4),2303(11),4904(45),4938(46),
張數,47,276,71,116,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,36514.528500000000,1404.568000000000,30656.192250000000,18709.192000000465,
FS( 1 ),2496494.528500000000,2496444.568000000000,2496486.192249999800,2496469.191999999800,9985894.480750000100
FS( 2 ),2452386.779250000100,2529368.608000000000,2540709.838000000000,2584823.666000000200,10107288.891249999000
FS( 3 ),2448643.417250000400,2518377.460000000000,2517383.515749999800,2490124.571999999700,9974528.964999999900
FS( 4 ),2560476.356999999800,2584324.347999999800,2474972.020749999700,2589443.134000000500,10209215.859749999000
FS( 5 ),2619902.228750000200,2617297.791999999900,2490522.902249999300,2629863.478999999800,10357586.401999999000
FS( 6 ),2627388.952750000200,2672253.532000000100,2474972.020749999700,2648341.351000000300,10422955.856500000000
FS( 7 ),2560476.356999999800,2672253.532000000100,2459421.139249999500,2828500.603000000100,10520651.631250000000
FS( 8 ),2549246.270999999700,2628288.939999999900,2435387.958750000200,2905876.692000000300,10518799.861749999000
FS( 9 ),2552989.632999999900,2617297.791999999900,2461541.714000000200,2919735.096000000400,10551564.235000001000
FS( 10 ),2623645.590750000000,2683244.679999999700,2474972.020749999700,2901257.224000000400,10683119.515499998000
FS( 11 ),2589955.332750000100,2617297.791999999900,2499005.201249999900,2860836.879000000200,10567095.205000000000
FS( 12 ),2623645.590750000000,2650271.236000000500,2538589.263249999800,2870075.814999999900,10682581.905000001000
FS( 13 ),2604928.780749999900,2650271.236000000500,2509608.074999999700,2825036.002000000300,10589844.093750000000
FS( 14 ),2582936.529000000100,2650271.236000000500,2570397.884500000200,2769602.386000000400,10573208.035500001000
FS( 15 ),2616158.866750000000,2793156.160000000100,2585948.765999999800,2901257.224000000400,10896521.016750000000
FS( 16 ),2582936.529000000100,2793156.160000000100,2590896.773750000200,3009814.721999999600,10976804.184750000000
FS( 17 ),2575449.804999999700,2815138.456000000200,2614929.954250000000,3042150.998000000100,11047669.213250000000
FS( 18 ),2556732.995000000100,2903067.639999999700,2614929.954250000000,3032912.062000000800,11107642.651250001000
FS( 19 ),2571706.443000000000,2903067.639999999700,2599379.072750000300,3087190.811000000200,11161343.966750000000
FS( 20 ),2567963.081000000200,2936041.083999999800,2641083.709499999900,2987872.249000000300,11132960.123500001000
