代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10381906.507750001000
真實報酬,381906.507750000800

夏普值報酬,0.029490650775
夏普值風險,0.012796408367
夏普值,2.304603755212

預期報酬,20025.112154743041
風險,25908.265311342730
起點值,0.772923694971
找到最佳解世代,4042
找到最佳解實驗#,1
找到最佳解次數,16

投資組合檔數,10
1101(0),1216(2),2201(9),2301(12),2882(31),2885(34),2890(37),3008(41),3481(44),9904(49),
Stock#,1101(0),1216(2),2201(9),2301(12),2882(31),2885(34),2890(37),3008(41),3481(44),9904(49),
張數,26,23,22,25,25,73,108,0,76,32,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,12154.323000000117,10511.986000000001,25333.075999999885,8338.893749999999,31371.668750000001,3592.139250000000,8228.736999999999,1000000.000000000000,9069.933999999999,4343.208000000000,
FS( 1 ),998594.322999999970,998591.986000000030,998613.076000000000,998588.893750000050,998621.668749999950,998582.139250000010,998588.736999999960,1000000.000000000000,998589.934000000010,998583.207999999980,9987353.965749999500
FS( 2 ),977404.108500000090,1010935.436249999900,1014456.749999999900,1007896.193750000000,989114.818749999860,1003627.315250000100,1001732.941000000100,1000000.000000000000,1059282.090000000100,992590.775999999950,10057040.429500001000
FS( 3 ),977404.108500000090,1023758.442250000100,1007447.901999999900,1019594.200000000200,987123.668749999950,1006534.394250000100,997432.056999999800,1000000.000000000000,1072901.555999999900,962006.711999999940,10054203.040749999000
FS( 4 ),983616.496500000120,1038413.306250000000,1002410.292499999900,1041247.956250000000,989114.818749999860,997086.387500000070,997432.056999999800,1000000.000000000000,1056255.541999999900,969015.559999999940,10074592.416750001000
FS( 5 ),983616.496500000120,1042077.022249999900,1006352.769499999800,1041247.956250000000,983888.050000000050,999993.466499999980,994206.393999999970,1000000.000000000000,1072901.555999999900,980166.000000000000,10104449.710999999000
FS( 6 ),983616.496500000120,1049633.436500000100,1007447.901999999900,1037265.656250000000,1002555.081250000000,997086.387500000070,1027538.245000000000,1000000.000000000000,1045662.624000000100,947033.263999999970,10097839.093000000000
FS( 7 ),983616.496500000120,1045740.738249999900,1009419.140499999900,1051203.706250000000,1003550.656250000000,1015982.401000000000,1030763.907999999800,1000000.000000000000,1029016.610000000100,966466.888000000040,10135760.544749999000
FS( 8 ),983616.496500000120,1060624.584499999900,1013361.617499999800,1074599.718750000000,1031675.649999999900,1034151.644749999900,1033989.570999999900,1000000.000000000000,1021450.240000000100,931741.231999999960,10185210.755000001000
FS( 9 ),979474.904499999950,1047572.596250000200,1002410.292499999900,1070866.312500000000,1022217.687500000000,1024703.638000000200,1020011.698000000000,1000000.000000000000,1021450.240000000100,944166.008000000030,10132873.377249999000
FS( 10 ),973003.667000000020,1040245.164250000000,1002410.292499999900,1074599.718750000000,1066769.668750000000,1040692.572500000000,1041516.117999999800,1000000.000000000000,1049445.808999999900,933971.319999999950,10222654.330750000000
FS( 11 ),975074.463000000110,1058792.726499999900,1005257.637000000000,1058919.412500000100,1087427.849999999900,1040692.572500000000,1049042.665000000000,1000000.000000000000,1045662.624000000100,939705.831999999940,10260575.782500001000
FS( 12 ),994229.326000000000,1036581.448250000100,1002410.292499999900,1060910.562500000000,1083445.550000000000,1028337.486750000000,1038290.455000000100,1000000.000000000000,1047175.897999999900,948307.599999999980,10239688.618999999000
FS( 13 ),989828.884500000160,1042077.022249999900,992335.073499999820,1049212.556249999900,1091659.043750000000,1021796.559000000000,1041516.117999999800,1000000.000000000000,1057768.815999999900,955635.031999999890,10241829.105249999000
FS( 14 ),992158.530000000140,1045740.738249999900,1008324.007999999900,1062901.712500000100,1097881.387500000000,1021796.559000000000,1045817.002000000000,1000000.000000000000,1064578.548999999900,948307.599999999980,10287506.086250002000
FS( 15 ),1000959.413000000100,1049633.436500000100,1004381.531000000100,1054937.112500000000,1099872.537499999900,1034151.644749999900,1056569.212000000100,1000000.000000000000,1057768.815999999900,942573.087999999990,10300846.791250000000
FS( 16 ),996558.971500000100,1060624.584499999900,1007447.901999999900,1064892.862500000000,1099872.537499999900,1034151.644749999900,1056569.212000000100,1000000.000000000000,1064578.548999999900,938431.496000000040,10323127.759749999000
FS( 17 ),996558.971500000100,1055129.010499999900,1003286.398499999900,1088537.768750000000,1130984.256249999900,1050140.579250000000,1059794.875000000000,1000000.000000000000,1068361.733999999900,925369.552000000030,10378163.145749997000
FS( 18 ),996558.971500000100,1051465.294499999800,1000220.027499999700,1088537.768750000000,1128993.106250000000,1037785.493500000000,1064095.759000000100,1000000.000000000000,1057768.815999999900,919635.040000000040,10345060.276999999000
FS( 19 ),997594.369500000150,1077111.306499999900,1008324.007999999900,1088537.768750000000,1147660.137500000000,1034151.644749999900,1064095.759000000100,1000000.000000000000,1071388.281999999900,926962.471999999950,10415825.748000000000
FS( 20 ),1030209.406500000000,1082606.880500000000,1017523.120999999700,1088537.768750000000,1120779.612500000000,1031244.565750000000,1056569.212000000100,1000000.000000000000,1001777.678000000000,949900.519999999900,10379148.764999999000
FS( 21 ),1034609.848000000100,1086270.596500000000,1029569.578499999900,1068875.162500000100,1138202.175000000000,1040692.572500000000,1059794.875000000000,1000000.000000000000,1022963.514000000100,964236.800000000050,10445215.122000000000
FS( 22 ),1015454.985000000100,1067952.016500000100,1029569.578499999900,1064146.181250000100,1127250.849999999900,1046506.730499999900,1045817.002000000000,1000000.000000000000,1012370.596000000000,972838.567999999970,10381906.507750001000
