代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10907922.280000001000
真實報酬,907922.280000001190

夏普值報酬,0.082092228000
夏普值風險,0.022700547997
夏普值,3.616310408498

預期報酬,30223.457719129517
風險,102652.320002872150
起點值,0.294425471517
找到最佳解世代,3468
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,2
2882(33),4904(46),
Stock#,2882(33),4904(46),
張數,175,90,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,14155.281250000000,8697.514999999999,
FS( 1 ),4992905.281250000000,4992897.514999999700,9985802.796250000600
FS( 2 ),4932544.674999999800,4998618.972499999200,9931163.647499999000
FS( 3 ),5068440.662499999600,4998618.972499999200,10067059.634999998000
FS( 4 ),4997008.156250000000,5012059.234999999400,10009067.391249999000
FS( 5 ),4997008.156250000000,5047003.917500000400,10044012.073750000000
FS( 6 ),5094574.506249999600,5096284.879999999900,10190859.386250000000
FS( 7 ),5183429.575000000200,5040731.794999999900,10224161.370000001000
FS( 8 ),5113739.325000000200,5012059.234999999400,10125798.559999999000
FS( 9 ),5099801.275000000400,5074780.460000000000,10174581.734999999000
FS( 10 ),5183429.575000000200,5109725.142500000100,10293154.717500001000
FS( 11 ),5118966.093750000000,5144669.824999999300,10263635.918749999000
FS( 12 ),5164264.756249999600,5124061.422499999400,10288326.178749999000
FS( 13 ),5202594.393749999800,5109725.142500000100,10312319.536249999000
FS( 14 ),5240924.031250000000,5186782.647500000000,10427706.678750001000
FS( 15 ),5312356.537499999600,5144669.824999999300,10457026.362499999000
FS( 16 ),5157295.731250000200,5256672.012499999300,10413967.743749999000
FS( 17 ),5171233.781250000000,5340897.657499999700,10512131.438749999000
FS( 18 ),5209563.418750000200,5361506.059999999600,10571069.478750000000
FS( 19 ),5274026.900000000400,5633895.379999999900,10907922.280000001000
