代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10839297.978000000000
真實報酬,839297.978000000120

夏普值報酬,0.075229797800
夏普值風險,0.030994558441
夏普值,2.427193726418

預期報酬,35894.499771515701
風險,154396.852050294750
起點值,0.232482070035
找到最佳解世代,3667
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1303(4),2330(17),
Stock#,1303(4),2330(17),
張數,91,88,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,46190.866999999998,26202.424000000930,
FS( 1 ),4992950.866999999600,4992922.423999999600,9985873.290999999300
FS( 2 ),4957471.855249999100,4977953.536000000300,9935425.391249999400
FS( 3 ),4896771.647500000000,4880705.770000000500,9777477.417500000400
FS( 4 ),4923950.845000000700,4963935.840000000800,9887886.685000002400
FS( 5 ),4883182.048750000100,5068192.454000000800,9951374.502750001800
FS( 6 ),4896771.647500000000,5186466.764000001400,10083238.411500001000
FS( 7 ),4964719.641249999400,5207493.308000000200,10172212.949250000000
FS( 8 ),4971061.453999999000,5234652.594000000500,10205714.048000000000
FS( 9 ),4971061.453999999000,5214502.156000000400,10185563.609999999000
FS( 10 ),4990992.865499999400,5227643.746000000300,10218636.611499999000
FS( 11 ),5018172.062999999200,5297732.226000000700,10315904.289000001000
FS( 12 ),5120547.040249999600,5366944.600000001500,10487491.640250001000
FS( 13 ),5337074.646999999900,5450174.669999999900,10787249.317000000000
FS( 14 ),5337074.646999999900,5338909.208000000600,10675983.855000000000
FS( 15 ),5296305.850750000200,5214502.156000000400,10510808.006750001000
FS( 16 ),5337074.646999999900,5262687.986000000500,10599762.633000001000
FS( 17 ),5385091.229249999900,5241661.442000000700,10626752.671250001000
FS( 18 ),5398680.827999999700,5214502.156000000400,10613182.984000001000
FS( 19 ),5405022.640749999300,5255679.137999999300,10660701.778749999000
FS( 20 ),5507397.617999999800,5331900.360000001300,10839297.978000000000
