代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10732750.488000000000
真實報酬,732750.487999999900

夏普值報酬,0.064575048800
夏普值風險,0.021902920419
夏普值,2.948239210275

預期報酬,35226.511306176377
風險,35726.213390155637
起點值,0.986013012952
找到最佳解世代,3518
找到最佳解實驗#,1
找到最佳解次數,33

投資組合檔數,9
2324(17),2330(19),2474(26),2882(31),2887(36),3008(41),3045(42),3481(44),4938(46),
Stock#,2324(17),2330(19),2474(26),2882(31),2887(36),3008(41),3045(42),3481(44),4938(46),
張數,63,10,4,32,110,0,14,114,29,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,16503.403749999768,68026.720000000118,186435.212000000000,11626.464000000000,1832.527500000000,1111111.000000000000,10264.526000000000,6018.484000000000,23803.792000000001,
FS( 1 ),1109553.403750000100,1109626.720000000000,1109795.212000000100,1109546.463999999900,1109532.527500000100,1111111.000000000000,1109544.526000000100,1109538.483999999900,1109563.791999999900,9987813.129249999300
FS( 2 ),1109734.355499999800,1096157.022500000200,1152182.784999999900,1097042.152000000000,1109011.485000000100,1111111.000000000000,1097850.567500000100,1145513.806000000100,1103604.436999999900,10022208.610500000000
FS( 3 ),1112243.204499999800,1105017.639999999900,1141470.398000000000,1149608.511999999900,1124343.340000000100,1111111.000000000000,1092275.347500000100,1135299.206500000100,1151820.134249999900,10123189.782749999000
FS( 4 ),1099698.959499999900,1109398.170000000200,1121797.835999999900,1135590.816000000100,1124343.340000000100,1111111.000000000000,1083215.615000000200,1155728.405500000100,1172896.456999999500,10113781.598999999000
FS( 5 ),1132313.996499999700,1118159.230000000200,1112837.660999999800,1166174.879999999900,1128723.869999999900,1111111.000000000000,1106910.300000000000,1165943.005000000100,1129588.944499999500,10171763.887000000000
FS( 6 ),1157402.486499999900,1122539.760000000000,1114629.696000000000,1157254.527999999900,1121057.942499999900,1111111.000000000000,1097850.567500000100,1155728.405500000100,1184445.127000000300,10222020.513000000000
FS( 7 ),1181863.764249999800,1109398.170000000200,1103917.308999999900,1150882.848000000000,1124343.340000000100,1111111.000000000000,1084330.659000000200,1155728.405500000100,1196282.513749999900,10217859.009499999000
FS( 8 ),1119769.751499999800,1126920.290000000300,1120005.801000000000,1153431.520000000000,1133104.400000000100,1111111.000000000000,1087675.791000000000,1165943.005000000100,1217358.836500000000,10235321.395000001000
FS( 9 ),1162420.184499999700,1140161.437500000200,1123589.871000000000,1164900.544000000000,1128723.869999999900,1111111.000000000000,1088930.215500000200,1170482.826999999800,1229196.223249999800,10319517.172750000000
FS( 10 ),1159911.335499999800,1140161.437500000200,1120005.801000000000,1161077.536000000100,1148436.254999999900,1111111.000000000000,1103565.167999999800,1170482.826999999800,1245653.077999999700,10360405.437999999000
FS( 11 ),1164929.033499999700,1140161.437500000200,1127173.940999999900,1172546.559999999800,1152816.785000000100,1111111.000000000000,1103565.167999999800,1176157.604500000100,1243343.344000000000,10391805.873499999000
FS( 12 ),1164929.033499999700,1131400.377500000200,1145054.467999999900,1171272.223999999900,1152816.785000000100,1111111.000000000000,1104680.212000000100,1202261.581000000000,1292425.191500000000,10475951.872500001000
FS( 13 ),1174337.217250000000,1131400.377500000200,1139678.363000000100,1163626.207999999900,1144055.725000000100,1111111.000000000000,1113600.564000000000,1196586.803500000200,1273658.602749999800,10448055.861000000000
FS( 14 ),1159911.335499999800,1126920.290000000300,1130758.010999999900,1163626.207999999900,1140770.327500000100,1111111.000000000000,1124890.384500000200,1206801.403000000200,1243343.344000000000,10408133.303500002000
FS( 15 ),1164929.033499999700,1140161.437500000200,1152182.784999999900,1166174.879999999900,1144055.725000000100,1111111.000000000000,1137295.249000000100,1217016.002499999700,1287805.723500000100,10520732.835999999000
FS( 16 ),1196916.858249999800,1140161.437500000200,1187983.662000000000,1169997.887999999800,1152816.785000000100,1111111.000000000000,1136180.205000000100,1227230.601999999700,1290115.457499999800,10612514.895250000000
FS( 17 ),1184372.613250000200,1148922.497499999800,1191567.731999999800,1171272.223999999900,1152816.785000000100,1111111.000000000000,1123775.340500000200,1212476.180500000200,1283186.255500000000,10579501.628249999000
FS( 18 ),1214478.801250000300,1153303.027500000300,1179023.487000000000,1173820.895999999900,1156102.182499999900,1111111.000000000000,1128374.897000000100,1196586.803500000200,1290115.457499999800,10602917.552250000000
FS( 19 ),1214478.801250000300,1157683.557500000100,1179023.487000000000,1189431.511999999900,1168148.640000000100,1111111.000000000000,1127259.853000000100,1217016.002499999700,1329958.368999999900,10694112.222250000000
FS( 20 ),1257129.234250000000,1140161.437500000200,1177231.452000000000,1191980.183999999900,1172529.169999999900,1111111.000000000000,1123775.340500000200,1202261.581000000000,1386258.135249999800,10762438.534499999000
FS( 21 ),1249602.687249999700,1118159.230000000200,1145054.467999999900,1189431.511999999900,1187861.025000000100,1111111.000000000000,1124890.384500000200,1222690.780000000300,1383948.401249999900,10732750.488000000000
