代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10513377.500000000000
真實報酬,513377.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,34070.231803080642
風險,61741.224816372051
起點值,0.551823063187
找到最佳解世代,2094
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,8
2227(10)[4],2301(11)[2],2308(13)[17],2412(24)[20],2886(35)[12],3008(41)[41],5880(46)[3],9999(49)[42],
Stock#,2227(10)[4],2301(11)[2],2308(13)[17],2412(24)[20],2886(35)[12],3008(41)[41],5880(46)[3],9999(49)[42],
張數,5,45,8,13,62,0,109,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,169650.000000000000,21500.000000000000,63440.000000000000,79480.000000000000,16200.000000000000,1250000.000000000000,1950.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1239150.000000000000,1260350.000000000200,1253760.000000000000,1253639.999999999800,1266120.000000000000,1250000.000000000000,1272890.000000000000,1250000.000000000000,10045910.000000000000
FS( 3 ),1247849.999999999800,1252250.000000000000,1257520.000000000000,1248830.000000000200,1260540.000000000000,1250000.000000000000,1282700.000000000000,1250000.000000000000,10049690.000000000000
FS( 4 ),1273900.000000000000,1302200.000000000000,1276240.000000000000,1248830.000000000200,1255579.999999999800,1250000.000000000000,1295780.000000000000,1250000.000000000000,10152530.000000000000
FS( 5 ),1267400.000000000000,1310300.000000000000,1291200.000000000000,1247660.000000000000,1269220.000000000000,1250000.000000000000,1295780.000000000000,1250000.000000000000,10181560.000000000000
FS( 6 ),1284800.000000000000,1304450.000000000000,1317440.000000000000,1247660.000000000000,1258060.000000000200,1250000.000000000000,1291420.000000000000,1250000.000000000000,10203830.000000000000
FS( 7 ),1321750.000000000000,1338650.000000000000,1313680.000000000000,1253639.999999999800,1260540.000000000000,1250000.000000000000,1319760.000000000000,1250000.000000000000,10308020.000000000000
FS( 8 ),1321750.000000000000,1374650.000000000000,1283760.000000000000,1252470.000000000000,1269220.000000000000,1250000.000000000000,1332840.000000000000,1250000.000000000000,10334690.000000000000
FS( 9 ),1334800.000000000000,1338650.000000000000,1291200.000000000000,1252470.000000000000,1246900.000000000000,1250000.000000000000,1314310.000000000000,1250000.000000000000,10278330.000000000000
FS( 10 ),1430400.000000000000,1358450.000000000000,1261280.000000000000,1257150.000000000000,1271700.000000000000,1250000.000000000000,1319760.000000000000,1250000.000000000000,10398740.000000000000
FS( 11 ),1421750.000000000000,1348550.000000000000,1294960.000000000000,1250000.000000000000,1274180.000000000000,1250000.000000000000,1338290.000000000000,1250000.000000000000,10427730.000000000000
FS( 12 ),1406500.000000000000,1370600.000000000000,1294960.000000000000,1263129.999999999800,1277280.000000000000,1250000.000000000000,1338290.000000000000,1250000.000000000000,10450760.000000000000
FS( 13 ),1410850.000000000000,1372850.000000000200,1291200.000000000000,1265470.000000000000,1298980.000000000000,1250000.000000000000,1342650.000000000000,1250000.000000000000,10482000.000000000000
FS( 14 ),1439099.999999999800,1342700.000000000000,1294960.000000000000,1263129.999999999800,1279760.000000000000,1250000.000000000000,1342650.000000000000,1250000.000000000000,10462300.000000000000
FS( 15 ),1460850.000000000000,1364750.000000000000,1283760.000000000000,1264300.000000000000,1298980.000000000000,1250000.000000000000,1338290.000000000000,1250000.000000000000,10510930.000000000000
FS( 16 ),1443450.000000000000,1382750.000000000000,1321120.000000000000,1265470.000000000000,1318200.000000000000,1250000.000000000000,1342650.000000000000,1250000.000000000000,10573640.000000000000
FS( 17 ),1460850.000000000000,1410650.000000000000,1328640.000000000000,1271320.000000000200,1337420.000000000000,1250000.000000000000,1361180.000000000000,1250000.000000000000,10670060.000000000000
FS( 18 ),1452150.000000000000,1410650.000000000000,1302480.000000000000,1271320.000000000200,1337420.000000000000,1250000.000000000000,1365540.000000000000,1250000.000000000000,10639560.000000000000
FS( 19 ),1447800.000000000000,1416950.000000000000,1336160.000000000000,1271320.000000000200,1334320.000000000200,1250000.000000000000,1369900.000000000000,1250000.000000000000,10676450.000000000000
FS( 20 ),1452150.000000000000,1412900.000000000000,1313680.000000000000,1271320.000000000200,1320680.000000000000,1250000.000000000000,1342650.000000000000,1250000.000000000000,10613380.000000000000
FS( 21 ),1408700.000000000000,1378700.000000000000,1306160.000000000000,1261830.000000000200,1310140.000000000000,1250000.000000000000,1347010.000000000000,1250837.500000000000,10513377.500000000000
