代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11199590.000000000000
真實報酬,1199590.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,52192.753623188408
風險,60121.606245039089
起點值,0.868119747341
找到最佳解世代,1727
找到最佳解實驗#,1
找到最佳解次數,36

投資組合檔數,5
2347(18)[2],2354(20)[24],2890(37)[1],3045(41)[20],9999(49)[42],
Stock#,2347(18)[2],2354(20)[24],2890(37)[1],3045(41)[20],9999(49)[42],
張數,56,37,349,54,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,12000.000000000000,37150.000000000000,3720.000000000000,35479.999999999767,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),1997200.000000000200,1982240.000000000000,2048860.000000000000,1981100.000000000000,2000000.000000000000,10009400.000000000000
FS( 3 ),2029680.000000000000,1982240.000000000000,2059329.999999999800,1977320.000000000000,2000000.000000000000,10048570.000000000000
FS( 4 ),2026320.000000000000,2022569.999999999800,2080270.000000000200,2008100.000000000000,2000000.000000000000,10137260.000000000000
FS( 5 ),2052639.999999999800,2029230.000000000200,2146579.999999999500,1996220.000000000000,2000000.000000000000,10224670.000000000000
FS( 6 ),2122080.000000000000,2035890.000000000000,2157050.000000000000,2011879.999999999800,2000000.000000000000,10326900.000000000000
FS( 7 ),2158480.000000000000,2067339.999999999800,2146579.999999999500,2000000.000000000000,2000000.000000000000,10372400.000000000000
FS( 8 ),2128799.999999999500,2056240.000000000000,2251280.000000000000,2003780.000000000000,2000000.000000000000,10440100.000000000000
FS( 9 ),2099120.000000000000,2024789.999999999800,2338530.000000000000,2003780.000000000000,2000000.000000000000,10466220.000000000000
FS( 10 ),2134960.000000000000,2060680.000000000000,2300140.000000000000,2011879.999999999800,2000000.000000000000,10507660.000000000000
FS( 11 ),2151760.000000000000,2081030.000000000000,2300140.000000000000,2008100.000000000000,2000000.000000000000,10541030.000000000000
FS( 12 ),2161280.000000000000,2062900.000000000000,2338530.000000000000,2030780.000000000000,2000000.000000000000,10593490.000000000000
FS( 13 ),2174720.000000000000,2042550.000000000000,2359470.000000000000,2163620.000000000000,2000000.000000000000,10740360.000000000000
FS( 14 ),2178080.000000000000,2065120.000000000000,2408329.999999999500,2148500.000000000000,2000000.000000000000,10800030.000000000000
FS( 15 ),2227360.000000000000,2094350.000000000200,2366450.000000000000,2133380.000000000000,2000000.000000000000,10821540.000000000000
FS( 16 ),2306319.999999999500,2069560.000000000000,2425780.000000000000,2118260.000000000000,2000000.000000000000,10919920.000000000000
FS( 17 ),2267120.000000000500,2056240.000000000000,2376920.000000000000,2190080.000000000000,2000000.000000000000,10890360.000000000000
FS( 18 ),2204400.000000000000,2051800.000000000000,2348999.999999999500,2201420.000000000000,2000000.000000000000,10806620.000000000000
FS( 19 ),2201040.000000000000,2047360.000000000000,2415310.000000000000,2288899.999999999100,2000000.000000000000,10952610.000000000000
FS( 20 ),2194319.999999999500,2020350.000000000000,2464170.000000000000,2300239.999999999100,2000000.000000000000,10979080.000000000000
FS( 21 ),2246960.000000000000,2054020.000000000000,2551420.000000000000,2300239.999999999100,2000000.000000000000,11152640.000000000000
FS( 22 ),2267120.000000000500,2083250.000000000000,2551420.000000000000,2296460.000000000000,2001340.000000000000,11199590.000000000000
