代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10384990.000000002000
真實報酬,384990.000000001860

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19102.108036890662
風險,46471.562582892329
起點值,0.411049402585
找到最佳解世代,1435
找到最佳解實驗#,1
找到最佳解次數,10

投資組合檔數,2
1303(4)[1],9999(49)[17],
Stock#,1303(4)[1],9999(49)[17],
張數,116,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,14320.000000000931,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5042920.000000000900,5000000.000000000000,10042920.000000000000
FS( 3 ),5095120.000000000000,5000000.000000000000,10095120.000000000000
FS( 4 ),5052200.000000000900,5000000.000000000000,10052200.000000000000
FS( 5 ),5129920.000000000900,5000000.000000000000,10129920.000000000000
FS( 6 ),5216920.000000000900,5000000.000000000000,10216920.000000000000
FS( 7 ),5191400.000000000900,5000000.000000000000,10191400.000000000000
FS( 8 ),5234320.000000000900,5000000.000000000000,10234320.000000000000
FS( 9 ),5156600.000000000900,5000000.000000000000,10156600.000000000000
FS( 10 ),5234320.000000000900,5000000.000000000000,10234320.000000000000
FS( 11 ),5234320.000000000900,5000000.000000000000,10234320.000000000000
FS( 12 ),5226200.000000000900,5000000.000000000000,10226200.000000000000
FS( 13 ),5226200.000000000900,5000000.000000000000,10226200.000000000000
FS( 14 ),5269120.000000000000,5000000.000000000000,10269120.000000000000
FS( 15 ),5269120.000000000000,5000000.000000000000,10269120.000000000000
FS( 16 ),5364240.000000000900,5000000.000000000000,10364240.000000000000
FS( 17 ),5373520.000000001900,5000000.000000000000,10373520.000000002000
FS( 18 ),5234320.000000000900,5000000.000000000000,10234320.000000000000
FS( 19 ),5346840.000000000000,5000000.000000000000,10346840.000000000000
FS( 20 ),5356120.000000000000,5000000.000000000000,10356120.000000000000
FS( 21 ),5399040.000000000900,5000000.000000000000,10399040.000000000000
FS( 22 ),5381640.000000001900,5003350.000000000000,10384990.000000002000
