代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10475030.000000000000
真實報酬,475030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,22665.912891986063
風險,20345.303829413675
起點值,1.114061165271
找到最佳解世代,2149
找到最佳解實驗#,5
找到最佳解次數,3

投資組合檔數,14
1102(1)[7],2207(10)[6],2303(13)[14],2412(24)[44],2801(28)[13],2883(32)[20],2885(34)[1],2890(37)[15],2892(39)[23],3008(41)[2],3474(43)[12],5880(47)[10],6505(48)[5],9904(49)[11],
Stock#,1102(1)[7],2207(10)[6],2303(13)[14],2412(24)[44],2801(28)[13],2883(32)[20],2885(34)[1],2890(37)[15],2892(39)[23],3008(41)[2],3474(43)[12],5880(47)[10],6505(48)[5],9904(49)[11],
張數,22,2,58,8,52,96,55,79,56,0,15,60,11,24,
FS( 11 ),722425.000000000120,725765.000000000000,741545.000000000000,712285.000000000000,716364.999999999880,718125.000000000120,739035.000000000000,730085.000000000120,716524.999999999880,714285.000000000000,823785.000000000000,726885.000000000000,721985.000000000000,759165.000000000000,10268270.000000000000
FS( 12 ),726825.000000000120,737245.000000000000,731685.000000000000,714285.000000000000,716364.999999999880,720045.000000000120,736835.000000000000,735615.000000000000,716524.999999999880,714285.000000000000,805785.000000000000,726885.000000000000,738155.000000000000,768525.000000000000,10289070.000000000000
FS( 13 ),729685.000000000120,734585.000000000000,751405.000000000000,716925.000000000000,722604.999999999880,722925.000000000120,746185.000000000000,733245.000000000000,718205.000000000000,714285.000000000000,816285.000000000000,722685.000000000000,731555.000000000000,753885.000000000000,10314470.000000000000
FS( 14 ),727705.000000000120,731065.000000000000,734004.999999999880,713645.000000000000,724165.000000000000,725805.000000000120,750585.000000000000,733245.000000000000,718205.000000000000,714285.000000000000,796785.000000000000,722685.000000000000,731555.000000000000,770685.000000000000,10294430.000000000000
FS( 15 ),729685.000000000120,731945.000000000000,731685.000000000000,713645.000000000000,726244.999999999880,764205.000000000120,750585.000000000000,730085.000000000120,722125.000000000000,714285.000000000000,796785.000000000000,722685.000000000000,741015.000000000000,753885.000000000000,10328870.000000000000
FS( 16 ),734965.000000000120,752265.000000000000,734004.999999999880,713645.000000000000,726244.999999999880,754605.000000000120,761585.000000000000,733245.000000000000,726045.000000000000,714285.000000000000,816285.000000000000,725085.000000000000,737275.000000000000,748845.000000000120,10378390.000000000000
FS( 17 ),737605.000000000230,757565.000000000000,736325.000000000000,711645.000000000000,726244.999999999880,748845.000000000120,759385.000000000120,727715.000000000000,727725.000000000120,714285.000000000000,805785.000000000000,729285.000000000000,743874.999999999880,741405.000000000000,10367700.000000000000
FS( 18 ),740465.000000000120,761085.000000000000,761265.000000000000,711005.000000000000,728324.999999999880,761325.000000000120,757185.000000000000,730085.000000000120,729405.000000000000,714285.000000000000,802785.000000000000,733485.000000000000,749595.000000000000,742604.999999999880,10422910.000000000000
FS( 19 ),741345.000000000230,761085.000000000000,749085.000000000120,714285.000000000000,724165.000000000000,758445.000000000000,750034.999999999880,730085.000000000120,735565.000000000000,714285.000000000000,778785.000000000000,735885.000000000120,752565.000000000120,750764.999999999880,10396390.000000000000
FS( 20 ),743985.000000000120,761085.000000000000,753724.999999999880,712285.000000000000,726244.999999999880,766125.000000000120,764335.000000000000,733245.000000000000,735565.000000000000,714285.000000000000,820785.000000000000,737685.000000000000,750585.000000000000,755085.000000000000,10475030.000000000000
