代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10644129.090299999000
真實報酬,644129.090299999340

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,37464.652400616236
風險,23710.239243824042
起點值,1.580104359781
找到最佳解世代,1741
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,11
1101(0)[1],1216(2)[38],2325(18)[12],2409(23)[14],2412(24)[13],2454(25)[3],2498(27)[43],3008(41)[29],3045(42)[5],4904(45)[8],9999(50)[46],
Stock#,1101(0)[1],1216(2)[38],2325(18)[12],2409(23)[14],2412(24)[13],2454(25)[3],2498(27)[43],3008(41)[29],3045(42)[5],4904(45)[8],9999(50)[46],
張數,25,23,32,116,12,2,7,0,13,19,-1,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,34340.000000000000,13470.000000000116,3490.000000000000,5450.000000000000,13890.000000000116,231730.000000000000,12039.999999999884,909090.000000000000,15600.000000000000,14949.999999999884,909090.000000000000,
FS( 1 ),909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,10000000.000000000000
FS( 2 ),925340.000000000000,894370.000000000120,944930.000000000000,909090.000000000000,909090.000000000000,920070.000000000000,912519.999999999770,909090.000000000000,912340.000000000000,915359.999999999880,909090.000000000000,10061300.000000000000
FS( 3 ),929590.000000000000,905410.000000000120,932130.000000000000,934610.000000000000,910050.000000000230,923450.000000000000,929949.999999999880,909090.000000000000,930150.000000000000,929229.999999999880,909090.000000000000,10142760.000000000000
FS( 4 ),943840.000000000120,905410.000000000120,948770.000000000000,931130.000000000120,909090.000000000000,924290.000000000000,895159.999999999880,909090.000000000000,943800.000000000000,930750.000000000000,909090.000000000000,10150430.000000000000
FS( 5 ),951090.000000000000,912770.000000000230,959010.000000000000,938089.999999999880,907050.000000000230,939490.000000000000,916019.999999999770,909090.000000000000,928070.000000000000,910799.999999999880,909090.000000000000,10180580.000000000000
FS( 6 ),964340.000000000120,907250.000000000120,964130.000000000000,953170.000000000000,913050.000000000230,964830.000000000000,912519.999999999770,909090.000000000000,939640.000000000000,935500.000000000000,909090.000000000000,10272620.000000000000
FS( 7 ),967590.000000000000,895290.000000000120,967970.000000000000,954330.000000000000,913050.000000000230,956390.000000000000,909090.000000000000,909090.000000000000,930150.000000000000,940059.999999999770,909090.000000000000,10252110.000000000000
FS( 8 ),973590.000000000000,918290.000000000120,971810.000000000000,958970.000000000120,917970.000000000120,960610.000000000000,902090.000000000000,909090.000000000000,945880.000000000000,947849.999999999880,909090.000000000000,10315250.000000000000
FS( 9 ),978840.000000000000,925650.000000000120,971810.000000000000,960130.000000000120,917970.000000000120,956390.000000000000,922949.999999999880,909090.000000000000,950170.000000000000,930750.000000000000,909090.000000000000,10332850.000000000000
FS( 10 ),979840.000000000000,938760.000000000120,980770.000000000000,955490.000000000000,919050.000000000230,963990.000000000000,919519.999999999770,909090.000000000000,952250.000000000000,941580.000000000000,909090.000000000000,10369440.000000000000
FS( 11 ),974590.000000000000,938760.000000000120,996130.000000000000,950850.000000000120,923970.000000000120,966510.000000000000,922949.999999999880,909090.000000000000,969020.000000000120,958679.999999999880,909090.000000000000,10419650.000000000000
FS( 12 ),975839.999999999880,920130.000000000230,980770.000000000000,953170.000000000000,919050.000000000230,966510.000000000000,940379.999999999880,909090.000000000000,972270.000000000120,957159.999999999880,909090.000000000000,10403470.000000000000
FS( 13 ),998340.000000000000,937840.000000000000,978210.000000000000,1019290.000000000000,923010.000000000230,968210.000000000000,933379.999999999880,909090.000000000000,986960.000000000000,964949.999999999880,909090.000000000000,10528380.000000000000
FS( 14 ),992090.000000000000,935080.000000000120,973090.000000000000,1058730.000000000000,923970.000000000120,968210.000000000000,912519.999999999770,909090.000000000000,979550.000000000000,954119.999999999880,909090.000000000000,10515550.000000000000
FS( 15 ),1015840.000000000000,930250.000000000120,979490.000000000000,1052930.000000000000,920010.000000000230,984250.000000000000,929949.999999999880,909090.000000000000,961740.000000000000,952409.999999999880,909090.000000000000,10545060.000000000000
FS( 16 ),1010589.999999999900,938760.000000000120,978210.000000000000,1058730.000000000000,920010.000000000230,984250.000000000000,975100.000000000000,909090.000000000000,962780.000000000000,949369.999999999880,909090.000000000000,10595990.000000000000
FS( 17 ),1026090.000000000000,949800.000000000120,980770.000000000000,1063369.999999999800,925890.000000000120,983410.000000000000,957739.999999999770,909090.000000000000,973310.000000000000,964949.999999999880,909699.090299999920,10644129.090299999000
