代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10632620.000000000000
真實報酬,632620.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,34059.118091211116
風險,34321.766122296714
起點值,0.992347479143
找到最佳解世代,1588
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,10
1301(3)[4],1326(5)[3],2347(18)[14],2382(22)[20],2412(24)[16],2886(35)[17],3045(41)[33],4938(46)[10],6505(47)[6],9999(49)[28],
Stock#,1301(3)[4],1326(5)[3],2347(18)[14],2382(22)[20],2412(24)[16],2886(35)[17],3045(41)[33],4938(46)[10],6505(47)[6],9999(49)[28],
張數,12,13,21,21,14,57,16,44,12,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,71560.000000000000,3680.000000000000,21820.000000000000,20350.000000000000,11180.000000000116,4780.000000000000,11680.000000000000,18360.000000000000,5680.000000000116,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1017520.000000000000,1018980.000000000000,1002730.000000000000,1017220.000000000000,1000000.000000000000,996580.000000000000,984640.000000000000,970520.000000000120,1004800.000000000200,1000000.000000000000,10012990.000000000000
FS( 3 ),1039480.000000000000,1037960.000000000000,1005670.000000000000,1005670.000000000000,1009800.000000000100,1000000.000000000000,973120.000000000000,1000000.000000000000,1014520.000000000000,1000000.000000000000,10086220.000000000000
FS( 4 ),1048240.000000000100,1042770.000000000100,995800.000000000000,1040110.000000000000,1024500.000000000000,1002280.000000000000,987200.000000000000,996480.000000000000,998320.000000000120,1000000.000000000000,10135700.000000000000
FS( 5 ),1026280.000000000000,1037700.000000000000,980470.000000000000,1017220.000000000000,1019600.000000000200,1002280.000000000000,985920.000000000000,1063800.000000000000,1009480.000000000200,1000000.000000000000,10142750.000000000000
FS( 6 ),1035040.000000000000,1037700.000000000000,991600.000000000000,1019950.000000000000,1024500.000000000000,1007980.000000000000,985920.000000000000,1127600.000000000000,1014520.000000000000,1000000.000000000000,10244810.000000000000
FS( 7 ),1037920.000000000000,1047839.999999999900,1001470.000000000000,998530.000000000000,1009800.000000000100,1003990.000000000000,987200.000000000000,1148720.000000000200,1012600.000000000100,1000000.000000000000,10248070.000000000000
FS( 8 ),1019200.000000000000,1032630.000000000000,988870.000000000000,1005670.000000000000,1019600.000000000200,990310.000000000000,979520.000000000000,1163239.999999999800,1012600.000000000100,1000000.000000000000,10211640.000000000000
FS( 9 ),1070560.000000000000,1063180.000000000000,991600.000000000000,997059.999999999880,1039200.000000000100,1003990.000000000000,975680.000000000000,1160160.000000000000,1017640.000000000100,1000000.000000000000,10319070.000000000000
FS( 10 ),1093840.000000000000,1058110.000000000000,1015540.000000000000,997059.999999999880,1034300.000000000100,998290.000000000000,980800.000000000000,1122760.000000000000,1038879.999999999900,1000000.000000000000,10339580.000000000000
FS( 11 ),1093840.000000000000,1058110.000000000000,1023940.000000000000,997059.999999999880,1044100.000000000200,1019380.000000000000,985920.000000000000,1130680.000000000200,1043920.000000000100,1000000.000000000000,10396950.000000000000
FS( 12 ),1098520.000000000000,1058110.000000000000,1030870.000000000000,989920.000000000000,1068600.000000000000,1023370.000000000000,1005120.000000000000,1109560.000000000000,1038879.999999999900,1000000.000000000000,10422950.000000000000
FS( 13 ),1089160.000000000000,1042770.000000000100,1023940.000000000000,1000000.000000000000,1083300.000000000000,1025080.000000000000,996160.000000000000,1128920.000000000000,1018600.000000000100,1000000.000000000000,10407930.000000000000
FS( 14 ),1103200.000000000000,1042770.000000000100,1039270.000000000000,1017220.000000000000,1088200.000000000000,1029070.000000000000,998720.000000000000,1127600.000000000000,1059160.000000000000,1000000.000000000000,10505210.000000000000
FS( 15 ),1089160.000000000000,1068250.000000000000,1077490.000000000000,1002730.000000000000,1083300.000000000000,1011400.000000000000,998720.000000000000,1157080.000000000000,1059160.000000000000,1000000.000000000000,10547290.000000000000
FS( 16 ),1107880.000000000000,1083460.000000000000,1073290.000000000000,1010080.000000000000,1037940.000000000100,1038760.000000000000,998720.000000000000,1143880.000000000000,1079440.000000000000,1000000.000000000000,10573450.000000000000
FS( 17 ),1098520.000000000000,1088660.000000000000,1067410.000000000000,1024360.000000000000,1022400.000000000100,1026790.000000000000,997440.000000000000,1137280.000000000000,1094560.000000000000,1000000.000000000000,10557420.000000000000
FS( 18 ),1107880.000000000000,1088660.000000000000,1063210.000000000000,1027300.000000000000,1039900.000000000100,1065550.000000000000,997440.000000000000,1151800.000000000000,1109800.000000000500,1000000.000000000000,10651540.000000000000
FS( 19 ),1075240.000000000000,1083460.000000000000,1068880.000000000000,1048720.000000000000,1035840.000000000000,1086640.000000000200,997440.000000000000,1151800.000000000000,1114840.000000000000,1000000.000000000000,10662860.000000000000
FS( 20 ),1093840.000000000000,1078390.000000000000,1118020.000000000000,1054600.000000000000,1042000.000000000000,1086640.000000000200,1006400.000000000000,1114400.000000000000,1094560.000000000000,1000000.000000000000,10688850.000000000000
FS( 21 ),1084600.000000000000,1068250.000000000000,1091980.000000000000,1040110.000000000000,1042000.000000000000,1068970.000000000000,1028320.000000000000,1102960.000000000000,1104760.000000000000,1000670.000000000000,10632620.000000000000
