代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10328340.000000000000
真實報酬,328340.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15526.345514950166
風險,38931.022811861178
起點值,0.398816789119
找到最佳解世代,1443
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
4938(45)[1],9999(49)[5],
Stock#,4938(45)[1],9999(49)[5],
張數,69,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,38900.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5036570.000000000000,5000000.000000000000,10036570.000000000000
FS( 3 ),5080040.000000000000,5000000.000000000000,10080040.000000000000
FS( 4 ),5104190.000000000000,5000000.000000000000,10104190.000000000000
FS( 5 ),5067619.999999999100,5000000.000000000000,10067620.000000000000
FS( 6 ),5006209.999999999100,5000000.000000000000,10006210.000000000000
FS( 7 ),5104190.000000000000,5000000.000000000000,10104190.000000000000
FS( 8 ),5141450.000000000000,5000000.000000000000,10141450.000000000000
FS( 9 ),5122820.000000000000,5000000.000000000000,10122820.000000000000
FS( 10 ),5110400.000000000000,5000000.000000000000,10110400.000000000000
FS( 11 ),5196650.000000000000,5000000.000000000000,10196650.000000000000
FS( 12 ),5227010.000000000000,5000000.000000000000,10227010.000000000000
FS( 13 ),5135240.000000000000,5000000.000000000000,10135240.000000000000
FS( 14 ),5202169.999999999100,5000000.000000000000,10202170.000000000000
FS( 15 ),5288419.999999999100,5000000.000000000000,10288420.000000000000
FS( 16 ),5319470.000000000000,5000000.000000000000,10319470.000000000000
FS( 17 ),5258060.000000000000,5000000.000000000000,10258060.000000000000
FS( 18 ),5233220.000000000000,5000000.000000000000,10233220.000000000000
FS( 19 ),5319470.000000000000,5000000.000000000000,10319470.000000000000
FS( 20 ),5288419.999999999100,5000000.000000000000,10288420.000000000000
FS( 21 ),5324990.000000000000,5003350.000000000000,10328340.000000000000
