代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11168825.000000000000
真實報酬,1168825.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,55632.042160737816
風險,97773.357311287211
起點值,0.568989791192
找到最佳解世代,1585
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
2324(15)[5],2354(20)[2],2408(23)[1],9999(49)[22],
Stock#,2324(15)[5],2354(20)[2],2408(23)[1],9999(49)[22],
張數,110,45,15,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,3000.000000000000,8800.000000000000,109450.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2577000.000000000000,2453650.000000000000,2500000.000000000000,2500000.000000000000,10030650.000000000000
FS( 3 ),2640800.000000000000,2437000.000000000000,2511550.000000000000,2500000.000000000000,10089350.000000000000
FS( 4 ),2738700.000000000500,2480650.000000000000,2604400.000000000500,2500000.000000000000,10323750.000000000000
FS( 5 ),2769500.000000000000,2472550.000000000000,2569599.999999999500,2500000.000000000000,10311650.000000000000
FS( 6 ),2681500.000000000000,2447800.000000000000,2615950.000000000000,2500000.000000000000,10245250.000000000000
FS( 7 ),2735400.000000000000,2442400.000000000000,2569599.999999999500,2500000.000000000000,10247400.000000000000
FS( 8 ),2743100.000000000000,2546350.000000000000,2615950.000000000000,2500000.000000000000,10405400.000000000000
FS( 9 ),2709000.000000000000,2600800.000000000000,2557900.000000000000,2500000.000000000000,10367700.000000000000
FS( 10 ),2769500.000000000000,2737150.000000000000,2604400.000000000500,2500000.000000000000,10611050.000000000000
FS( 11 ),2779399.999999999500,2846500.000000000500,2633349.999999999500,2500000.000000000000,10759250.000000000000
FS( 12 ),2867400.000000000000,2832550.000000000000,2633349.999999999500,2500000.000000000000,10833300.000000000000
FS( 13 ),2844299.999999999500,2900949.999999999500,2639200.000000000000,2500000.000000000000,10884450.000000000000
FS( 14 ),2836600.000000000500,2873500.000000000000,2621800.000000000500,2500000.000000000000,10831900.000000000000
FS( 15 ),2789299.999999999500,2860000.000000000000,2627650.000000000000,2500000.000000000000,10776950.000000000000
FS( 16 ),2735400.000000000000,2873500.000000000000,2627650.000000000000,2500000.000000000000,10736550.000000000000
FS( 17 ),2722200.000000000000,3064750.000000000000,2650749.999999999500,2500000.000000000000,10937700.000000000000
FS( 18 ),2743100.000000000000,3187600.000000000000,2662450.000000000000,2500000.000000000000,11093150.000000000000
FS( 19 ),2769500.000000000000,3160150.000000000000,2708800.000000000000,2500000.000000000000,11138450.000000000000
FS( 20 ),2671600.000000000500,3132700.000000000000,2778400.000000000500,2500000.000000000000,11082700.000000000000
FS( 21 ),2702400.000000000000,3091750.000000000500,2778400.000000000500,2500000.000000000000,11072550.000000000000
FS( 22 ),2806899.999999999500,3023800.000000000000,2836450.000000000000,2501675.000000000000,11168825.000000000000
