代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10546090.000000000000
真實報酬,546090.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,22473.225296442692
風險,52654.645923987780
起點值,0.426804224054
找到最佳解世代,1538
找到最佳解實驗#,12
找到最佳解次數,4

投資組合檔數,2
1101(0)[3],3045(42)[1],
Stock#,1101(0)[3],3045(42)[1],
張數,129,63,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,5120.000000000000,32450.000000000931,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4988390.000000000000,5016380.000000000900,10004770.000000000000
FS( 3 ),5033539.999999999100,5064890.000000000900,10098430.000000000000
FS( 4 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 5 ),4994840.000000000000,5059220.000000000900,10054060.000000000000
FS( 6 ),5061920.000000000000,5048510.000000000900,10110430.000000000000
FS( 7 ),5134160.000000000000,5086310.000000000900,10220470.000000000000
FS( 8 ),5000000.000000000000,5129780.000000000900,10129780.000000000000
FS( 9 ),5038700.000000000900,5172620.000000000900,10211320.000000002000
FS( 10 ),5078690.000000000000,5205380.000000000900,10284070.000000000000
FS( 11 ),5078690.000000000000,5216090.000000000900,10294780.000000000000
FS( 12 ),5050310.000000000000,5269640.000000000900,10319950.000000000000
FS( 13 ),5083850.000000000000,5258930.000000000900,10342780.000000000000
FS( 14 ),5067080.000000000000,5216090.000000000900,10283170.000000000000
FS( 15 ),5083850.000000000000,5183330.000000000900,10267180.000000000000
FS( 16 ),5105780.000000000000,5199710.000000000000,10305490.000000000000
FS( 17 ),5105780.000000000000,5226800.000000000900,10332580.000000000000
FS( 18 ),5117390.000000000000,5194040.000000000900,10311430.000000000000
FS( 19 ),5256710.000000000000,5183330.000000000900,10440040.000000000000
FS( 20 ),5218009.999999999100,5243180.000000000900,10461190.000000000000
FS( 21 ),5184469.999999999100,5361620.000000000900,10546090.000000000000
FS( 22 ),5184469.999999999100,5361620.000000000900,10546090.000000000000
