代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10839294.444370000000
真實報酬,839294.444369999690

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,35470.502707810279
風險,49620.264991378368
起點值,0.714839042354
找到最佳解世代,1417
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,9
2308(15)[20],2311(16)[2],2412(27)[6],2474(29)[1],2498(30)[5],2912(41)[9],3045(43)[16],4904(46)[7],9999(50)[32],
Stock#,2308(15)[20],2311(16)[2],2412(27)[6],2474(29)[1],2498(30)[5],2912(41)[9],3045(43)[16],4904(46)[7],9999(50)[32],
張數,13,63,15,10,5,8,14,21,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,12741.000000000000,15541.000000000000,39211.000000000233,13811.000000000000,85361.000000000000,123111.000000000000,16031.000000000000,7141.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1154791.000000000000,1123711.000000000000,1114561.000000000200,1093911.000000000200,1052261.000000000000,1135431.000000000000,1116430.999999999800,1112790.999999999800,1111111.000000000000,10015000.000000000000
FS( 3 ),1143871.000000000000,1126230.999999999800,1122811.000000000200,1111111.000000000000,1037511.000000000100,1149351.000000000000,1127211.000000000000,1114261.000000000000,1111111.000000000000,10043470.000000000000
FS( 4 ),1176631.000000000000,1141351.000000000200,1133461.000000000200,1119711.000000000000,1069411.000000000000,1163271.000000000000,1116430.999999999800,1117621.000000000000,1111111.000000000000,10149000.000000000000
FS( 5 ),1193011.000000000000,1138831.000000000000,1124011.000000000200,1128311.000000000000,1108661.000000000000,1177191.000000000000,1121891.000000000000,1106071.000000000000,1111111.000000000000,10209090.000000000000
FS( 6 ),1187551.000000000000,1143871.000000000000,1129861.000000000000,1128311.000000000000,1123411.000000000200,1170231.000000000000,1116430.999999999800,1101241.000000000200,1111111.000000000000,10212020.000000000000
FS( 7 ),1182091.000000000200,1158990.999999999800,1124011.000000000200,1167111.000000000000,1194561.000000000000,1170231.000000000000,1100331.000000000000,1093051.000000000000,1111111.000000000000,10301490.000000000000
FS( 8 ),1182091.000000000200,1164031.000000000000,1120561.000000000500,1167111.000000000000,1270661.000000000000,1166791.000000000000,1084091.000000000200,1099561.000000000000,1111111.000000000000,10366010.000000000000
FS( 9 ),1154791.000000000000,1133791.000000000000,1119361.000000000200,1128311.000000000000,1189661.000000000200,1149351.000000000000,1105651.000000000000,1137361.000000000000,1111111.000000000000,10229390.000000000000
FS( 10 ),1160251.000000000000,1151431.000000000000,1120561.000000000500,1167111.000000000000,1233811.000000000000,1149351.000000000000,1132671.000000000000,1153741.000000000200,1111111.000000000000,10380040.000000000000
FS( 11 ),1160251.000000000000,1143871.000000000000,1125211.000000000200,1171411.000000000200,1251011.000000000000,1145911.000000000000,1143451.000000000000,1153741.000000000200,1111111.000000000000,10405970.000000000000
FS( 12 ),1116571.000000000000,1143871.000000000000,1125211.000000000200,1205811.000000000000,1305011.000000000000,1159831.000000000000,1148771.000000000000,1145551.000000000000,1111111.000000000000,10461740.000000000000
FS( 13 ),1105650.999999999800,1167181.000000000000,1125211.000000000200,1235911.000000000000,1280461.000000000200,1159831.000000000000,1159690.999999999800,1150381.000000000000,1111111.000000000000,10495430.000000000000
FS( 14 ),1122031.000000000000,1174740.999999999800,1126411.000000000200,1210111.000000000000,1243661.000000000000,1177191.000000000000,1154231.000000000000,1160251.000000000000,1111111.000000000000,10479740.000000000000
FS( 15 ),1127491.000000000000,1158990.999999999800,1125211.000000000200,1223011.000000000000,1270661.000000000000,1173751.000000000000,1148771.000000000000,1150381.000000000000,1111111.000000000000,10489380.000000000000
FS( 16 ),1149331.000000000200,1177261.000000000000,1126411.000000000200,1214411.000000000000,1246111.000000000000,1152871.000000000000,1143451.000000000000,1137361.000000000000,1111111.000000000000,10458320.000000000000
FS( 17 ),1165711.000000000000,1204980.999999999800,1128661.000000000000,1244510.999999999800,1263261.000000000000,1159831.000000000000,1159690.999999999800,1153741.000000000200,1111111.000000000000,10591500.000000000000
FS( 18 ),1176631.000000000000,1222621.000000000000,1129861.000000000000,1257411.000000000000,1317261.000000000000,1159831.000000000000,1148771.000000000000,1147021.000000000000,1111111.000000000000,10670520.000000000000
FS( 19 ),1187551.000000000000,1217581.000000000000,1135711.000000000200,1218710.999999999800,1305011.000000000000,1173751.000000000000,1148771.000000000000,1153741.000000000200,1111111.000000000000,10651940.000000000000
FS( 20 ),1149331.000000000200,1204980.999999999800,1135711.000000000200,1253111.000000000200,1341811.000000000000,1166791.000000000000,1127211.000000000000,1170121.000000000000,1111111.000000000000,10660180.000000000000
FS( 21 ),1182091.000000000200,1212541.000000000000,1139311.000000000500,1279011.000000000000,1356510.999999999800,1180711.000000000000,1143451.000000000000,1186501.000000000000,1111111.000000000000,10791240.000000000000
FS( 22 ),1149331.000000000200,1247821.000000000000,1140361.000000000000,1296211.000000000000,1390911.000000000200,1159831.000000000000,1143451.000000000000,1199521.000000000000,1111855.444369999900,10839294.444370000000
