代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10758753.333110001000
真實報酬,758753.333110000940

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,36273.199823035575
風險,111556.074506673150
起點值,0.325156653131
找到最佳解世代,1386
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2301(10)[3],4904(45)[1],9999(49)[6],
Stock#,2301(10)[3],4904(45)[1],9999(49)[6],
張數,163,87,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,1612.999999999534,32553.000000000466,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3315402.999999999100,3411633.000000000900,3333333.000000000000,10060370.000000000000
FS( 3 ),3258353.000000000000,3528213.000000000500,3333333.000000000000,10119900.000000000000
FS( 4 ),3281172.999999999500,3522123.000000000500,3333333.000000000000,10136630.000000000000
FS( 5 ),3333333.000000000000,3612603.000000000000,3333333.000000000000,10279270.000000000000
FS( 6 ),3333333.000000000000,3723093.000000000500,3333333.000000000000,10389760.000000000000
FS( 7 ),3310512.999999999500,3619563.000000000000,3333333.000000000000,10263410.000000000000
FS( 8 ),3310512.999999999500,3593463.000000000500,3333333.000000000000,10237310.000000000000
FS( 9 ),3315402.999999999100,3509073.000000000500,3333333.000000000000,10157810.000000000000
FS( 10 ),3372452.999999999500,3561273.000000000900,3333333.000000000000,10267060.000000000000
FS( 11 ),3429503.000000000000,3625653.000000000500,3333333.000000000000,10388490.000000000000
FS( 12 ),3527302.999999999500,3696993.000000000000,3333333.000000000000,10557630.000000000000
FS( 13 ),3555012.999999999500,3846633.000000000900,3333333.000000000000,10734980.000000000000
FS( 14 ),3657702.999999999500,3730053.000000000500,3333333.000000000000,10721090.000000000000
FS( 15 ),3607172.999999999500,3606513.000000000500,3333333.000000000000,10547020.000000000000
FS( 16 ),3641402.999999999100,3671763.000000000500,3333333.000000000000,10646500.000000000000
FS( 17 ),3390382.999999999500,3671763.000000000500,3333333.000000000000,10395480.000000000000
FS( 18 ),3504482.999999999500,3788343.000000000500,3333333.000000000000,10626160.000000000000
FS( 19 ),3504482.999999999500,3775293.000000000900,3333333.000000000000,10613110.000000000000
FS( 20 ),3509372.999999999100,3866643.000000000500,3333333.000000000000,10709350.000000000000
FS( 21 ),3584353.000000000000,3814443.000000000500,3333333.000000000000,10732130.000000000000
FS( 22 ),3687042.999999999500,3736143.000000000500,3335566.333110000000,10758753.333110001000
