代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10209860.000000000000
真實報酬,209860.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8559.754856614247
風險,40653.974424749176
起點值,0.210551489190
找到最佳解世代,1206
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2412(25)[1],9999(49)[4],
Stock#,2412(25)[1],9999(49)[4],
張數,107,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,13800.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5016050.000000000000,5000000.000000000000,10016050.000000000000
FS( 3 ),5032100.000000000000,5000000.000000000000,10032100.000000000000
FS( 4 ),5071690.000000000000,5000000.000000000000,10071690.000000000000
FS( 5 ),5111280.000000000900,5000000.000000000000,10111280.000000000000
FS( 6 ),5079180.000000000000,5000000.000000000000,10079180.000000000000
FS( 7 ),5007490.000000000900,5000000.000000000000,10007490.000000000000
FS( 8 ),5016050.000000000000,5000000.000000000000,10016050.000000000000
FS( 9 ),5007490.000000000900,5000000.000000000000,10007490.000000000000
FS( 10 ),5047080.000000000000,5000000.000000000000,10047080.000000000000
FS( 11 ),5111280.000000000900,5000000.000000000000,10111280.000000000000
FS( 12 ),5165850.000000000000,5000000.000000000000,10165850.000000000000
FS( 13 ),5181899.999999999100,5000000.000000000000,10181900.000000000000
FS( 14 ),5055640.000000000000,5000000.000000000000,10055640.000000000000
FS( 15 ),5079180.000000000000,5000000.000000000000,10079180.000000000000
FS( 16 ),5111280.000000000900,5000000.000000000000,10111280.000000000000
FS( 17 ),5165850.000000000000,5000000.000000000000,10165850.000000000000
FS( 18 ),5165850.000000000000,5000000.000000000000,10165850.000000000000
FS( 19 ),5190460.000000000000,5000000.000000000000,10190460.000000000000
FS( 20 ),5197950.000000000900,5000000.000000000000,10197950.000000000000
FS( 21 ),5174410.000000000000,5000000.000000000000,10174410.000000000000
FS( 22 ),5165850.000000000000,5000000.000000000000,10165850.000000000000
FS( 23 ),5206510.000000000000,5003350.000000000000,10209860.000000000000
