代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12669900.000000000000
真實報酬,2669900.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,101203.111989459810
風險,207223.205126896410
起點值,0.488377312413
找到最佳解世代,1233
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
1326(5)[3],2105(9)[1],2317(14)[2],2382(22)[31],
Stock#,1326(5)[3],2105(9)[1],2317(14)[2],2382(22)[31],
張數,93,202,89,94,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,13180.000000000466,11360.000000000000,7109.999999999534,540.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2624620.000000000500,2673720.000000000000,2532929.999999999100,2526320.000000000000,10357590.000000000000
FS( 3 ),2615320.000000000500,2788860.000000000000,2564969.999999999100,2517860.000000000000,10487010.000000000000
FS( 4 ),2633920.000000000500,2778759.999999999500,2574759.999999999500,2491540.000000000000,10478980.000000000000
FS( 5 ),2691580.000000000500,2736340.000000000000,2669100.000000000000,2460520.000000000000,10557540.000000000000
FS( 6 ),2755750.000000000000,2669680.000000000000,2568529.999999999500,2406940.000000000000,10400900.000000000000
FS( 7 ),2932450.000000000500,2746440.000000000000,2633500.000000000000,2466160.000000000000,10778550.000000000000
FS( 8 ),2999410.000000000500,2792900.000000000000,2645959.999999999500,2480260.000000000000,10918530.000000000000
FS( 9 ),3002200.000000000500,2918140.000000000000,2785689.999999999500,2466160.000000000000,11172190.000000000000
FS( 10 ),2984530.000000000500,2889860.000000000000,2953899.999999999500,2435140.000000000000,11263430.000000000000
FS( 11 ),2951050.000000000500,2881780.000000000000,2879139.999999999500,2488720.000000000000,11200690.000000000000
FS( 12 ),3023590.000000000500,2867640.000000000000,2904949.999999999500,2531960.000000000000,11328140.000000000000
FS( 13 ),2913850.000000000500,2669680.000000000000,2918299.999999999500,2502820.000000000000,11004650.000000000000
FS( 14 ),2968720.000000000500,2853500.000000000000,2985939.999999999500,2588360.000000000000,11396520.000000000000
FS( 15 ),3027310.000000000000,2906020.000000000000,2985939.999999999500,2588360.000000000000,11507630.000000000000
FS( 16 ),3005920.000000000500,3108020.000000000000,2973479.999999999500,2673900.000000000000,11761320.000000000000
FS( 17 ),3011500.000000000500,3229220.000000000000,2950339.999999999500,2656980.000000000000,11848040.000000000000
FS( 18 ),3044980.000000000500,3207000.000000000000,2950339.999999999500,2645700.000000000000,11848020.000000000000
FS( 19 ),3014290.000000000500,3164580.000000000000,2863119.999999999500,2673900.000000000000,11715890.000000000000
FS( 20 ),2972440.000000000500,3093880.000000000000,2853330.000000000000,2648520.000000000000,11568170.000000000000
FS( 21 ),3011500.000000000500,3308000.000000000000,2902279.999999999500,2628780.000000000500,11850560.000000000000
FS( 22 ),3218890.000000000500,3538280.000000000000,3102529.999999999500,2810200.000000000000,12669900.000000000000
