代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10348720.000000000000
真實報酬,348720.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17594.222289338570
風險,27271.477139167782
起點值,0.645151056525
找到最佳解世代,1458
找到最佳解實驗#,14
找到最佳解次數,1

投資組合檔數,10
1102(1)[2],1301(3)[16],1303(4)[6],2311(15)[20],2325(18)[8],2354(20)[3],2474(26)[7],2887(36)[30],3008(41)[1],9999(50)[26],
Stock#,1102(1)[2],1301(3)[16],1303(4)[6],2311(15)[20],2325(18)[8],2354(20)[3],2474(26)[7],2887(36)[30],3008(41)[1],9999(50)[26],
張數,31,15,18,35,30,16,4,99,0,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,26600.000000000000,9849.999999999884,29620.000000000116,11250.000000000000,11800.000000000116,46880.000000000000,198800.000000000000,7030.000000000116,1000000.000000000000,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1000000.000000000000,1006599.999999999900,1004500.000000000000,985650.000000000000,1049200.000000000000,1004000.000000000000,1012560.000000000000,997030.000000000120,1000000.000000000000,1000000.000000000000,10059540.000000000000
FS( 3 ),1000000.000000000000,1010499.999999999800,1004500.000000000000,978300.000000000000,1028800.000000000100,1002720.000000000000,1021560.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10046380.000000000000
FS( 4 ),1000000.000000000000,1010499.999999999800,1005940.000000000100,979700.000000000000,1006000.000000000100,1010560.000000000000,1010760.000000000000,997030.000000000120,1000000.000000000000,1000000.000000000000,10020490.000000000000
FS( 5 ),1001240.000000000000,1015599.999999999900,1005940.000000000100,993000.000000000000,1028800.000000000100,1030560.000000000000,1008960.000000000000,1014850.000000000000,1000000.000000000000,1000000.000000000000,10098950.000000000000
FS( 6 ),1001240.000000000000,1015599.999999999900,1007560.000000000000,989850.000000000000,1022800.000000000200,1038560.000000000000,1019760.000000000000,1014850.000000000000,1000000.000000000000,1000000.000000000000,10110220.000000000000
FS( 7 ),1020150.000000000000,1015599.999999999900,1019620.000000000100,998600.000000000000,1043200.000000000200,1034560.000000000000,1010760.000000000000,1025740.000000000000,1000000.000000000000,1000000.000000000000,10168230.000000000000
FS( 8 ),1036890.000000000100,1015599.999999999900,1028800.000000000100,976550.000000000000,1013200.000000000200,1030560.000000000000,1003600.000000000000,1021780.000000000100,1000000.000000000000,1000000.000000000000,10126980.000000000000
FS( 9 ),1010230.000000000000,1015599.999999999900,1033300.000000000100,985650.000000000000,1008400.000000000000,1045280.000000000000,1000000.000000000000,1018810.000000000200,1000000.000000000000,1000000.000000000000,10117270.000000000000
FS( 10 ),1029140.000000000100,1019500.000000000000,1039240.000000000200,994400.000000000000,1026400.000000000100,1053120.000000000000,991000.000000000000,1010890.000000000100,1000000.000000000000,1000000.000000000000,10163690.000000000000
FS( 11 ),1027900.000000000000,1014399.999999999900,1040860.000000000100,994400.000000000000,1019200.000000000100,1053120.000000000000,1034120.000000000000,1007920.000000000100,1000000.000000000000,1000000.000000000000,10191920.000000000000
FS( 12 ),1031620.000000000100,1016949.999999999900,1039240.000000000200,1000000.000000000000,1026400.000000000100,1058560.000000000000,1057480.000000000000,1003960.000000000200,1000000.000000000000,1000000.000000000000,10234210.000000000000
FS( 13 ),1032860.000000000000,1019500.000000000000,1043920.000000000200,1004550.000000000000,1038400.000000000000,1055840.000000000000,1050280.000000000000,1007920.000000000100,1000000.000000000000,1000000.000000000000,10253270.000000000000
FS( 14 ),1035650.000000000000,1016949.999999999900,1036360.000000000100,1007350.000000000000,1038400.000000000000,1050560.000000000000,1057480.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10242750.000000000000
FS( 15 ),1035650.000000000000,1010499.999999999800,1031680.000000000200,1001750.000000000000,1031200.000000000000,1059840.000000000000,1079040.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10249660.000000000000
FS( 16 ),1049600.000000000000,993549.999999999770,1024120.000000000100,1023800.000000000000,1031200.000000000000,1062560.000000000000,1086240.000000000000,997030.000000000120,1000000.000000000000,1000000.000000000000,10268100.000000000000
FS( 17 ),1049600.000000000000,1006599.999999999900,1036360.000000000100,1032550.000000000000,1018000.000000000000,1063840.000000000000,1143720.000000000000,990100.000000000000,1000000.000000000000,1000000.000000000000,10340770.000000000000
FS( 18 ),1031620.000000000100,992199.999999999770,1022680.000000000200,1047250.000000000000,1020400.000000000000,1037280.000000000000,1120360.000000000000,997030.000000000120,1000000.000000000000,1000000.000000000000,10268820.000000000000
FS( 19 ),1024180.000000000000,997449.999999999880,1021060.000000000000,1031150.000000000000,1040800.000000000100,1031840.000000000000,1183240.000000000000,1003960.000000000200,1000000.000000000000,1000000.000000000000,10333680.000000000000
FS( 20 ),1036890.000000000100,1007799.999999999900,1027180.000000000200,1020650.000000000000,1058800.000000000000,1055840.000000000000,1181440.000000000000,1007920.000000000100,1000000.000000000000,1000000.000000000000,10396520.000000000000
FS( 21 ),1036890.000000000100,1019500.000000000000,1030240.000000000200,1038150.000000000100,1073200.000000000000,1043840.000000000000,1113160.000000000000,993070.000000000230,1000000.000000000000,1000670.000000000000,10348720.000000000000
