代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10668600.000000000000
真實報酬,668600.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,25746.644599303138
風險,82914.182438076023
起點值,0.310521600072
找到最佳解世代,1673
找到最佳解實驗#,1
找到最佳解次數,17

投資組合檔數,3
1101(0)[7],2303(14)[5],2886(37)[1],
Stock#,1101(0)[7],2303(14)[5],2886(37)[1],
張數,131,293,223,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,22963.000000000000,4853.000000000000,12862.999999999534,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3352983.000000000500,3368493.000000000500,3411382.999999999500,10132860.000000000000
FS( 3 ),3338572.999999999500,3298173.000000000000,3373472.999999999500,10010220.000000000000
FS( 4 ),3362152.999999999500,3286453.000000000000,3364552.999999999500,10013160.000000000000
FS( 5 ),3362152.999999999500,3251293.000000000000,3324412.999999999100,9937860.000000000000
FS( 6 ),3396213.000000000000,3321613.000000000000,3348943.000000000000,10066770.000000000000
FS( 7 ),3396213.000000000000,3368493.000000000500,3404693.000000000000,10169400.000000000000
FS( 8 ),3430273.000000000500,3309893.000000000000,3389083.000000000000,10129250.000000000000
FS( 9 ),3487913.000000000000,3391933.000000000000,3411382.999999999500,10291230.000000000000
FS( 10 ),3468263.000000000000,3345053.000000000500,3420302.999999999500,10233620.000000000000
FS( 11 ),3419793.000000000000,3333333.000000000000,3429222.999999999500,10182350.000000000000
FS( 12 ),3487913.000000000000,3321613.000000000000,3460443.000000000000,10269970.000000000000
FS( 13 ),3507563.000000000500,3403652.999999999500,3507272.999999999500,10418490.000000000000
FS( 14 ),3449923.000000000000,3427093.000000000000,3435912.999999999100,10312930.000000000000
FS( 15 ),3419793.000000000000,3532573.000000000000,3556333.000000000000,10508700.000000000000
FS( 16 ),3401453.000000000000,3462253.000000000000,3556333.000000000000,10420040.000000000000
FS( 17 ),3362152.999999999500,3497413.000000000000,3531802.999999999500,10391370.000000000000
FS( 18 ),3342503.000000000000,3509133.000000000000,3571943.000000000000,10423580.000000000000
FS( 19 ),3299273.000000000500,3591173.000000000000,3594242.999999999100,10484690.000000000000
FS( 20 ),3396213.000000000000,3591173.000000000000,3681212.999999999500,10668600.000000000000
