代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10540317.142570000000
真實報酬,540317.142570000140

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,27528.701296880099
風險,45364.143015733476
起點值,0.606838341184
找到最佳解世代,1541
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,7
2002(8)[2],2409(24)[1],2912(40)[14],3045(41)[11],4904(44)[8],8046(47)[30],9999(49)[41],
Stock#,2002(8)[2],2409(24)[1],2912(40)[14],3045(41)[11],4904(44)[8],8046(47)[30],9999(49)[41],
張數,73,57,24,34,58,17,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,1421.000000000000,1861.000000000000,15931.000000000233,33551.000000000000,17431.000000000233,42561.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1423461.000000000000,1433701.000000000200,1453291.000000000500,1452371.000000000000,1428571.000000000000,1384881.000000000000,1428571.000000000000,10004850.000000000000
FS( 3 ),1438791.000000000200,1490701.000000000200,1459051.000000000500,1466990.999999999800,1440171.000000000200,1380631.000000000000,1428571.000000000000,10104910.000000000000
FS( 4 ),1423461.000000000000,1473030.999999999800,1462891.000000000200,1461891.000000000000,1444231.000000000500,1387601.000000000000,1428571.000000000000,10081680.000000000000
FS( 5 ),1433681.000000000000,1465621.000000000000,1464811.000000000000,1464271.000000000000,1445971.000000000200,1380631.000000000000,1428571.000000000000,10083560.000000000000
FS( 6 ),1457771.000000000000,1475881.000000000000,1479931.000000000200,1474131.000000000000,1447711.000000000200,1414801.000000000000,1428571.000000000000,10178800.000000000000
FS( 7 ),1473101.000000000000,1524901.000000000000,1472491.000000000200,1464271.000000000000,1447711.000000000200,1394401.000000000000,1428571.000000000000,10205450.000000000000
FS( 8 ),1473101.000000000000,1542571.000000000000,1472491.000000000200,1502691.000000000000,1441911.000000000200,1402561.000000000000,1428571.000000000000,10263900.000000000000
FS( 9 ),1475291.000000000200,1537441.000000000200,1474411.000000000200,1490791.000000000000,1445971.000000000200,1405281.000000000000,1428571.000000000000,10257760.000000000000
FS( 10 ),1462881.000000000000,1564801.000000000000,1472491.000000000200,1488411.000000000000,1445971.000000000200,1414801.000000000000,1428571.000000000000,10277930.000000000000
FS( 11 ),1467991.000000000000,1567081.000000000000,1478011.000000000200,1493171.000000000000,1450031.000000000200,1448971.000000000000,1428571.000000000000,10333830.000000000000
FS( 12 ),1477481.000000000000,1579621.000000000000,1481851.000000000200,1488411.000000000000,1455831.000000000200,1496741.000000000000,1428571.000000000000,10408510.000000000000
FS( 13 ),1516901.000000000000,1567081.000000000000,1476091.000000000200,1509831.000000000000,1450031.000000000200,1489941.000000000000,1428571.000000000000,10438450.000000000000
FS( 14 ),1507411.000000000000,1549981.000000000200,1472491.000000000200,1476511.000000000000,1451771.000000000200,1503541.000000000000,1428571.000000000000,10390280.000000000000
FS( 15 ),1514711.000000000000,1559671.000000000000,1472491.000000000200,1478891.000000000000,1451771.000000000200,1489941.000000000000,1428571.000000000000,10396050.000000000000
FS( 16 ),1511791.000000000200,1564801.000000000000,1474411.000000000200,1481271.000000000000,1453511.000000000500,1476341.000000000000,1428571.000000000000,10390700.000000000000
FS( 17 ),1514711.000000000000,1557391.000000000000,1479931.000000000200,1481271.000000000000,1453511.000000000500,1489941.000000000000,1428571.000000000000,10405330.000000000000
FS( 18 ),1522011.000000000000,1621231.000000000200,1485691.000000000200,1481271.000000000000,1457571.000000000000,1496741.000000000000,1428571.000000000000,10493090.000000000000
FS( 19 ),1511791.000000000200,1661131.000000000000,1485691.000000000200,1481271.000000000000,1455831.000000000200,1585481.000000000000,1428571.000000000000,10609770.000000000000
FS( 20 ),1475291.000000000200,1626361.000000000000,1457131.000000000000,1469371.000000000000,1444231.000000000500,1585481.000000000000,1428571.000000000000,10486440.000000000000
FS( 21 ),1489891.000000000000,1636051.000000000000,1453291.000000000500,1481271.000000000000,1444231.000000000500,1606051.000000000000,1429528.142569999900,10540317.142570000000
