訓練日期,20150608 - 20150908
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10750810.120000001043081
真實報酬,750810.120000001043081

夏普值報酬,0.066381012000000
夏普值風險,0.030404725900239
夏普值,2.183246519564216

預期報酬,16533.618736347616505
風險,261833.254958578560036
趨勢值,0.063145602872191
找到最佳解世代,2220
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,45302,98000,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.259999999776483,40.000000000000000,
20150608,4980067.120000000111759,4970600.000000000000000,9950667.120000001043081
20150609,4961946.319999999366701,4966680.000000000000000,9928626.320000000298023
20150610,5027634.219999999739230,5063700.000000000000000,10091334.219999998807907
20150611,5041677.839999999850988,5090160.000000000000000,10131837.839999999850988
20150612,5010419.459999999962747,5085260.000000000000000,10095679.460000000894070
20150615,4983691.280000000260770,5064680.000000000000000,10048371.280000001192093
20150616,4993657.719999999739230,5123480.000000000000000,10117137.719999998807907
20150617,5004530.200000000186265,5133280.000000000000000,10137810.199999999254942
20150618,5067046.959999999962747,5194040.000000000000000,10261086.960000000894070
20150619,5093322.120000000111759,5220500.000000000000000,10313822.120000001043081
20150622,5122315.399999999441206,5233240.000000000000000,10355555.399999998509884
20150623,5127298.620000000111759,5252840.000000000000000,10380138.620000001043081
20150624,5089697.959999999962747,5204820.000000000000000,10294517.960000000894070
20150625,5084714.739999999292195,5155820.000000000000000,10240534.739999998360872
20150626,5101023.459999999962747,5376320.000000000000000,10477343.460000000894070
20150629,5007701.339999999850988,5276360.000000000000000,10284061.339999999850988
20150630,5034429.519999999552965,5293020.000000000000000,10327449.519999999552965
20150701,5077013.399999999441206,5362600.000000000000000,10439613.399999998509884
20150702,5050738.239999999292195,5384160.000000000000000,10434898.239999998360872
20150706,5043036.899999999441206,5382200.000000000000000,10425236.899999998509884
20150707,5091963.059999999590218,5453740.000000000000000,10545703.059999998658895
20150708,5028540.259999999776483,5354760.000000000000000,10383300.259999999776483
20150709,5045755.019999999552965,5362600.000000000000000,10408355.019999999552965
20150710,5123674.459999999962747,5415520.000000000000000,10539194.460000000894070
20150713,5205218.059999999590218,5508620.000000000000000,10713838.059999998658895
20150714,5226056.979999999515712,5504700.000000000000000,10730756.980000000447035
20150715,5236023.419999999925494,5483140.000000000000000,10719163.419999999925494
20150716,5197516.719999999739230,5504700.000000000000000,10702216.719999998807907
20150717,5185738.200000000186265,5527240.000000000000000,10712978.199999999254942
20150720,5137718.080000000074506,5543900.000000000000000,10681618.080000000074506
20150721,5158103.979999999515712,5537040.000000000000000,10695143.980000000447035
20150722,5205218.059999999590218,5590940.000000000000000,10796158.059999998658895
20150723,5191174.439999999478459,5586040.000000000000000,10777214.439999999478459
20150724,5145872.439999999478459,5537040.000000000000000,10682912.439999999478459
20150727,5122315.399999999441206,5475300.000000000000000,10597615.399999998509884
20150728,5202499.939999999478459,5560560.000000000000000,10763059.939999999478459
20150729,5271812.000000000000000,5631120.000000000000000,10902932.000000000000000
20150730,5275889.179999999701977,5636020.000000000000000,10911909.179999999701977
20150731,5301711.319999999366701,5645820.000000000000000,10947531.320000000298023
20150803,5295369.040000000037253,5627200.000000000000000,10922569.039999999105930
20150804,5324362.319999999366701,5673260.000000000000000,10997622.320000000298023
20150805,5345654.259999999776483,5721280.000000000000000,11066934.259999999776483
20150806,5280419.379999999888241,5640920.000000000000000,10921339.379999998956919
20150807,5297181.120000000111759,5611520.000000000000000,10908701.120000001043081
20150810,5327533.459999999962747,5652680.000000000000000,10980213.460000000894070
20150811,5331610.639999999664724,5608580.000000000000000,10940190.640000000596046
20150812,5331610.639999999664724,5539980.000000000000000,10871590.640000000596046
20150813,5391862.299999999813735,5566440.000000000000000,10958302.300000000745058
20150814,5424932.759999999776483,5603680.000000000000000,11028612.759999999776483
20150817,5422667.660000000149012,5634060.000000000000000,11056727.660000000149012
20150818,5563103.859999999403954,5626220.000000000000000,11189323.859999999403954
20150819,5561291.780000000260770,5633080.000000000000000,11194371.780000001192093
20150820,5460721.339999999850988,5502740.000000000000000,10963461.339999999850988
20150821,5262298.580000000074506,5237160.000000000000000,10499458.580000000074506
20150824,5098305.339999999850988,5090160.000000000000000,10188465.339999999850988
20150825,5027181.200000000186265,5073500.000000000000000,10100681.199999999254942
20150826,5251879.120000000111759,5329280.000000000000000,10581159.120000001043081
20150827,5330251.580000000074506,5518420.000000000000000,10848671.580000000074506
20150828,5323909.299999999813735,5512540.000000000000000,10836449.300000000745058
20150831,5275889.179999999701977,5476280.000000000000000,10752169.179999999701977
20150901,5122315.399999999441206,5323400.000000000000000,10445715.399999998509884
20150902,5276795.219999999739230,5424340.000000000000000,10701135.219999998807907
20150903,5282231.459999999962747,5432180.000000000000000,10714411.460000000894070
20150904,5183473.099999999627471,5375340.000000000000000,10558813.099999999627471
20150908,5274530.120000000111759,5476280.000000000000000,10750810.120000001043081
