訓練日期,20100507 - 20100809
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10890609.320000000298023
真實報酬,890609.320000000298023

夏普值報酬,0.080360932000000
夏普值風險,0.026967206186861
夏普值,2.979950219654308

預期報酬,9237.231508674522047
風險,205075.708452832011972
趨勢值,0.045043031075517
找到最佳解世代,1918
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),IBM[10](1),MRK[17](5),UNH[23](4),VZ[26](2),
Stock#,AAPL[0](3),IBM[10](1),MRK[17](5),UNH[23](4),VZ[26](2),
張數,56850,16139,58360,68399,76365,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.000000000000000,55.119999999878928,2.799999999813735,13.239999999990687,0.649999999906868,
20100507,1915293.499999999767169,1970627.019999999785796,1954479.199999999953434,1984952.219999999972060,2012982.049999999813735,9838333.989999998360872
20100510,2062535.000000000000000,2037926.649999999906868,1998832.799999999813735,2043775.359999999869615,2042764.399999999906868,10185834.209999999031425
20100511,2083569.500000000000000,2047932.829999999841675,1955646.399999999674037,2041723.390000000130385,2027491.399999999906868,10156363.519999999552965
20100512,2128481.000000000000000,2141377.639999999664724,1963233.199999999953434,2073870.919999999925494,2048873.599999999860302,10355836.359999999403954
20100513,2098350.500000000000000,2122010.839999999850988,1943974.399999999906868,2064295.060000000055879,2048109.949999999953434,10276740.750000000000000
20100514,2061398.000000000000000,2117330.530000000260770,1918879.599999999860302,2078658.850000000093132,2035891.549999999813735,10212158.530000001192093
20100517,2064809.000000000000000,2105226.280000000260770,1913043.599999999860302,2082078.800000000046566,2046582.649999999906868,10211740.330000000074506
20100518,2049459.499999999767169,2097318.169999999925494,1887948.799999999813735,2064295.060000000055879,2029018.699999999953434,10128040.229999998584390
20100519,2017054.999999999767169,2079726.660000000149012,1903705.999999999767169,2051299.250000000000000,2035891.549999999813735,10087678.460000000894070
20100520,1931211.500000000000000,1998063.319999999832362,1857017.999999999767169,1980848.280000000027940,1981672.399999999906868,9748813.500000000000000
20100521,1968163.999999999767169,2024208.500000000000000,1869857.199999999720603,1963064.540000000037253,1996181.750000000000000,9821475.989999998360872
20100524,2003979.500000000000000,2008553.669999999925494,1859352.399999999674037,1971956.409999999916181,1962581.149999999906868,9806423.129999998956919
20100525,1991472.500000000000000,2009683.399999999906868,1871024.399999999906868,1974692.370000000111759,1956471.949999999953434,9803344.619999999180436
20100526,1982376.499999999767169,1988864.089999999850988,1892034.000000000000000,1969220.449999999953434,1922871.349999999860302,9755366.390000000596046
20100527,2057418.499999999767169,2039863.329999999841675,1962065.999999999767169,2005471.919999999925494,1969453.999999999767169,10034273.749999998137355
20100528,2086412.000000000232831,2021626.260000000009313,1966151.199999999720603,1988372.169999999925494,1964872.099999999860302,10027433.730000000447035
20100601,2118248.000000000000000,2006778.379999999888241,1956813.599999999860302,1982216.260000000009313,1942726.250000000000000,10006782.489999998360872
20100602,2143830.500000000000000,2056325.109999999869615,2005252.399999999674037,2045827.330000000074506,1969453.999999999767169,10220689.339999997988343
20100603,2137008.500000000000000,2065201.559999999823049,2001167.199999999720603,2083446.780000000027940,1973272.250000000000000,10260096.289999999105930
20100604,2079021.500000000000000,2021949.039999999804422,1935804.000000000000000,2075238.899999999906868,1942726.250000000000000,10054739.689999999478459
20100607,2038089.500000000000000,2003389.189999999711290,1943974.399999999906868,2083446.780000000027940,1933562.449999999953434,10002462.320000000298023
20100608,2025013.999999999767169,1996772.199999999953434,1973154.399999999906868,2112858.349999999627471,1976326.849999999860302,10084125.799999998882413
20100609,1974986.000000000000000,1999677.219999999972060,1967318.399999999906868,2088234.709999999962747,1983199.699999999720603,10013416.029999999329448
20100610,2034678.500000000000000,2060682.639999999897555,2022176.799999999813735,2099862.540000000037253,2023673.149999999906868,10241073.629999998956919
20100611,2059124.000000000000000,2073109.669999999692664,2034432.399999999674037,2097810.570000000298023,2038946.149999999906868,10303422.789999999105930
20100614,2065377.500000000000000,2073916.619999999878928,2043770.000000000000000,2092338.649999999906868,2044291.699999999953434,10319694.469999998807907
20100615,2109152.000000000000000,2094735.929999999701977,2102130.000000000000000,2133378.049999999813735,2078655.949999999720603,10518051.929999999701977
20100616,2170550.000000000000000,2103773.769999999552965,2101546.399999999906868,2147057.849999999627471,2083237.850000000093132,10606165.869999999180436
20100617,2208071.000000000000000,2113941.339999999850988,2092792.399999999674037,2154581.740000000223517,2077128.649999999906868,10646515.130000000819564
20100618,2225694.500000000000000,2100545.969999999739230,2081704.000000000000000,2142953.910000000149012,2079419.599999999860302,10630317.979999998584390
20100621,2194427.000000000000000,2108615.469999999739230,2049605.999999999767169,2130642.089999999850988,2074837.699999999953434,10558128.259999997913837
20100622,2223989.000000000000000,2086827.820000000065193,2050189.599999999860302,2095758.600000000093132,2074837.699999999953434,10531602.719999998807907
20100623,2200680.500000000000000,2099900.410000000149012,2067114.000000000000000,2066347.030000000027940,2093928.949999999953434,10527970.889999998733401
20100624,2184762.500000000000000,2068913.529999999795109,2078202.399999999674037,2035567.479999999981374,2067964.849999999860302,10435410.759999997913837
20100625,2166002.000000000000000,2051644.800000000046566,2096877.599999999860302,2043775.359999999869615,2038182.500000000000000,10396482.259999999776483
20100628,2179077.500000000000000,2081663.339999999618158,2097461.199999999720603,1996580.050000000046566,2049637.250000000000000,10404419.339999999850988
20100629,2080727.000000000000000,2018882.629999999888241,2067697.599999999860302,1958276.609999999869615,2043528.050000000046566,10169111.890000000596046
20100630,2042637.500000000000000,1992898.839999999850988,2040851.999999999767169,1942544.839999999850988,2000763.649999999906868,10019696.830000000074506
20100701,2018192.000000000000000,1978212.349999999860302,2009921.199999999720603,1904925.390000000130385,2008400.149999999906868,9919651.089999999850988
20100702,2005685.000000000000000,1966753.659999999916181,1997081.999999999767169,1935704.939999999944121,2047346.299999999813735,9952571.899999998509884
20100706,2019329.000000000232831,1992576.059999999823049,2022176.799999999813735,1976060.350000000093132,2032073.299999999813735,10042215.509999997913837
20100707,2100624.500000000000000,2049708.119999999878928,2067697.599999999860302,1997264.040000000037253,2025200.449999999953434,10240494.709999999031425
20100708,2096076.499999999767169,2065362.949999999953434,2092792.399999999674037,2030095.560000000055879,2045055.350000000093132,10329382.759999999776483
20100709,2108583.500000000000000,2065201.559999999823049,2118470.799999999813735,2049931.270000000018626,2035127.899999999906868,10377315.029999999329448
20100712,2089823.000000000000000,2076660.249999999767169,2106215.200000000186265,2054719.199999999953434,2022909.499999999767169,10350327.150000000372529
20100713,2044911.500000000000000,2105871.839999999850988,2127224.799999999813735,2061559.100000000093132,2053455.500000000000000,10393022.740000000223517
20100714,2052302.000000000000000,2109745.200000000186265,2112634.799999999813735,2073870.919999999925494,2049637.250000000000000,10398190.169999999925494
20100715,2042069.000000000000000,2109745.200000000186265,2129559.199999999720603,2112174.360000000335276,2046582.649999999906868,10440130.410000002011657
20100716,2029562.000000000232831,2066331.289999999804422,2095710.399999999674037,2075238.899999999906868,2038182.500000000000000,10305025.089999999850988
20100719,1994315.000000000000000,2094735.929999999701977,2089290.799999999580905,2108070.419999999925494,2040473.449999999720603,10326885.599999999627471
20100720,2045479.999999999767169,2042445.569999999832362,2081120.399999999674037,2108754.410000000149012,2036655.199999999953434,10314455.579999998211861
20100721,2064809.000000000000000,2021787.649999999906868,2053691.199999999720603,2099862.540000000037253,2025200.449999999953434,10265350.839999999850988
20100722,2103467.000000000000000,2057293.449999999953434,2053107.599999999860302,2120382.240000000223517,2061855.649999999906868,10396105.939999999478459
20100723,2110857.500000000000000,2071979.939999999711290,2035015.999999999767169,2114910.320000000298023,2139747.949999999720603,10472511.709999999031425
20100726,2105741.000000000000000,2072464.109999999869615,2058360.000000000000000,2152529.769999999552965,2159602.850000000093132,10548697.729999998584390
20100727,2144967.500000000000000,2076014.689999999711290,2053107.599999999860302,2105334.459999999962747,2183276.000000000000000,10562700.250000000000000
20100728,2119385.000000000000000,2072786.889999999897555,2027429.199999999953434,2074554.909999999916181,2207712.799999999813735,10501868.800000000745058
20100729,2096076.499999999767169,2066169.900000000139698,2046104.399999999906868,2082078.800000000046566,2205421.849999999627471,10495851.449999999254942
20100730,2089254.500000000000000,2072302.719999999972060,2011088.399999999906868,2082762.790000000037253,2219167.549999999813735,10474575.959999999031425
20100802,2126775.500000000000000,2110390.759999999776483,2046687.999999999767169,2150477.799999999813735,2257350.049999999813735,10691682.109999999403954
20100803,2127344.000000000000000,2104096.549999999813735,2032097.999999999767169,2217508.820000000298023,2255822.750000000000000,10736870.120000001043081
20100804,2135871.500000000000000,2118621.650000000372529,2053691.199999999720603,2251024.330000000074506,2245131.649999999906868,10804340.330000000074506
20100805,2125638.500000000000000,2127659.490000000223517,2046687.999999999767169,2285907.820000000298023,2256586.399999999906868,10842480.210000000894070
20100806,2112563.000000000000000,2100384.580000000074506,2041435.599999999627471,2287959.790000000037253,2256586.399999999906868,10798929.369999999180436
20100809,2125638.500000000000000,2130403.120000000111759,2063612.399999999674037,2290695.750000000000000,2280259.549999999813735,10890609.320000000298023
