訓練日期,20140103 - 20140407
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11020704.769999999552965
真實報酬,1020704.769999999552965

夏普值報酬,0.093370477000000
夏普值風險,0.035317405197443
夏普值,2.643752463636788

預期報酬,18787.410263812518679
風險,114540.368521553100436
趨勢值,0.164024356707716
找到最佳解世代,2992
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](3),JNJ[12](8),MRK[17](2),
Stock#,CAT[3](1),DD[7](3),JNJ[12](8),MRK[17](2),
張數,27817,40019,27463,50515,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,86.209999999962747,13.069999999832362,43.109999999869615,12.649999999906868,
20140103,2498609.149999999906868,2488794.679999999701977,2522519.659999999683350,2512123.599999999627471,10022047.089999999850988
20140106,2465785.089999999850988,2484392.589999999850988,2535701.899999999906868,2512628.750000000000000,9998508.330000000074506
20140107,2473852.020000000018626,2456779.479999999981374,2589529.379999999888241,2531319.299999999813735,10051480.179999999701977
20140108,2479693.589999999850988,2459580.810000000055879,2585959.189999999944121,2515154.500000000000000,10040388.089999999850988
20140109,2495549.279999999795109,2427965.799999999813735,2601613.100000000093132,2501515.450000000186265,10026643.629999998956919
20140110,2517802.879999999888241,2433968.649999999906868,2601887.729999999515712,2519700.850000000093132,10073360.109999999403954
20140113,2500556.339999999850988,2387546.609999999869615,2595296.609999999869615,2683369.449999999720603,10166769.009999997913837
20140114,2519193.729999999981374,2430767.129999999888241,2601338.469999999739230,2677307.649999999906868,10228606.979999998584390
20140115,2570655.179999999701977,2453577.959999999962747,2603535.509999999776483,2653060.450000000186265,10280829.099999999627471
20140116,2559528.379999999888241,2455578.909999999683350,2599141.429999999701977,2652050.149999999906868,10266298.869999999180436
20140117,2543672.689999999944121,2454778.529999999795109,2610675.890000000130385,2624266.899999999906868,10233394.009999999776483
20140121,2520306.409999999683350,2617655.859999999869615,2582389.000000000000000,2618205.099999999627471,10338556.369999999180436
20140122,2493602.089999999850988,2603249.019999999552965,2590353.269999999552965,2593957.899999999906868,10281162.279999999329448
20140123,2461334.370000000111759,2548823.179999999701977,2546961.729999999515712,2606586.649999999906868,10163705.929999999701977
20140124,2397077.100000000093132,2473987.649999999906868,2488465.540000000037253,2625782.349999999627471,9985312.640000000596046
20140127,2539500.140000000130385,2456379.290000000037253,2470065.329999999608845,2653565.600000000093132,10119510.359999999403954
20140128,2572324.199999999720603,2453978.149999999906868,2474459.409999999683350,2670740.699999999720603,10171502.459999999031425
20140129,2520862.750000000000000,2549223.370000000111759,2441503.810000000055879,2637400.799999999813735,10148990.730000000447035
20140130,2592630.609999999869615,2582439.139999999664724,2457981.609999999869615,2703070.299999999813735,10336121.660000000149012
20140131,2612380.679999999701977,2593644.459999999962747,2429694.719999999739230,2675792.199999999720603,10311512.059999998658895
20140203,2570933.350000000093132,2546822.229999999981374,2383282.250000000000000,2630833.849999999627471,10131871.679999999701977
20140204,2573158.709999999962747,2562429.639999999664724,2378888.169999999925494,2703070.299999999813735,10217546.820000000298023
20140205,2558137.529999999795109,2556026.599999999627471,2397013.750000000000000,2704080.600000000093132,10215258.479999998584390
20140206,2610155.319999999832362,2598046.549999999813735,2437384.359999999869615,2716204.200000000186265,10361790.429999999701977
20140207,2639085.000000000000000,2598846.929999999701977,2472811.629999999888241,2766719.200000000186265,10477462.759999999776483
20140210,2628792.709999999962747,2612453.389999999664724,2501098.519999999552965,2772781.000000000000000,10515125.619999999180436
20140211,2641588.529999999795109,2669280.370000000111759,2553278.219999999739230,2813698.149999999906868,10677845.269999999552965
20140212,2675247.100000000093132,2642867.830000000074506,2538173.569999999832362,2778337.649999999906868,10634626.150000000372529
20140213,2673578.080000000074506,2638865.929999999701977,2542018.390000000130385,2783389.149999999906868,10637851.550000000745058
20140214,2685817.560000000055879,2662076.949999999720603,2547510.990000000223517,2800564.250000000000000,10695969.750000000000000
20140218,2686095.729999999981374,2666078.850000000093132,2531307.819999999832362,2813193.000000000000000,10696675.400000000372529
20140219,2676359.779999999795109,2646469.539999999571592,2516752.429999999701977,2780358.250000000000000,10619940.000000000000000
20140220,2696109.850000000093132,2686488.539999999571592,2537075.049999999813735,2819254.799999999813735,10738928.239999998360872
20140221,2712243.709999999962747,2676483.789999999571592,2513456.869999999646097,2830368.100000000093132,10732552.469999998807907
20140224,2707236.649999999906868,2675683.409999999683350,2502197.040000000037253,2837945.350000000093132,10723062.449999999254942
20140225,2681923.179999999701977,2691290.819999999832362,2502197.040000000037253,2824306.299999999813735,10699717.339999999850988
20140226,2703898.609999999869615,2725707.159999999683350,2502197.040000000037253,2842491.700000000186265,10774294.509999999776483
20140227,2689990.109999999869615,2764525.589999999850988,2509062.790000000037253,2862192.549999999813735,10825771.039999999105930
20140228,2697500.699999999720603,2776131.100000000093132,2529934.669999999925494,2878862.500000000000000,10882428.969999998807907
20140303,2679141.479999999981374,2760523.689999999944121,2514555.390000000130385,2850068.950000000186265,10804289.510000001639128
20140304,2698891.549999999813735,2818951.429999999701977,2563439.529999999795109,2882398.549999999813735,10963681.059999998658895
20140305,2680810.500000000000000,2844563.589999999850988,2542842.279999999795109,2873305.850000000093132,10941522.219999998807907
20140306,2715025.409999999683350,2836959.979999999981374,2551081.179999999701977,2892501.549999999813735,10995568.119999999180436
20140307,2699726.060000000055879,2821752.760000000242144,2562890.269999999552965,2903109.699999999720603,10987478.789999999105930
20140310,2691380.959999999962747,2839761.309999999590218,2566460.459999999962747,2895532.449999999720603,10993135.179999999701977
20140311,2693884.490000000223517,2807345.919999999925494,2567558.979999999515712,2863708.000000000000000,10932497.390000000596046
20140312,2693328.149999999906868,2794139.649999999441206,2570579.909999999683350,2869769.799999999813735,10927817.509999997913837
20140313,2659669.580000000074506,2777731.859999999869615,2554102.109999999869615,2818244.500000000000000,10809748.049999998882413
20140314,2653549.839999999850988,2772529.389999999664724,2548884.140000000130385,2813698.149999999906868,10788661.519999999552965
20140317,2661338.600000000093132,2792538.889999999664724,2579642.700000000186265,2841986.549999999813735,10875506.740000000223517
20140318,2681923.179999999701977,2830556.939999999944121,2579917.329999999608845,2847038.049999999813735,10939435.500000000000000
20140319,2671630.890000000130385,2827355.419999999925494,2570305.279999999795109,2828347.500000000000000,10897639.089999999850988
20140320,2676359.779999999795109,2863372.519999999552965,2584860.669999999925494,2808141.500000000000000,10932734.469999998807907
20140321,2709183.839999999850988,2861371.569999999832362,2634568.700000000186265,2761162.549999999813735,10966286.660000000149012
20140324,2694162.659999999683350,2858570.240000000223517,2614520.709999999962747,2716709.350000000093132,10883962.960000000894070
20140325,2742564.240000000223517,2886183.350000000093132,2674390.049999999813735,2787935.500000000000000,11091073.140000000596046
20140326,2720588.810000000055879,2816950.479999999981374,2665327.259999999776483,2829862.950000000186265,11032729.500000000000000
20140327,2738669.859999999869615,2734911.529999999795109,2671643.750000000000000,2815213.599999999627471,10960438.739999998360872
20140328,2764817.839999999850988,2746917.229999999981374,2676037.829999999608845,2827842.349999999627471,11015615.250000000000000
20140331,2764261.500000000000000,2769327.870000000111759,2697733.600000000093132,2867749.200000000186265,11099072.170000001788139
20140401,2776500.979999999981374,2832958.080000000074506,2689769.329999999608845,2847543.199999999720603,11146771.589999999850988
20140402,2854944.919999999925494,2843763.209999999962747,2697733.600000000093132,2852089.549999999813735,11248531.280000001192093
20140403,2852719.560000000055879,2824554.089999999850988,2698557.490000000223517,2839460.799999999813735,11215291.940000001341105
20140404,2842149.100000000093132,2774930.529999999795109,2702951.569999999832362,2834914.449999999720603,11154945.649999998509884
20140407,2812663.080000000074506,2731710.010000000242144,2688396.179999999701977,2787935.500000000000000,11020704.769999999552965
