訓練日期,20140430 - 20140731
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10923815.080000000074506
真實報酬,923815.080000000074506

夏普值報酬,0.083681508000000
夏普值風險,0.032716096866502
夏普值,2.557808418940142

預期報酬,18190.782282496125845
風險,55768.589860680382117
趨勢值,0.326183292924204
找到最佳解世代,3107
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,6
CSCO[4](3),DIS[6](4),INTC[11](7),JNJ[12](16),MMM[16](9),VZ[26](6),
Stock#,CSCO[4](3),DIS[6](4),INTC[11](7),JNJ[12](16),MMM[16](9),VZ[26](6),
張數,71963,21193,62940,16496,12116,35635,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,2.919999999925494,48.479999999981374,14.800000000046566,75.119999999878928,110.199999999953434,17.049999999813735,
20140430,1663067.849999999860302,1681501.100000000093132,1679883.400000000139698,1670954.959999999962747,1685324.639999999897555,1665240.599999999627471,10045976.550000000745058
20140501,1655871.550000000046566,1686163.560000000055879,1664777.800000000046566,1658418.000000000000000,1706164.159999999916181,1682701.749999999767169,10054100.820000000298023
20140502,1650834.140000000130385,1702058.310000000055879,1662260.199999999953434,1638292.879999999888241,1697804.120000000111759,1679138.249999999767169,10030391.900000000372529
20140505,1652273.399999999906868,1721343.939999999944121,1647154.600000000093132,1649675.119999999878928,1703740.960000000195578,1688759.699999999720603,10062951.719999998807907
20140506,1635002.279999999795109,1717317.270000000018626,1649042.800000000046566,1641592.080000000074506,1687747.839999999850988,1691610.499999999767169,10022316.769999999552965
20140507,1645796.729999999981374,1701634.450000000186265,1659742.600000000093132,1664686.479999999748543,1710162.439999999711290,1714060.549999999813735,10096087.250000000000000
20140508,1656591.179999999934807,1729397.279999999795109,1657854.400000000139698,1657923.119999999878928,1706406.480000000214204,1727958.199999999953434,10136134.660000000149012
20140509,1656591.179999999934807,1736814.830000000074506,1655336.800000000046566,1664686.479999999748543,1712585.639999999897555,1727601.849999999627471,10153620.779999999329448
20140512,1668824.890000000130385,1746775.540000000037253,1659742.600000000093132,1658253.039999999804422,1730517.319999999832362,1716198.649999999674037,10180316.040000000968575
20140513,1645077.099999999860302,1739569.919999999925494,1664777.800000000046566,1666501.039999999804422,1725792.080000000074506,1705151.799999999813735,10146873.739999998360872
20140514,1641478.949999999720603,1714986.040000000037253,1657225.000000000000000,1664026.639999999897555,1715735.799999999813735,1710853.399999999674037,10104309.830000000074506
20140515,1740068.260000000009313,1698667.430000000167638,1637084.200000000186265,1661057.359999999869615,1708223.879999999888241,1709071.649999999906868,10154176.779999999329448
20140516,1753741.229999999981374,1703753.750000000000000,1625125.600000000093132,1659242.799999999813735,1710041.279999999795109,1748626.499999999767169,10200535.160000000149012
20140519,1752301.969999999972060,1717741.129999999888241,1638972.399999999906868,1660232.559999999823049,1716583.919999999692664,1751477.299999999813735,10237313.279999997466803
20140520,1735750.479999999981374,1718588.850000000093132,1638972.399999999906868,1653799.119999999878928,1699136.879999999888241,1733659.799999999813735,10179911.530000001192093
20140521,1761657.159999999916181,1741901.149999999906868,1649042.800000000046566,1668480.559999999823049,1704346.760000000009313,1752189.999999999767169,10277622.429999999701977
20140522,1754460.859999999869615,1745292.029999999795109,1645895.800000000046566,1665511.279999999795109,1700106.159999999916181,1762167.799999999813735,10273437.929999999701977
20140523,1764535.679999999934807,1765849.239999999757856,1654707.399999999906868,1665841.199999999953434,1710162.439999999711290,1772501.949999999953434,10333601.910000000149012
20140527,1778208.649999999906868,1774750.299999999813735,1681142.200000000186265,1663036.879999999888241,1713797.239999999990687,1768225.749999999767169,10379165.019999999552965
20140528,1786124.579999999841675,1771783.279999999795109,1691842.000000000000000,1654623.919999999925494,1713676.080000000074506,1772501.949999999953434,10390555.809999998658895
20140529,1776049.760000000009313,1780896.270000000018626,1696877.200000000186265,1662212.080000000074506,1725307.439999999711290,1771789.249999999767169,10413136.000000000000000
20140530,1771731.979999999981374,1780472.410000000149012,1719535.600000000093132,1673759.279999999795109,1727246.000000000000000,1780341.649999999906868,10453090.919999999925494
20140602,1783246.060000000055879,1785982.589999999850988,1715759.200000000186265,1685471.439999999944121,1724459.319999999832362,1783548.799999999813735,10478471.410000000149012
20140603,1776049.760000000009313,1777717.319999999832362,1740935.199999999953434,1690255.279999999795109,1731365.439999999711290,1756466.199999999720603,10472793.199999999254942
20140604,1763096.419999999925494,1785346.799999999813735,1737158.800000000046566,1693884.399999999906868,1723732.359999999869615,1751477.299999999813735,10454700.079999998211861
20140605,1777489.019999999785796,1796791.020000000018626,1740935.199999999953434,1702792.239999999757856,1741300.560000000055879,1756109.849999999860302,10515421.890000000596046
20140606,1786844.209999999729916,1793188.209999999962747,1773034.600000000093132,1702132.399999999906868,1752568.439999999711290,1761098.749999999767169,10568870.609999999403954
