訓練日期,20171107 - 20180209
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11830952.099999999627471
真實報酬,1830952.099999999627471

夏普值報酬,0.174395210000000
夏普值風險,0.065015659972803
夏普值,2.682356990192106

預期報酬,37822.801729034326854
風險,218517.674522964574862
趨勢值,0.173088066270170
找到最佳解世代,2148
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),NKE[19](2),WMT[28](5),
Stock#,BA[2](3),NKE[19](2),WMT[28](5),
張數,12622,59481,37579,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,241.459999999962747,17.760000000242144,75.699999999720603,
20171107,3359334.319999999832362,3280394.910000000149012,3342727.750000000000000,9982457.980000000447035
20171108,3352266.000000000000000,3316678.320000000298023,3391956.239999999757856,10060901.560000000521541
20171109,3316040.859999999869615,3338686.290000000502914,3393459.399999999441206,10048187.550000000745058
20171110,3292690.160000000149012,3336307.050000000279397,3416758.379999999888241,10045756.589999999850988
20171113,3312506.700000000186265,3325600.470000000204891,3419388.909999999683350,10057497.080000000074506
20171114,3304176.179999999701977,3329764.140000000130385,3423146.810000000055879,10057088.130000000819564
20171115,3318060.380000000353903,3368426.790000000502914,3375797.269999999552965,10062285.440000001341105
20171116,3328662.859999999869615,3404115.390000000130385,3743695.679999999701977,10476474.929999999701977
20171117,3310487.179999999701977,3520698.149999999906868,3662900.829999999608845,10494087.160000000149012
20171120,3340401.319999999832362,3524267.010000000242144,3663276.619999999646097,10527945.949999999254942
20171121,3370189.240000000223517,3532594.350000000093132,3627200.779999999795109,10529985.369999999180436
20171122,3346964.759999999776483,3513560.430000000167638,3623067.089999999385327,10483593.279999999329448
20171124,3356178.819999999832362,3528430.680000000167638,3630958.679999999701977,10515569.179999999701977
20171127,3352392.219999999739230,3546869.790000000502914,3630958.679999999701977,10530221.689999999478459
20171128,3382811.240000000223517,3543895.740000000223517,3636595.529999999795109,10563303.509999999776483
20171129,3399346.060000000055879,3590290.920000000391155,3666282.939999999944121,10655920.919999999925494
20171130,3494011.060000000055879,3593859.780000000260770,3653881.869999999646097,10741753.709999999031425
20171201,3425599.819999999832362,3561740.040000000502914,3658391.349999999627471,10645732.210000000894070
20171204,3508778.800000000279397,3574825.860000000335276,3645614.489999999757856,10729220.150000000372529
20171205,3478107.340000000316650,3593859.780000000260770,3676429.269999999552965,10748397.390000000596046
20171206,3512565.399999999906868,3552223.080000000074506,3655760.819999999832362,10720550.300000000745058
20171207,3559266.800000000279397,3604566.360000000335276,3636971.319999999832362,10800805.480000000447035
20171208,3608871.259999999776483,3646203.060000000055879,3628328.149999999441206,10883403.469999998807907
20171211,3574286.980000000447035,3682486.470000000204891,3642608.169999999925494,10899382.620000001043081
20171212,3659864.140000000130385,3697951.530000000260770,3633965.000000000000000,10991781.669999999925494
20171213,3683845.939999999478459,3824646.060000000055879,3673798.739999999757856,11182291.740000000223517
20171214,3709594.819999999832362,3838326.690000000409782,3650123.969999999739230,11198046.480000000447035
20171215,3710352.140000000130385,3853791.750000000465661,3649372.389999999664724,11213517.280000001192093
20171218,3738120.539999999571592,3854981.370000000577420,3679059.799999999813735,11272162.710000000894070
20171219,3752130.959999999962747,3821077.199999999720603,3712880.899999999441206,11286090.059999998658895
20171220,3760335.259999999776483,3782414.550000000279397,3711001.949999999720603,11253752.759999999776483
20171221,3724110.119999999646097,3852602.129999999888241,3685072.439999999944121,11261785.689999999478459
20171222,3724993.660000000149012,3764570.250000000000000,3690709.289999999571592,11180274.199999999254942
20171226,3728275.380000000353903,3785983.410000000149012,3726409.339999999385327,11240669.130000000819564
20171227,3731557.100000000093132,3744346.710000000428408,3730167.239999999757856,11206072.050000000745058
20171228,3740771.160000000149012,3744346.710000000428408,3735428.299999999813735,11220547.170000001788139
20171229,3722595.480000000447035,3720554.310000000055879,3711001.949999999720603,11154152.740000000223517
20180102,3746955.939999999478459,3776466.450000000186265,3704989.310000000055879,11228412.699999999254942
20180103,3759073.060000000055879,3775871.640000000130385,3737307.250000000000000,11272252.949999999254942
20180104,3744810.200000000186265,3773492.399999999906868,3740689.359999999869615,11258992.959999999031425
20180105,3898419.939999999478459,3805612.140000000130385,3762860.969999999739230,11466894.050000000745058
20180108,3914954.759999999776483,3839516.310000000055879,3818477.889999999664724,11572949.960000000894070
20180109,4019464.919999999925494,3812155.050000000279397,3772631.509999999776483,11604252.480000000447035
20180110,4042563.179999999701977,3819887.580000000074506,3745574.629999999888241,11608026.390000000596046
20180111,4141772.100000000093132,3824051.250000000465661,3758727.279999999795109,11724551.630000000819564
20180112,4243884.080000000074506,3846654.030000000260770,3790669.429999999701977,11881208.539999999105930
20180116,4230630.980000000447035,3772302.780000000260770,3783905.209999999497086,11786839.970000000670552
20180117,4430689.679999999701977,3795500.370000000577420,3859439.000000000000000,12085630.050000000745058
20180118,4293740.980000000447035,3813344.670000000391155,3919565.399999999441206,12026652.050000000745058
20180119,4263069.520000000484288,3997735.770000000018626,3930463.310000000055879,12191269.600000001490116
20180122,4266477.459999999962747,3948961.350000000093132,3962781.250000000000000,12178221.060000000521541
20180123,4236058.439999999478459,3993572.100000000093132,3979691.799999999813735,12209323.339999999850988
20180124,4224698.639999999664724,4044725.760000000242144,3975558.109999999869615,12244983.509999999776483
20180125,4330975.879999999888241,4027476.270000000018626,4005997.099999999627471,12364450.250000000000000
20180126,4332364.300000000745058,4047105.000000000465661,4073263.509999999776483,12452733.810000000521541
20180129,4302071.500000000000000,4019743.740000000223517,4116855.149999999441206,12438671.390000000596046
20180130,4262817.080000000074506,4004873.490000000223517,4048461.369999999646097,12316152.939999999478459
20180131,4473099.599999999627471,4057811.580000000074506,4005997.099999999627471,12536909.279999999329448
20180201,4505538.139999999664724,4023907.410000000614673,3965411.779999999795109,12494858.330000000074506
20180202,4404183.480000000447035,3998330.580000000074506,3926329.619999999646097,12328844.679999999701977
20180205,4151364.819999999832362,3829999.350000000093132,3761357.810000000055879,11742722.980000000447035
20180206,4303207.480000000447035,3879368.580000000074506,3791796.799999999813735,11974373.859999999403954
20180207,4394212.099999999627471,3903755.790000000037253,3865075.849999999627471,12163044.739999998360872
20180208,4161209.980000000447035,3716985.450000000186265,3758727.279999999795109,11636923.710000000894070
20180209,4201221.719999999739230,3895428.449999999720603,3734300.929999999701977,11830952.099999999627471
