訓練日期,20120724 - 20121023
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11551268.830000000074506
真實報酬,1551268.830000000074506

夏普值報酬,0.146426883000000
夏普值風險,0.047464974788686
夏普值,3.084945976520395

預期報酬,26398.065755725183408
風險,88908.144483292329824
趨勢值,0.296913920644086
找到最佳解世代,2371
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](4),HD[9](1),PFE[20](9),TRV[22](3),UNH[23](25),
Stock#,GS[8](4),HD[9](1),PFE[20](9),TRV[22](3),UNH[23](25),
張數,21468,39246,84745,32393,36690,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,41.120000000111759,23.839999999850988,17.999999999767169,56.179999999934807,28.100000000093132,
20120724,2028123.080000000074506,2008241.659999999916181,1981356.099999999627471,1972465.949999999953434,2014309.100000000093132,10004495.890000000596046
20120725,2060110.399999999906868,2004317.059999999823049,1977118.849999999627471,1975381.319999999832362,1925519.300000000046566,9942446.929999999701977
20120726,2105193.200000000186265,2076529.699999999720603,1990678.049999999580905,1995788.909999999916181,1908275.000000000000000,10076464.859999999403954
20120727,2182048.640000000130385,2107926.500000000000000,2019491.349999999627471,2031745.139999999897555,1957072.700000000186265,10298284.330000000074506
20120730,2165732.959999999962747,2089873.339999999850988,2009321.949999999953434,2047617.709999999962747,1954137.500000000000000,10266683.460000000894070
20120731,2166162.320000000298023,2047880.119999999878928,2037287.799999999580905,2029477.629999999888241,1874520.200000000186265,10155328.070000000298023
20120801,2148773.240000000223517,2028257.119999999878928,2028813.299999999813735,2052152.729999999981374,1878923.000000000232831,10136919.390000000596046
20120802,2099826.200000000186265,2016875.779999999795109,2027118.399999999906868,2036604.089999999850988,1874887.100000000093132,10055311.570000000298023
20120803,2167879.760000000242144,2052197.179999999701977,2057626.599999999860302,2063814.209999999962747,1893599.000000000000000,10235116.750000000000000
20120806,2190206.479999999981374,2040815.839999999850988,2055931.699999999953434,2057659.540000000037253,1871218.100000000093132,10215831.660000000149012
20120807,2216397.439999999944121,2056514.239999999757856,2011864.299999999580905,2052800.589999999850988,1927720.699999999953434,10265297.269999999552965
20120808,2200511.120000000111759,2071820.179999999701977,2019491.349999999627471,2067053.510000000009313,1934691.800000000046566,10293567.959999999031425
20120809,2224125.919999999925494,2085948.739999999757856,2022881.149999999906868,2069644.949999999953434,1908641.900000000139698,10311242.660000000149012
20120810,2211674.479999999981374,2082416.599999999860302,2028813.299999999813735,2072560.319999999832362,1904239.100000000093132,10299703.799999998882413
20120813,2224340.600000000093132,2072997.559999999823049,2010169.399999999674037,2064462.069999999832362,1904239.100000000093132,10276208.729999998584390
20120814,2216826.800000000279397,2147172.500000000000000,2032203.099999999860302,2058307.399999999906868,1906807.400000000139698,10361317.200000001117587
20120815,2214035.959999999962747,2158553.839999999850988,2037287.799999999580905,2065109.929999999934807,1937993.900000000139698,10412981.429999999701977
20120816,2221764.439999999944121,2209966.100000000093132,2035592.899999999674037,2074179.969999999972060,1958907.200000000186265,10500410.609999999403954
20120817,2224125.919999999925494,2226449.419999999925494,2016101.549999999580905,2109812.269999999552965,1949367.800000000279397,10525856.960000000894070
20120820,2260192.160000000149012,2220170.060000000055879,2026270.949999999720603,2126332.700000000186265,1951936.100000000093132,10584901.970000000670552
20120821,2261050.879999999888241,2210358.560000000055879,2007627.049999999813735,2113051.570000000298023,1960007.900000000139698,10552095.959999999031425
20120822,2247096.680000000167638,2222917.279999999795109,2008474.499999999767169,2120178.030000000260770,1980187.400000000139698,10578853.890000000596046
20120823,2234430.560000000055879,2219385.139999999664724,2011864.299999999580905,2099122.580000000074506,1978352.900000000139698,10543155.479999998584390
20120824,2253322.399999999906868,2235476.000000000000000,2034745.449999999953434,2118558.379999999888241,1987158.500000000000000,10629260.730000000447035
20120827,2256757.280000000260770,2224094.660000000149012,2024576.049999999813735,2111431.919999999925494,2003669.000000000000000,10620528.910000000149012
20120828,2254825.160000000149012,2218600.219999999739230,2021186.250000000000000,2100418.299999999813735,1993395.800000000046566,10588425.730000000447035
20120829,2265559.160000000149012,2230766.479999999981374,2030508.199999999953434,2099122.580000000074506,2004769.700000000186265,10630726.120000001043081
20120830,2248170.080000000074506,2222132.359999999869615,2020338.799999999813735,2089080.749999999767169,2006604.199999999953434,10586326.189999997615814
