訓練日期,20190212 - 20190515
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11095709.650000000372529
真實報酬,1095709.650000000372529

夏普值報酬,0.100870965000000
夏普值風險,0.029285229836654
夏普值,3.444431392979784

預期報酬,17017.194771045753441
風險,63936.499872432454140
趨勢值,0.266157747217925
找到最佳解世代,889
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AXP[1](6),CVX[5](20),DIS[6](11),KO[14](27),MCD[15](1),PG[21](5),TRV[22](3),V[25](4),VZ[26](16),
Stock#,AXP[1](6),CVX[5](20),DIS[6](11),KO[14](27),MCD[15](1),PG[21](5),TRV[22](3),V[25](4),VZ[26](16),
張數,10540,9500,10152,22396,6376,11306,8859,7891,20557,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,89.600000000093132,86.000000000000000,76.120000000111759,45.439999999944121,29.239999999990687,70.380000000121072,15.219999999972060,58.199999999953434,5.150000000139698,
20190212,1127869.600000000093132,1127926.000000000000000,1108674.520000000251457,1112230.799999999813735,1109261.959999999962747,1122303.940000000176951,1127411.560000000055879,1120501.290000000037253,1118717.090000000083819,10074897.760000001639128
20190213,1133772.000000000232831,1136001.000000000000000,1118826.520000000251457,1115142.280000000027940,1110409.640000000130385,1122077.820000000065193,1134321.579999999841675,1132337.790000000037253,1119950.510000000009313,10122840.140000002458692
20190214,1123864.400000000139698,1122606.000000000000000,1123496.440000000176951,1021079.080000000074506,1121376.360000000102445,1113259.140000000130385,1124488.090000000083819,1129733.760000000009313,1110699.860000000102445,9990604.130000000819564
20190215,1131874.800000000046566,1133911.000000000000000,1143089.800000000046566,1013240.479999999981374,1147517.959999999962747,1113485.260000000242144,1140522.880000000121072,1143543.010000000009313,1133929.270000000018626,10101115.460000000894070
20190219,1122599.600000000093132,1133531.000000000000000,1152429.640000000130385,1004058.119999999878928,1142927.239999999990687,1130557.320000000065193,1143712.119999999878928,1139834.239999999990687,1139685.229999999981374,10109335.510000001639128
20190220,1125550.800000000046566,1142746.000000000000000,1154155.480000000214204,1010105.039999999920838,1150833.479999999981374,1122530.060000000055879,1149381.880000000121072,1142122.629999999888241,1146263.470000000204891,10143689.840000001713634
20190221,1123759.000000000000000,1131916.000000000000000,1160348.200000000186265,1027125.999999999883585,1165625.800000000046566,1128183.060000000055879,1150090.599999999860302,1136362.199999999953434,1154280.700000000186265,10177692.559999998658895
20190222,1132507.199999999953434,1134291.000000000000000,1170094.120000000111759,1014136.319999999948777,1167921.159999999916181,1133496.880000000121072,1160721.400000000139698,1151118.369999999878928,1170109.590000000083819,10234397.040000000968575
20190225,1127131.800000000279397,1136476.000000000000000,1153241.800000000046566,1006521.679999999934807,1164350.600000000093132,1125808.800000000046566,1173744.130000000121072,1152617.659999999916181,1167231.610000000102445,10207125.080000000074506
20190226,1127237.199999999953434,1139516.000000000000000,1152328.120000000111759,1000922.679999999934807,1168176.199999999953434,1128748.360000000102445,1180654.150000000139698,1160350.839999999850988,1164353.630000000121072,10222288.180000001564622
20190227,1132296.400000000139698,1140846.000000000000000,1145018.680000000167638,1006521.679999999934807,1169132.600000000093132,1118346.840000000083819,1174895.800000000046566,1161771.219999999972060,1165998.190000000176951,10214828.410000000149012
20190228,1135669.199999999953434,1136096.000000000000000,1145627.800000000046566,1015480.080000000074506,1172193.080000000074506,1114276.680000000167638,1177464.909999999916181,1168873.119999999878928,1170109.590000000083819,10235791.459999999031425
20190301,1147895.600000000093132,1159371.000000000000000,1157505.640000000130385,1016375.920000000041910,1179908.040000000037253,1113033.020000000018626,1178527.989999999990687,1179525.969999999972060,1170931.870000000111759,10303076.050000000745058
