訓練日期,20111122 - 20120227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12079422.200000001117587
真實報酬,2079422.200000001117587

夏普值報酬,0.199242220000000
夏普值風險,0.057235518237767
夏普值,3.481094015298526

預期報酬,33736.362602893284929
風險,85538.842570419918047
趨勢值,0.394398165665146
找到最佳解世代,2769
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
AAPL[0](7),MSFT[18](6),PFE[20](23),WMT[28](17),
Stock#,AAPL[0](7),MSFT[18](6),PFE[20](23),WMT[28](17),
張數,47420,100000,131856,44122,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.600000000093132,0.000000000000000,10.239999999757856,47.479999999981374,
20111122,2550739.399999999906868,2479000.000000000000000,2492088.639999999664724,2508383.180000000167638,10030211.220000000670552
20111123,2486248.200000000186265,2447000.000000000000000,2432753.439999999478459,2499117.560000000055879,9865119.199999999254942
20111125,2463012.399999999906868,2430000.000000000000000,2432753.439999999478459,2510148.060000000055879,9835913.900000000372529
20111128,2547894.199999999720603,2487000.000000000000000,2517141.279999999795109,2526031.979999999981374,10078067.459999999031425
20111129,2527977.800000000279397,2484000.000000000000000,2558016.639999999664724,2566624.220000000204891,10136618.660000000149012
20111130,2589149.600000000093132,2558000.000000000000000,2646360.159999999683350,2598833.279999999795109,10392343.039999999105930
20111201,2628034.000000000000000,2528000.000000000000000,2641085.919999999925494,2586037.899999999906868,10383157.820000000298023
20111202,2639889.000000000000000,2522000.000000000000000,2622626.079999999608845,2563094.459999999962747,10347609.539999999105930
20111205,2662176.399999999906868,2570000.000000000000000,2616033.279999999795109,2574124.959999999962747,10422334.640000000596046
20111206,2648424.600000000093132,2566000.000000000000000,2667457.119999999646097,2593538.640000000130385,10475420.359999999403954
20111207,2635621.200000000186265,2560000.000000000000000,2699102.559999999590218,2581625.699999999720603,10476349.459999999031425
