訓練日期,20160628 - 20160928
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11846764.089999999850988
真實報酬,1846764.089999999850988

夏普值報酬,0.175976409000000
夏普值風險,0.042947758770944
夏普值,4.097452673573628

預期報酬,32187.544467410447396
風險,240076.347029073978774
趨勢值,0.134072118581146
找到最佳解世代,2417
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),V[25](2),
Stock#,AAPL[0](1),V[25](2),
張數,54324,68175,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.040000000037253,45.500000000000000,
20160628,5084202.200000000186265,5124078.500000000000000,10208280.699999999254942
20160629,5128204.640000000596046,5231795.000000000000000,10359999.640000000596046
20160630,5193393.439999999478459,5056585.250000000000000,10249978.689999999478459
20160701,5209147.400000000372529,5077719.500000000000000,10286866.900000000372529
20160705,5160255.799999999813735,5090672.750000000000000,10250928.550000000745058
20160706,5189590.759999999776483,5049086.000000000000000,10238676.759999999776483
20160707,5211863.599999999627471,5049086.000000000000000,10260949.599999999627471
20160708,5252063.360000000335276,5209979.000000000000000,10462042.359999999403954
20160711,5268360.560000000521541,5216796.500000000000000,10485157.060000000521541
20160712,5292263.120000000111759,5282244.500000000000000,10574507.620000001043081
20160713,5262384.919999999925494,5280881.000000000000000,10543265.919999999925494
20160714,5366687.000000000000000,5327240.000000000000000,10693927.000000000000000
20160715,5366143.759999999776483,5338148.000000000000000,10704291.759999999776483
20160718,5423183.959999999962747,5338829.750000000000000,10762013.710000000894070
20160719,5425356.919999999925494,5366781.500000000000000,10792138.419999999925494
20160720,5430246.080000000074506,5410413.500000000000000,10840659.580000000074506
20160721,5401454.360000000335276,5371553.750000000000000,10773008.109999999403954
20160722,5359624.879999999888241,5447909.750000000000000,10807534.629999998956919
20160725,5287917.200000000186265,5381780.000000000000000,10669697.199999999254942
20160726,5251520.120000000111759,5351101.250000000000000,10602621.370000001043081
20160727,5592674.839999999850988,5353828.250000000000000,10946503.089999999850988
20160728,5668185.200000000186265,5398823.750000000000000,11067008.949999999254942
20160729,5661123.080000000074506,5321104.250000000000000,10982227.330000000074506
20160801,5761079.240000000223517,5335421.000000000000000,11096500.240000000223517
20160802,5675790.560000000521541,5336784.500000000000000,11012575.060000000521541
20160803,5746955.000000000000000,5366099.750000000000000,11113054.750000000000000
20160804,5751300.919999999925494,5418594.500000000000000,11169895.419999999925494
20160805,5838762.560000000521541,5463590.000000000000000,11302352.560000000521541
20160808,5887110.919999999925494,5450636.750000000000000,11337747.669999999925494
20160809,5911013.480000000447035,5458136.000000000000000,11369149.480000000447035
20160810,5867011.040000000037253,5432229.500000000000000,11299240.539999999105930
20160811,5863208.360000000335276,5462226.500000000000000,11325434.859999999403954
20160812,5876789.360000000335276,5455409.000000000000000,11332198.359999999403954
20160815,5947410.560000000521541,5516084.750000000000000,11463495.310000000521541
20160816,5941978.160000000149012,5509267.250000000000000,11451245.410000000149012
20160817,5933286.320000000298023,5511312.500000000000000,11444598.820000000298023
20160818,5925680.959999999962747,5472452.750000000000000,11398133.710000000894070
20160819,5940891.679999999701977,5486087.750000000000000,11426979.429999999701977
20160822,5894716.280000000260770,5526311.000000000000000,11421027.280000001192093
20160823,5913186.439999999478459,5508585.500000000000000,11421771.939999999478459
20160824,5868640.759999999776483,5473816.250000000000000,11342457.009999999776483
20160825,5843651.719999999739230,5475861.500000000000000,11319513.219999998807907
20160826,5809427.599999999627471,5492905.250000000000000,11302332.849999999627471
20160829,5802908.719999999739230,5513357.750000000000000,11316266.469999998807907
20160830,5758363.040000000037253,5533810.250000000000000,11292173.289999999105930
20160831,5763795.439999999478459,5515403.000000000000000,11279198.439999999478459
20160901,5798019.560000000521541,5542673.000000000000000,11340692.560000000521541
20160902,5852343.560000000521541,5590395.500000000000000,11442739.060000000521541
20160906,5850713.839999999850988,5626528.250000000000000,11477242.089999999850988
20160907,5886567.679999999701977,5674932.500000000000000,11561500.179999999701977
20160908,5732287.519999999552965,5656525.250000000000000,11388812.769999999552965
20160909,5602453.160000000149012,5544718.250000000000000,11147171.410000000149012
20160912,5727941.599999999627471,5656525.250000000000000,11384466.849999999627471
20160913,5864294.839999999850988,5582896.250000000000000,11447191.089999999850988
20160914,6071812.519999999552965,5555626.250000000000000,11627438.769999999552965
20160915,6278243.719999999739230,5591077.250000000000000,11869320.969999998807907
20160916,6242933.120000000111759,5595167.750000000000000,11838100.870000001043081
20160919,6170138.959999999962747,5625164.750000000000000,11795303.710000000894070
20160920,6169595.719999999739230,5623119.500000000000000,11792715.219999998807907
20160921,6168509.240000000223517,5673569.000000000000000,11842078.240000000223517
20160922,6226635.919999999925494,5683113.500000000000000,11909749.419999999925494
20160923,6122877.080000000074506,5627210.000000000000000,11750087.080000000074506
20160926,6132112.160000000149012,5577442.250000000000000,11709554.410000000149012
20160927,6143520.200000000186265,5601303.500000000000000,11744823.699999999254942
20160928,6190238.839999999850988,5656525.250000000000000,11846764.089999999850988
